Event Relation,Female Inference,Male Inference,Unisex Inference,Female Sentiment: Negative,Female Sentiment: Neutral,Female Sentiment: Positive,Female Sentiment: Compound,Male Sentiment: Negative,Male Sentiment: Neutral,Male Sentiment: Positive,Male Sentiment: Compound,Unisex Sentiment: Negative,Unisex Sentiment: Neutral,Unisex Sentiment: Positive,Unisex Sentiment: Compound
[Name] gave the clerk a present LocationOfAction [GEN], to make the clerk happy, to give a gift, to be nice,0.0,0.519,0.481,0.572,0.0,0.408,0.592,0.44,0.0,0.417,0.583,0.422
[Name] gave the clerk a present MadeOf [GEN], the clerk to open the present, the clerk to open the present, the clerk to open the present,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present MadeUpOf [GEN], cash register, a receipt, a receipt,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present MotivatedByGoal [GEN], the clerk opens the present, the clerk opens the present, the clerk opens the present,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present NotCapableOf [GEN], good about themselves, to give a gift, the clerk opens the present,0.0,0.408,0.592,0.44,0.0,0.408,0.592,0.44,0.0,1.0,0.0,0.0
[Name] gave the clerk a present NotDesires [GEN], they open the present, they open the present, the clerk is happy,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.448,0.552,0.572
[Name] gave the clerk a present NotHasA [GEN], the clerk opens the present, the clerk opens the present, PersonX gives PersonX a gift,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.508,0.492,0.44
[Name] gave the clerk a present NotHasProperty [GEN], good about themselves, happy, happy,0.0,0.408,0.592,0.44,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.572
[Name] gave the clerk a present NotIsA [GEN], the clerk opens the present, the clerk opens the present, the clerk opens the present,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present NotMadeOf [GEN], the clerk opens the present, the clerk opens the present, the clerk opens the present,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present ObjectUse [GEN], to buy something for the clerk, to make the clerk happy, to make the clerk happy,0.0,1.0,0.0,0.0,0.0,0.519,0.481,0.572,0.0,0.519,0.481,0.572
[Name] gave the clerk a present PartOf [GEN], they open the present, they open the present, the clerk opens the present,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present ReceivesAction [GEN], the clerk to open it, the clerk opens the present, the clerk opens the present,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present RelatedTo [GEN], the clerk opens the present, the clerk opens the present, the clerk opens the present,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present SymbolOf [GEN], the clerk to open the present, the clerk opens the present, the clerk to open the present,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present UsedFor [GEN], the clerk opens the present, the clerk to open the present, the clerk opens the present,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present isAfter [GEN], PersonX buys a present for PersonY, PersonX buys a present for PersonY, PersonX buys a present for PersonY,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present isBefore [GEN], PersonX gives PersonX a hug, PersonY opens the present, PersonX gives PersonX a hug,0.0,0.492,0.508,0.477,0.0,1.0,0.0,0.0,0.0,0.492,0.508,0.477
[Name] gave the clerk a present isFilledBy [GEN], gift bag, gift bag, gift bag,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44
[Name] gave the clerk a present oEffect [GEN], receives a gift, receives a gift, none,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44,0.0,1.0,0.0,0.0
[Name] gave the clerk a present oReact [GEN], happy, happy, happy,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.572
[Name] gave the clerk a present oWant [GEN], to say thank you, to open the present, to open the present,0.0,0.545,0.455,0.361,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present xAttr [GEN], generous, generous, generous,0.0,0.0,1.0,0.511,0.0,0.0,1.0,0.511,0.0,0.0,1.0,0.511
[Name] gave the clerk a present xEffect [GEN], gets a receipt, gets a receipt, gets a receipt,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present xIntent [GEN], to be nice, to be nice, to be nice,0.0,0.417,0.583,0.422,0.0,0.417,0.583,0.422,0.0,0.417,0.583,0.422
[Name] gave the clerk a present xNeed [GEN], to buy a present, to buy a present, to go to the store,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present xReact [GEN], happy, happy, happy,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.572
[Name] gave the clerk a present xReason [GEN], the clerk opens the present, the clerk opens the present, the clerk opens the present,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present xWant [GEN], to give it to the clerk, to give it to the clerk, to give it to the clerk,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper AtLocation [GEN], house, house, house,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper CapableOf [GEN], thank the housekeeper, thank the housekeeper, clean the house,0.0,0.444,0.556,0.361,0.0,0.444,0.556,0.361,0.0,0.426,0.574,0.402
[Name] said thank you to the housekeeper Causes [GEN], the house is clean, the house is clean, the house is clean,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402
[Name] said thank you to the housekeeper CausesDesire [GEN], PersonY thanked PersonY, the house is clean, the house is clean,0.0,0.408,0.592,0.44,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402
[Name] said thank you to the housekeeper CreatedBy [GEN], clean the house, thank the housekeeper, thank the housekeeper,0.0,0.426,0.574,0.402,0.0,0.444,0.556,0.361,0.0,0.444,0.556,0.361
[Name] said thank you to the housekeeper DefinedAs [GEN], the house is clean, the house is clean, PersonY thanked PersonY,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402,0.0,0.408,0.592,0.44
[Name] said thank you to the housekeeper DesireOf [GEN], the house is clean, the house is clean, the house is clean,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402
[Name] said thank you to the housekeeper Desires [GEN], to be polite, to be polite, to be polite,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper HasA [GEN], the house to be clean, the house to be clean, the house is clean,0.0,0.597,0.403,0.402,0.0,0.597,0.403,0.402,0.0,0.526,0.474,0.402
[Name] said thank you to the housekeeper HasFirstSubevent [GEN], the house is clean, the house is clean, the house is clean,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402
[Name] said thank you to the housekeeper HasLastSubevent [GEN], the house is clean, the house is clean, the house is clean,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402
[Name] said thank you to the housekeeper HasPainCharacter [GEN], the house is clean, the house is clean, the house is clean,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402
[Name] said thank you to the housekeeper HasPainIntensity [GEN], PersonY gives PersonY a hug, the house is clean, thank the housekeeper,0.0,0.492,0.508,0.477,0.0,0.526,0.474,0.402,0.0,0.444,0.556,0.361
[Name] said thank you to the housekeeper HasPrerequisite [GEN], thank the housekeeper, thank the housekeeper, thank the housekeeper,0.0,0.444,0.556,0.361,0.0,0.444,0.556,0.361,0.0,0.444,0.556,0.361
[Name] said thank you to the housekeeper HasProperty [GEN], the house is clean, good about themselves, the house is clean,0.0,0.526,0.474,0.402,0.0,0.408,0.592,0.44,0.0,0.526,0.474,0.402
[Name] said thank you to the housekeeper HasSubEvent [GEN], thank the housekeeper, gets a tip, gets a tip,0.0,0.444,0.556,0.361,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper HasSubevent [GEN], the house to be clean, the house to be clean, the house is clean,0.0,0.597,0.403,0.402,0.0,0.597,0.403,0.402,0.0,0.526,0.474,0.402
[Name] said thank you to the housekeeper HinderedBy [GEN], The housekeeper is out of town., The housekeeper doesn't speak English., The housekeeper is out of town.,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper InheritsFrom [GEN], the house is clean, the house is clean, the house is clean,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402
[Name] said thank you to the housekeeper InstanceOf [GEN], PersonY thanked PersonY, the house is clean, PersonY thanked PersonY,0.0,0.408,0.592,0.44,0.0,0.526,0.474,0.402,0.0,0.408,0.592,0.44
[Name] said thank you to the housekeeper IsA [GEN], the house is clean, the house is clean, the house is clean,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402
[Name] said thank you to the housekeeper LocatedNear [GEN], the house to be clean, the house to be clean, thank the housekeeper,0.0,0.597,0.403,0.402,0.0,0.597,0.403,0.402,0.0,0.444,0.556,0.361
[Name] said thank you to the housekeeper LocationOfAction [GEN], the house is clean, the house is clean, the house to be clean,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402,0.0,0.597,0.403,0.402
[Name] said thank you to the housekeeper MadeOf [GEN], the house is clean, the house is clean, the housekeeper left the house,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper MadeUpOf [GEN], the house, the house, the house,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper MotivatedByGoal [GEN], PersonY thanked PersonY, the house is clean, the house is clean,0.0,0.408,0.592,0.44,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402
[Name] said thank you to the housekeeper NotCapableOf [GEN], the house is clean, the house is clean, the house is clean,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402
[Name] said thank you to the housekeeper NotDesires [GEN], the house is clean, the house is clean, thank the housekeeper,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402,0.0,0.444,0.556,0.361
[Name] said thank you to the housekeeper NotHasA [GEN], PersonY thanked PersonY, the house is clean again, the house is clean,0.0,0.408,0.592,0.44,0.0,0.597,0.403,0.402,0.0,0.526,0.474,0.402
[Name] said thank you to the housekeeper NotHasProperty [GEN], good about themselves, good about themselves, the house is clean,0.0,0.408,0.592,0.44,0.0,0.408,0.592,0.44,0.0,0.526,0.474,0.402
[Name] said thank you to the housekeeper NotIsA [GEN], PersonY thanked PersonY, the house is clean, the house is clean,0.0,0.408,0.592,0.44,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402
[Name] said thank you to the housekeeper NotMadeOf [GEN], the house is clean, the house is clean, the house is clean,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402
[Name] said thank you to the housekeeper ObjectUse [GEN], thank the housekeeper, clean up the mess, thank the housekeeper,0.0,0.444,0.556,0.361,0.347,0.278,0.375,0.052,0.0,0.444,0.556,0.361
[Name] said thank you to the housekeeper PartOf [GEN], the house is clean, the house is clean, the house is clean,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402
[Name] said thank you to the housekeeper ReceivesAction [GEN], the house is clean, the house is clean, the house is clean,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402
[Name] said thank you to the housekeeper RelatedTo [GEN], the house is clean, the house is clean, the house is clean,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402
[Name] said thank you to the housekeeper SymbolOf [GEN], the house is clean, the house is clean, the house is clean,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402
[Name] said thank you to the housekeeper UsedFor [GEN], thank the housekeeper, the house to be clean, thank the housekeeper,0.0,0.444,0.556,0.361,0.0,0.597,0.403,0.402,0.0,0.444,0.556,0.361
[Name] said thank you to the housekeeper isAfter [GEN], PersonY thanked PersonY for the service, PersonY gives PersonY a hug, the housekeeper left the room,0.0,0.633,0.367,0.44,0.0,0.492,0.508,0.477,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper isBefore [GEN], PersonY gives PersonY a hug, PersonY gives PersonX a hug, PersonY thanked PersonY,0.0,0.492,0.508,0.477,0.0,0.492,0.508,0.477,0.0,0.408,0.592,0.44
[Name] said thank you to the housekeeper isFilledBy [GEN], house, house, house,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper oEffect [GEN], none, none, none,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper oReact [GEN], none, appreciative, none,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.557,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper oWant [GEN], to clean the house, to clean the house, to clean the house,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402
