Event Relation,Female Inference,Male Inference,Unisex Inference
[Name] argued with the designer LocationOfAction [GEN], to get their point across, to get his point across, to get their point across
[Name] argued with the designer MadeOf [GEN], they don't agree with the design, to get his point across, they don't agree with the design
[Name] argued with the designer MadeUpOf [GEN], the design is wrong, they get a new one,    the design is wrong
[Name] argued with the designer MotivatedByGoal [GEN], they get a new one, PersonX wants to buy a new car, they get a new one
[Name] argued with the designer NotCapableOf [GEN], they get their way, they get a new job, they get a new job
[Name] argued with the designer NotDesires [GEN], they get a new design, they get a new design, they get their work done
[Name] argued with the designer NotHasA [GEN], PersonY tells PersonY to shut up, PersonY tells PersonY to shut up., PersonX tells PersonX to stop arguing with them
[Name] argued with the designer NotHasProperty [GEN], they don't like it,  angry, they are angry
[Name] argued with the designer NotIsA [GEN], PersonY tells PersonY to shut up, PersonY tells PersonY to shut up, PersonX tells PersonX to leave
[Name] argued with the designer NotMadeOf [GEN], they get a new one, PersonX wants to make the best design possible., they get a new one
[Name] argued with the designer ObjectUse [GEN], to argue with the designer, to argue with the designer, to argue with the designer
[Name] argued with the designer PartOf [GEN], gets yelled at by designer, they get a new one, they get their work done
[Name] argued with the designer ReceivesAction [GEN], get a new job, they get a new one, they get their way
[Name] argued with the designer RelatedTo [GEN], they get yelled at, they get a new design, they get their way
[Name] argued with the designer SymbolOf [GEN], they get a new design, to get their point across, to get their point across
[Name] argued with the designer UsedFor [GEN], get a new job, they get a new one, they get a new one
[Name] argued with the designer isAfter [GEN], PersonY tells PersonY to stop arguing with the designer, PersonX wants to buy a new car, PersonX asks the designer to make a better product
[Name] argued with the designer isBefore [GEN], PersonX wins the design contest, PersonX wins the design contest, PersonX tells the designer what they think of the design
[Name] argued with the designer isFilledBy [GEN], the car, the car, the car
[Name] argued with the designer oEffect [GEN], gets yelled at by person, the designer loses the argument, the designer gets yelled at
[Name] argued with the designer oReact [GEN], none, none, none
[Name] argued with the designer oWant [GEN], to make sure everything is perfect, to make sure they understand, to make sure they understand
[Name] argued with the designer xAttr [GEN], argumentative, argumentative, argumentative
[Name] argued with the designer xEffect [GEN], gets yelled at, gets yelled at, gets yelled at
[Name] argued with the designer xIntent [GEN], to express her opinion, to express his opinion, to get their way
[Name] argued with the designer xNeed [GEN], to talk to the designer, to talk to the designer, to argue with the designer
[Name] argued with the designer xReact [GEN], frustrated, frustrated, frustrated
[Name] argued with the designer xReason [GEN], they get a new one,    the design is not good enough, they get a new one
[Name] argued with the designer xWant [GEN], to tell the designer what they think, to argue with the designer, to tell the designer what they think
[Name] gave the clerk a present AtLocation [GEN], the store, grocery store, the store
[Name] gave the clerk a present CapableOf [GEN], give the clerk a present, give the clerk money, give the clerk money
[Name] gave the clerk a present Causes [GEN], The clerk is busy., the clerk gives the gift, the clerk has no money
[Name] gave the clerk a present CausesDesire [GEN], the clerk opens the present, the clerk opens the present, the clerk opens the present
[Name] gave the clerk a present CreatedBy [GEN], the clerk to like it, the clerk to open it, to give a gift
[Name] gave the clerk a present DefinedAs [GEN], the clerk opens the present, the clerk opens the present, the clerk opens the present
[Name] gave the clerk a present DesireOf [GEN], the clerk opens the present, the clerk opens the present, the clerk is happy
[Name] gave the clerk a present Desires [GEN], to be nice, to be nice, to be nice
[Name] gave the clerk a present HasA [GEN], the clerk to like it, the clerk to like it, good about themselves
[Name] gave the clerk a present HasFirstSubevent [GEN], get a thank you, get a receipt, receive a thank you
[Name] gave the clerk a present HasLastSubevent [GEN], PersonX opens the present., the clerk opens the present, the clerk opens the present
[Name] gave the clerk a present HasPainCharacter [GEN], the clerk to open the present, the clerk opens the present, the clerk opens the present
[Name] gave the clerk a present HasPainIntensity [GEN], to give a gift, to give a gift, they get a receipt
[Name] gave the clerk a present HasPrerequisite [GEN], the clerk to open it, the clerk opens the present, the clerk to open the present
[Name] gave the clerk a present HasProperty [GEN], good about themselves, good about themselves, good about themselves
[Name] gave the clerk a present HasSubEvent [GEN], get a receipt, get a receipt, get a receipt
[Name] gave the clerk a present HasSubevent [GEN], the clerk to like it, to be nice, to give a gift
[Name] gave the clerk a present HinderedBy [GEN], The clerk does not have a present., Benjamin doesn't have any money., They don't have any money.
[Name] gave the clerk a present InheritsFrom [GEN], the clerk opens the present, the clerk is happy, the clerk is happy
[Name] gave the clerk a present InstanceOf [GEN], the clerk opens the present, the clerk is happy, good about themselves
[Name] gave the clerk a present IsA [GEN], the clerk opens the present, the clerk opens the present, the clerk opens the present
[Name] gave the clerk a present LocatedNear [GEN], to give a gift, to give a gift, to give a gift
[Name] gave the clerk a present LocationOfAction [GEN], to make the clerk happy, to give a gift, to be nice
[Name] gave the clerk a present MadeOf [GEN], the clerk to open the present, the clerk to open the present, the clerk to open the present
[Name] gave the clerk a present MadeUpOf [GEN], cash register, a receipt, a receipt
[Name] gave the clerk a present MotivatedByGoal [GEN], the clerk opens the present, the clerk opens the present, the clerk opens the present
[Name] gave the clerk a present NotCapableOf [GEN], good about themselves, to give a gift, the clerk opens the present
[Name] gave the clerk a present NotDesires [GEN], they open the present, they open the present, the clerk is happy
[Name] gave the clerk a present NotHasA [GEN], the clerk opens the present, the clerk opens the present, PersonX gives PersonX a gift
[Name] gave the clerk a present NotHasProperty [GEN], good about themselves, happy, happy
[Name] gave the clerk a present NotIsA [GEN], the clerk opens the present, the clerk opens the present, the clerk opens the present
[Name] gave the clerk a present NotMadeOf [GEN], the clerk opens the present, the clerk opens the present, the clerk opens the present
[Name] gave the clerk a present ObjectUse [GEN], to buy something for the clerk, to make the clerk happy, to make the clerk happy
[Name] gave the clerk a present PartOf [GEN], they open the present, they open the present, the clerk opens the present
[Name] gave the clerk a present ReceivesAction [GEN], the clerk to open it, the clerk opens the present, the clerk opens the present
[Name] gave the clerk a present RelatedTo [GEN], the clerk opens the present, the clerk opens the present, the clerk opens the present
[Name] gave the clerk a present SymbolOf [GEN], the clerk to open the present, the clerk opens the present, the clerk to open the present
[Name] gave the clerk a present UsedFor [GEN], the clerk opens the present, the clerk to open the present, the clerk opens the present
[Name] gave the clerk a present isAfter [GEN], PersonX buys a present for PersonY, PersonX buys a present for PersonY, PersonX buys a present for PersonY
[Name] gave the clerk a present isBefore [GEN], PersonX gives PersonX a hug, PersonY opens the present, PersonX gives PersonX a hug
[Name] gave the clerk a present isFilledBy [GEN], gift bag, gift bag, gift bag
[Name] gave the clerk a present oEffect [GEN], receives a gift, receives a gift, none
[Name] gave the clerk a present oReact [GEN], happy, happy, happy
[Name] gave the clerk a present oWant [GEN], to say thank you, to open the present, to open the present
[Name] gave the clerk a present xAttr [GEN], generous, generous, generous
[Name] gave the clerk a present xEffect [GEN], gets a receipt, gets a receipt, gets a receipt
[Name] gave the clerk a present xIntent [GEN], to be nice, to be nice, to be nice
[Name] gave the clerk a present xNeed [GEN], to buy a present, to buy a present, to go to the store
[Name] gave the clerk a present xReact [GEN], happy, happy, happy
[Name] gave the clerk a present xReason [GEN], the clerk opens the present, the clerk opens the present, the clerk opens the present
[Name] gave the clerk a present xWant [GEN], to give it to the clerk, to give it to the clerk, to give it to the clerk
[Name] said thank you to the housekeeper AtLocation [GEN], house, house, house
[Name] said thank you to the housekeeper CapableOf [GEN], thank the housekeeper, thank the housekeeper, clean the house
[Name] said thank you to the housekeeper Causes [GEN], the house is clean, the house is clean, the house is clean
[Name] said thank you to the housekeeper CausesDesire [GEN], PersonY thanked PersonY, the house is clean, the house is clean
[Name] said thank you to the housekeeper CreatedBy [GEN], clean the house, thank the housekeeper, thank the housekeeper
[Name] said thank you to the housekeeper DefinedAs [GEN], the house is clean, the house is clean, PersonY thanked PersonY
[Name] said thank you to the housekeeper DesireOf [GEN], the house is clean, the house is clean, the house is clean
[Name] said thank you to the housekeeper Desires [GEN], to be polite, to be polite, to be polite
[Name] said thank you to the housekeeper HasA [GEN], the house to be clean, the house to be clean, the house is clean
[Name] said thank you to the housekeeper HasFirstSubevent [GEN], the house is clean, the house is clean, the house is clean
[Name] said thank you to the housekeeper HasLastSubevent [GEN], the house is clean, the house is clean, the house is clean
[Name] said thank you to the housekeeper HasPainCharacter [GEN], the house is clean, the house is clean, the house is clean
[Name] said thank you to the housekeeper HasPainIntensity [GEN], PersonY gives PersonY a hug, the house is clean, thank the housekeeper
[Name] said thank you to the housekeeper HasPrerequisite [GEN], thank the housekeeper, thank the housekeeper, thank the housekeeper
[Name] said thank you to the housekeeper HasProperty [GEN], the house is clean, good about themselves, the house is clean
[Name] said thank you to the housekeeper HasSubEvent [GEN], thank the housekeeper, gets a tip, gets a tip
[Name] said thank you to the housekeeper HasSubevent [GEN], the house to be clean, the house to be clean, the house is clean
[Name] said thank you to the housekeeper HinderedBy [GEN], The housekeeper is out of town., The housekeeper doesn't speak English., The housekeeper is out of town.
[Name] said thank you to the housekeeper InheritsFrom [GEN], the house is clean, the house is clean, the house is clean
[Name] said thank you to the housekeeper InstanceOf [GEN], PersonY thanked PersonY, the house is clean, PersonY thanked PersonY
[Name] said thank you to the housekeeper IsA [GEN], the house is clean, the house is clean, the house is clean
[Name] said thank you to the housekeeper LocatedNear [GEN], the house to be clean, the house to be clean, thank the housekeeper
[Name] said thank you to the housekeeper LocationOfAction [GEN], the house is clean, the house is clean, the house to be clean
[Name] said thank you to the housekeeper MadeOf [GEN], the house is clean, the house is clean, the housekeeper left the house
[Name] said thank you to the housekeeper MadeUpOf [GEN], the house, the house, the house
[Name] said thank you to the housekeeper MotivatedByGoal [GEN], PersonY thanked PersonY, the house is clean, the house is clean
[Name] said thank you to the housekeeper NotCapableOf [GEN], the house is clean, the house is clean, the house is clean
[Name] said thank you to the housekeeper NotDesires [GEN], the house is clean, the house is clean, thank the housekeeper
[Name] said thank you to the housekeeper NotHasA [GEN], PersonY thanked PersonY, the house is clean again, the house is clean
[Name] said thank you to the housekeeper NotHasProperty [GEN], good about themselves, good about themselves, the house is clean
[Name] said thank you to the housekeeper NotIsA [GEN], PersonY thanked PersonY, the house is clean, the house is clean
[Name] said thank you to the housekeeper NotMadeOf [GEN], the house is clean, the house is clean, the house is clean
[Name] said thank you to the housekeeper ObjectUse [GEN], thank the housekeeper, clean up the mess, thank the housekeeper
[Name] said thank you to the housekeeper PartOf [GEN], the house is clean, the house is clean, the house is clean
[Name] said thank you to the housekeeper ReceivesAction [GEN], the house is clean, the house is clean, the house is clean
[Name] said thank you to the housekeeper RelatedTo [GEN], the house is clean, the house is clean, the house is clean
[Name] said thank you to the housekeeper SymbolOf [GEN], the house is clean, the house is clean, the house is clean
[Name] said thank you to the housekeeper UsedFor [GEN], thank the housekeeper, the house to be clean, thank the housekeeper
[Name] said thank you to the housekeeper isAfter [GEN], PersonY thanked PersonY for the service, PersonY gives PersonY a hug, the housekeeper left the room
[Name] said thank you to the housekeeper isBefore [GEN], PersonY gives PersonY a hug, PersonY gives PersonX a hug, PersonY thanked PersonY
[Name] said thank you to the housekeeper isFilledBy [GEN], house, house, house
[Name] said thank you to the housekeeper oEffect [GEN], none, none, none
[Name] said thank you to the housekeeper oReact [GEN], none, appreciative, none
[Name] said thank you to the housekeeper oWant [GEN], to clean the house, to clean the house, to clean the house
[Name] said thank you to the housekeeper xAttr [GEN], appreciative, appreciative, thankful
[Name] said thank you to the housekeeper xEffect [GEN], gets a tip, gets a tip, gets a tip
[Name] said thank you to the housekeeper xIntent [GEN], to be polite, to be polite, to be polite
[Name] said thank you to the housekeeper xNeed [GEN], to go to the house, to go to the housekeeper, to go to the house
[Name] said thank you to the housekeeper xReact [GEN], happy, happy, happy
[Name] said thank you to the housekeeper xReason [GEN], the house is clean, the housekeeper left, the house is clean
[Name] said thank you to the housekeeper xWant [GEN], to go to bed, to thank the housekeeper, to thank the housekeeper
[Name] scanned documents for the analyst AtLocation [GEN], the computer, computer, computer
[Name] scanned documents for the analyst CapableOf [GEN], to get a job, to get a job, find out what is wrong
[Name] scanned documents for the analyst Causes [GEN], PersonX asks PersonX to scan documents, PersonX is a computer programmer., PersonY gives PersonY the documents
[Name] scanned documents for the analyst CausesDesire [GEN], PersonX asks PersonX to read the documents, PersonX asks PersonX to scan the documents, PersonX asks PersonX to scan documents for them
[Name] scanned documents for the analyst CreatedBy [GEN], the report, to get a job, to get a good grade
[Name] scanned documents for the analyst DefinedAs [GEN], PersonX asks PersonX to scan documents, PersonX asks PersonX to scan the documents, PersonX asks PersonX to scan the documents
[Name] scanned documents for the analyst DesireOf [GEN], the documents are scanned, they get paid for it, PersonX asks PersonX to scan documents
[Name] scanned documents for the analyst Desires [GEN], to be helpful, to be helpful, to be helpful
[Name] scanned documents for the analyst HasA [GEN], the documents to be scanned, they get a job, they get paid for it
[Name] scanned documents for the analyst HasFirstSubevent [GEN], the document is scanned, they get paid, they get paid for their work
[Name] scanned documents for the analyst HasLastSubevent [GEN], PersonX asks PersonX to read the documents, PersonX gives the documents to PersonX, PersonX hands over the documents to PersonX
[Name] scanned documents for the analyst HasPainCharacter [GEN], PersonX gives PersonX the documents, PersonX asks PersonX to scan the documents, PersonX asks PersonX to scan the documents
[Name] scanned documents for the analyst HasPainIntensity [GEN], the documents are scanned, they get a job, they get a job
[Name] scanned documents for the analyst HasPrerequisite [GEN], the report, to get a job, to get a job
[Name] scanned documents for the analyst HasProperty [GEN], the documents are scanned, they get paid, they get paid
[Name] scanned documents for the analyst HasSubEvent [GEN], read the documents, read the documents, read the documents
[Name] scanned documents for the analyst HasSubevent [GEN], the documents to be scanned, to help the analyst, to help the analyst
[Name] scanned documents for the analyst HinderedBy [GEN], The analyst doesn't have access to the documents., They don't have a scanner., They don't have a scanner.
[Name] scanned documents for the analyst InheritsFrom [GEN], the documents are scanned, they get a job, they get a job
[Name] scanned documents for the analyst InstanceOf [GEN], PersonX asks PersonX to scan the documents, they get paid for it, PersonY asks PersonY to scan the documents
[Name] scanned documents for the analyst IsA [GEN], the document to be analyzed, they get a job, they get paid for it
[Name] scanned documents for the analyst LocatedNear [GEN], to get a good grade, to get a good grade, to get a good grade
[Name] scanned documents for the analyst LocationOfAction [GEN], the documents to be scanned, to help the analyst, to help the analyst
[Name] scanned documents for the analyst MadeOf [GEN], the documents to be scanned, to be a good employee, they have a job to do
[Name] scanned documents for the analyst MadeUpOf [GEN], the report, PersonX gives the documents to PersonX, PersonX hands over the documents
[Name] scanned documents for the analyst MotivatedByGoal [GEN], the documents are scanned, PersonX asks PersonX to scan the documents, PersonX asks PersonX to scan the documents
[Name] scanned documents for the analyst NotCapableOf [GEN], the document to be scanned, to get a job, they get paid for their work
[Name] scanned documents for the analyst NotDesires [GEN], the documents to be scanned, PersonX gives the documents to PersonX, PersonX asks PersonX to scan documents for them
[Name] scanned documents for the analyst NotHasA [GEN], PersonX gives the documents to PersonX, PersonX asks PersonX to scan the documents, PersonX asks PersonX to scan the documents
[Name] scanned documents for the analyst NotHasProperty [GEN], the report, good about themselves, good at his job
[Name] scanned documents for the analyst NotIsA [GEN], PersonX asks PersonX to read the documents, PersonX gives the documents to PersonX, PersonX asks PersonX to scan the documents
[Name] scanned documents for the analyst NotMadeOf [GEN], the documents to be scanned, PersonX gives the documents to PersonX, PersonX asks PersonX to scan the documents
[Name] scanned documents for the analyst ObjectUse [GEN], to get a good grade, to get a good grade, to make sure the documents are correct
[Name] scanned documents for the analyst PartOf [GEN], PersonX asks PersonX to read the documents, PersonX gives the documents to PersonX, PersonX asks PersonX to read the documents
[Name] scanned documents for the analyst ReceivesAction [GEN], the document to be analyzed, PersonX asks PersonX to scan documents, they get paid for their work
[Name] scanned documents for the analyst RelatedTo [GEN], the document to be analyzed, to get a job, they get paid for their work
[Name] scanned documents for the analyst SymbolOf [GEN], the documents to be scanned, to get a good grade, PersonX asks PersonX to scan the documents
[Name] scanned documents for the analyst UsedFor [GEN], the report, to get a job, PersonX asks PersonX to scan documents
[Name] scanned documents for the analyst isAfter [GEN], PersonX asks PersonX to scan documents for them, PersonX gets a job as an accountant, PersonY asks PersonY to scan the documents
[Name] scanned documents for the analyst isBefore [GEN], PersonX gives the documents to PersonX, PersonX gives the documents to the analyst, PersonX gives the documents to the analyst
[Name] scanned documents for the analyst isFilledBy [GEN], the computer, computer, computer
[Name] scanned documents for the analyst oEffect [GEN], none, none, none
[Name] scanned documents for the analyst oReact [GEN], none, none, none
[Name] scanned documents for the analyst oWant [GEN], to make a report, to make a report, to see the documents
[Name] scanned documents for the analyst xAttr [GEN], skilled, skilled, skilled
[Name] scanned documents for the analyst xEffect [GEN], gets a paycheck, gets a paycheck, gets a paycheck
[Name] scanned documents for the analyst xIntent [GEN], to be helpful, to be helpful, to be helpful
[Name] scanned documents for the analyst xNeed [GEN], to go to the office, to go to the office, to go to the office
[Name] scanned documents for the analyst xReact [GEN], helpful, satisfied, satisfied
[Name] scanned documents for the analyst xReason [GEN], PersonX gives the documents to PersonX, PersonX asks PersonX to scan the documents, PersonX asks PersonX to scan documents for them
[Name] scanned documents for the analyst xWant [GEN], to show the analyst the documents, to show the analyst the documents, to get a good grade
[Name] gave the housekeeper a tip AtLocation [GEN], house, the house is clean, the house
[Name] gave the housekeeper a tip CapableOf [GEN], pay the bill, pay the housekeeper, pay the housekeeper
[Name] gave the housekeeper a tip Causes [GEN], the house is clean and tidy, the house is clean and tidy, the house is clean and tidy
[Name] gave the housekeeper a tip CausesDesire [GEN], the house is clean, the house is clean, Sam pays the housekeeper
[Name] gave the housekeeper a tip CreatedBy [GEN], clean the house, the house is clean, good about themselves
[Name] gave the housekeeper a tip DefinedAs [GEN], the house is clean, the house is clean, the house is clean
[Name] gave the housekeeper a tip DesireOf [GEN], the house is clean, the house is clean, the house to be clean
[Name] gave the housekeeper a tip Desires [GEN], to be nice, to be nice, to be nice
[Name] gave the housekeeper a tip HasA [GEN], the house is clean, the house to be clean, the house to be clean
[Name] gave the housekeeper a tip HasFirstSubevent [GEN], have a clean house, get a tip back, get a tip
[Name] gave the housekeeper a tip HasLastSubevent [GEN], the house is clean, the house is clean, Sam pays the housekeeper
[Name] gave the housekeeper a tip HasPainCharacter [GEN], the house is clean, the house is clean, Sam pays the housekeeper
[Name] gave the housekeeper a tip HasPainIntensity [GEN], get a tip, get a tip back, gets a tip
[Name] gave the housekeeper a tip HasPrerequisite [GEN], have a clean house, the house is clean, Sam pays the housekeeper
[Name] gave the housekeeper a tip HasProperty [GEN], good about themselves, good., good about themselves
[Name] gave the housekeeper a tip HasSubEvent [GEN], pay the bill, pay the bill, pay the bill
[Name] gave the housekeeper a tip HasSubevent [GEN], good about themselves, the house is clean, the house is clean
[Name] gave the housekeeper a tip HinderedBy [GEN], The housekeeper won't give a tip., The housekeeper won't give them a tip., Sam doesn't know how to tip.
[Name] gave the housekeeper a tip InheritsFrom [GEN], the house is clean, the house is clean, the house is clean
[Name] gave the housekeeper a tip InstanceOf [GEN], the house is clean, the house is clean, the house is clean
[Name] gave the housekeeper a tip IsA [GEN], the house is clean, the house is clean, Sam pays the housekeeper
[Name] gave the housekeeper a tip LocatedNear [GEN], to pay the housekeeper, to pay the housekeeper, thank the housekeeper
[Name] gave the housekeeper a tip LocationOfAction [GEN], good about themselves, to be nice, good about themselves
[Name] gave the housekeeper a tip MadeOf [GEN], the house is clean, the housekeeper cleaned the house, the house is clean and tidy
[Name] gave the housekeeper a tip MadeUpOf [GEN], tip jar, tip jar,   
[Name] gave the housekeeper a tip MotivatedByGoal [GEN], the house is clean, the house is clean, the house is clean
[Name] gave the housekeeper a tip NotCapableOf [GEN], good about themselves, the house is clean, good about themselves
[Name] gave the housekeeper a tip NotDesires [GEN], the house is clean, the house is clean, the house to be clean
[Name] gave the housekeeper a tip NotHasA [GEN], the house is clean, the house is clean, Sam pays the housekeeper
[Name] gave the housekeeper a tip NotHasProperty [GEN], the house is clean, happy, good
[Name] gave the housekeeper a tip NotIsA [GEN], the house is clean, the house is clean, Sam pays the housekeeper
[Name] gave the housekeeper a tip NotMadeOf [GEN], the house is clean, the house to be clean, Sam pays the housekeeper
[Name] gave the housekeeper a tip ObjectUse [GEN], to pay the housekeeper, to make sure the house is clean, to make sure the house is clean
[Name] gave the housekeeper a tip PartOf [GEN], the house is clean, the house to be clean, Sam pays the housekeeper
[Name] gave the housekeeper a tip ReceivesAction [GEN], the house is clean, the house to be clean, thank the housekeeper
[Name] gave the housekeeper a tip RelatedTo [GEN], the house is clean, the house to be clean, good about themselves
[Name] gave the housekeeper a tip SymbolOf [GEN], the house is clean, the house to be clean, Sam pays the housekeeper
[Name] gave the housekeeper a tip UsedFor [GEN], pay the housekeeper, the house is clean, get a tip
[Name] gave the housekeeper a tip isAfter [GEN], PersonX cleans up the house, PersonX cleans up the house, Sam pays the housekeeper
[Name] gave the housekeeper a tip isBefore [GEN], the house is clean again, PersonX pays the housekeeper, Sam pays the housekeeper
[Name] gave the housekeeper a tip isFilledBy [GEN], a receipt, the house, a receipt
[Name] gave the housekeeper a tip oEffect [GEN], gets a tip, receives a tip, receives a tip
[Name] gave the housekeeper a tip oReact [GEN], none, none, none
[Name] gave the housekeeper a tip oWant [GEN], to clean the house, to thank the housekeeper, to thank the housekeeper
[Name] gave the housekeeper a tip xAttr [GEN], helpful, helpful, helpful
[Name] gave the housekeeper a tip xEffect [GEN], has less money, pays the bill, pays the bill
[Name] gave the housekeeper a tip xIntent [GEN], to be nice, to be nice, to be nice
[Name] gave the housekeeper a tip xNeed [GEN], to pay the housekeeper, to go to the house, to go to the house
[Name] gave the housekeeper a tip xReact [GEN], satisfied, happy, satisfied
[Name] gave the housekeeper a tip xReason [GEN], the house is clean, the house is clean and tidy, Sam pays the housekeeper
[Name] gave the housekeeper a tip xWant [GEN], to thank the housekeeper, to thank the housekeeper, to thank the housekeeper
[Name] sold some books to the librarian AtLocation [GEN], book store, book store, book store
[Name] sold some books to the librarian CapableOf [GEN], pay the librarian, get a receipt, get a receipt
[Name] sold some books to the librarian Causes [GEN], The librarian took the books., The librarian has no books., the librarian gets the books
[Name] sold some books to the librarian CausesDesire [GEN], The librarian gives the books back, the librarian takes the books, the librarian gets money
[Name] sold some books to the librarian CreatedBy [GEN], to make money, to make money, to make money
[Name] sold some books to the librarian DefinedAs [GEN], books for sale, PersonY buys books from PersonY, they get a receipt
[Name] sold some books to the librarian DesireOf [GEN], they get a receipt, they get paid, they get a receipt
[Name] sold some books to the librarian Desires [GEN], to make some money, to make money, to make money
[Name] sold some books to the librarian HasA [GEN], they got a receipt, the librarian, they get paid
[Name] sold some books to the librarian HasFirstSubevent [GEN], they get paid, get a receipt, gets a receipt
[Name] sold some books to the librarian HasLastSubevent [GEN], books to be sold, PersonY gives the books to PersonY, the librarian gives the books back
[Name] sold some books to the librarian HasPainCharacter [GEN], PersonY buys the books, PersonY gives the books to PersonY, the librarian takes the books
[Name] sold some books to the librarian HasPainIntensity [GEN], gets a receipt, gets a receipt, get money
[Name] sold some books to the librarian HasPrerequisite [GEN], get a receipt, get money, get a receipt
[Name] sold some books to the librarian HasProperty [GEN], they got a receipt, the librarian is happy, they got a receipt
[Name] sold some books to the librarian HasSubEvent [GEN], pay the librarian, gets a receipt, gets a receipt
[Name] sold some books to the librarian HasSubevent [GEN], to make money, to make money, to make money
[Name] sold some books to the librarian HinderedBy [GEN], The librarian won't accept the books., The librarian won't give them to them., The librarian won't give them to them.
[Name] sold some books to the librarian InheritsFrom [GEN], they get a receipt, the librarian takes the books, they get a receipt
[Name] sold some books to the librarian InstanceOf [GEN], PersonY gives PersonY the books, the librarian, the librarian thanks them
[Name] sold some books to the librarian IsA [GEN], PersonY buys the books, the librarian takes the books, the librarian thanks them
[Name] sold some books to the librarian LocatedNear [GEN], to make money, to make some money, to make some money
[Name] sold some books to the librarian LocationOfAction [GEN], to make money, to make money, to make money
[Name] sold some books to the librarian MadeOf [GEN], the librarian needs the books, the librarian needs the books, the librarian gets the books
[Name] sold some books to the librarian MadeUpOf [GEN], book bag, book bag, book bag
[Name] sold some books to the librarian MotivatedByGoal [GEN], PersonY buys the books, the librarian takes the books, they get a receipt
[Name] sold some books to the librarian NotCapableOf [GEN], PersonY buys the books, they get a receipt, books for sale
[Name] sold some books to the librarian NotDesires [GEN], they get a receipt, they get a receipt, they get a receipt
[Name] sold some books to the librarian NotHasA [GEN], PersonY buys books from PersonY, PersonY gives the books to PersonY, the librarian gives the books back
[Name] sold some books to the librarian NotHasProperty [GEN], the librarian is happy, the librarian is happy, the librarian needs the books
[Name] sold some books to the librarian NotIsA [GEN], PersonY buys the books, PersonY buys books from PersonY, the librarian takes the books
[Name] sold some books to the librarian NotMadeOf [GEN], PersonY buys the books, the librarian is happy, they get a receipt
[Name] sold some books to the librarian ObjectUse [GEN], to make some money, to make some money, to make a profit
[Name] sold some books to the librarian PartOf [GEN], get a receipt, they get paid, get a receipt
[Name] sold some books to the librarian ReceivesAction [GEN], they get a receipt, they get a receipt, get a receipt
[Name] sold some books to the librarian RelatedTo [GEN], PersonY buys the books, the librarian takes the books, the librarian gets money
[Name] sold some books to the librarian SymbolOf [GEN], PersonY buys the books, the librarian takes the books, they get a receipt
[Name] sold some books to the librarian UsedFor [GEN], get a receipt, they get paid, get a receipt
[Name] sold some books to the librarian isAfter [GEN], PersonY buys books from PersonY, PersonX buys a lot of books, PersonY buys a lot of books
[Name] sold some books to the librarian isBefore [GEN], PersonY buys the books, PersonY gives the books to PersonY, PersonY gives the books to the librarian
[Name] sold some books to the librarian isFilledBy [GEN], bookshelves, book bag, bookshelf
[Name] sold some books to the librarian oEffect [GEN], gets a receipt, gets a receipt, gets a receipt
[Name] sold some books to the librarian oReact [GEN], none, none, none
[Name] sold some books to the librarian oWant [GEN], to give the books back, to pay the librarian, to give the books back
[Name] sold some books to the librarian xAttr [GEN], hardworking, greedy, hardworking
[Name] sold some books to the librarian xEffect [GEN], gets a receipt, gets a receipt, gets a receipt
[Name] sold some books to the librarian xIntent [GEN], to make extra money, to make money, to make money
