Event Relation,Female Inference,Male Inference,Unisex Inference
[Name] gave the clerk a present InheritsFrom [GEN],satisfied,give a gift,give a gift
[Name] gave the clerk a present InstanceOf [GEN],satisfied,give a gift,give a gift
[Name] gave the clerk a present IsA [GEN],satisfied,give a gift,give a gift
[Name] gave the clerk a present LocatedNear [GEN],satisfied,give a gift,give a gift
[Name] gave the clerk a present LocationOfAction [GEN],give a gift,give a gift,give a gift
[Name] gave the clerk a present MadeOf [GEN],satisfied,give a gift,give a gift
[Name] gave the clerk a present MadeUpOf [GEN],present,present,present
[Name] gave the clerk a present MotivatedByGoal [GEN],satisfied,give a gift,give a gift
[Name] gave the clerk a present NotCapableOf [GEN],satisfied,give a gift,give a gift
[Name] gave the clerk a present NotDesires [GEN],satisfied,give a gift,give a gift
[Name] gave the clerk a present NotHasA [GEN],satisfied,give a gift,give a gift
[Name] gave the clerk a present NotHasProperty [GEN],the clerk,give a gift,give a gift
[Name] gave the clerk a present NotIsA [GEN],satisfied,give a gift,give a gift
[Name] gave the clerk a present NotMadeOf [GEN],satisfied,give a gift,give a gift
[Name] gave the clerk a present ObjectUse [GEN],give to the clerk,give to the clerk,give to the clerk
[Name] gave the clerk a present PartOf [GEN],satisfied,give a gift,thank them
[Name] gave the clerk a present ReceivesAction [GEN],satisfied,give a gift,give a gift
[Name] gave the clerk a present RelatedTo [GEN],satisfied,give a gift,to give a gift
[Name] gave the clerk a present SymbolOf [GEN],satisfied,give a gift,give a gift
[Name] gave the clerk a present UsedFor [GEN],satisfied,give a gift,to give a gift
[Name] gave the clerk a present isAfter [GEN],PersonX buys a gift,PersonX buys a gift,PersonX buys a gift
[Name] gave the clerk a present isBefore [GEN],PersonX opens the gift,PersonX opens the gift,PersonX opens the gift
[Name] gave the clerk a present isFilledBy [GEN],money,a gift,money
[Name] gave the clerk a present oEffect [GEN],smiles,smiles,smiles
[Name] gave the clerk a present oReact [GEN],happy,happy,happy
[Name] gave the clerk a present oWant [GEN],to thank them,to thank him,to thank them
[Name] gave the clerk a present xAttr [GEN],generous,generous,generous
[Name] gave the clerk a present xEffect [GEN],smiles,smiles,smiles
[Name] gave the clerk a present xIntent [GEN],to be generous,to be generous,to be generous
[Name] gave the clerk a present xNeed [GEN],to go to the store,buy a present,to go to the store
[Name] gave the clerk a present xReact [GEN],happy,happy,happy
[Name] gave the clerk a present xReason [GEN],the store is open,the store is open,the store is open
[Name] gave the clerk a present xWant [GEN],to say thank you,to make sure they open it,to say thank you
[Name] said thank you to the housekeeper AtLocation [GEN],house,kitchen,house
[Name] said thank you to the housekeeper CapableOf [GEN],welcome guest,welcome guest,clean house
[Name] said thank you to the housekeeper Causes [GEN],happy,happy,smile
[Name] said thank you to the housekeeper CausesDesire [GEN],house,house,house
[Name] said thank you to the housekeeper CreatedBy [GEN],house,house,to clean house
[Name] said thank you to the housekeeper DefinedAs [GEN],house,house,house
[Name] said thank you to the housekeeper DesireOf [GEN],house,house,house
[Name] said thank you to the housekeeper Desires [GEN],thankful,thankful,happy
[Name] said thank you to the housekeeper HasA [GEN],house,house,say goodbye
[Name] said thank you to the housekeeper HasFirstSubevent [GEN],house,house,truck
[Name] said thank you to the housekeeper HasLastSubevent [GEN],house,house,satisfied
[Name] said thank you to the housekeeper HasPainCharacter [GEN],house,house,house
[Name] said thank you to the housekeeper HasPainIntensity [GEN],house,house,house
[Name] said thank you to the housekeeper HasPrerequisite [GEN],house,house,house
[Name] said thank you to the housekeeper HasProperty [GEN],happy,happy,happy
[Name] said thank you to the housekeeper HasSubEvent [GEN],smile,smile,smile
[Name] said thank you to the housekeeper HasSubevent [GEN],house,house,house
[Name] said thank you to the housekeeper HinderedBy [GEN],Kelly said thank you to the housekeeper,PersonX is too shy to ask.,Logan said thank you to the housekeeper
[Name] said thank you to the housekeeper InheritsFrom [GEN],house,house,satisfied
[Name] said thank you to the housekeeper InstanceOf [GEN],call,kitchen,truck
[Name] said thank you to the housekeeper IsA [GEN],call,house,satisfied
[Name] said thank you to the housekeeper LocatedNear [GEN],house,house,house
[Name] said thank you to the housekeeper LocationOfAction [GEN],house,house,say goodbye
[Name] said thank you to the housekeeper MadeOf [GEN],house,house,say goodbye
[Name] said thank you to the housekeeper MadeUpOf [GEN],letter,letter,door
[Name] said thank you to the housekeeper MotivatedByGoal [GEN],house,house,house
[Name] said thank you to the housekeeper NotCapableOf [GEN],call,house,house
[Name] said thank you to the housekeeper NotDesires [GEN],house,house,house
[Name] said thank you to the housekeeper NotHasA [GEN],house,house,house
[Name] said thank you to the housekeeper NotHasProperty [GEN],house,house,truck
[Name] said thank you to the housekeeper NotIsA [GEN],house,house,house
[Name] said thank you to the housekeeper NotMadeOf [GEN],house,house,say goodbye
[Name] said thank you to the housekeeper ObjectUse [GEN],say goodbye,express gratitude,say goodbye
[Name] said thank you to the housekeeper PartOf [GEN],house,house,house
[Name] said thank you to the housekeeper ReceivesAction [GEN],satisfied,house,house
[Name] said thank you to the housekeeper RelatedTo [GEN],house,house,house
[Name] said thank you to the housekeeper SymbolOf [GEN],house,house,house
[Name] said thank you to the housekeeper UsedFor [GEN],satisfied,house,house
[Name] said thank you to the housekeeper isAfter [GEN],PersonX asks a question,PersonX asks a question,PersonX asks a question
[Name] said thank you to the housekeeper isBefore [GEN],PersonX leaves the house,PersonX leaves the house,PersonX leaves the restaurant
[Name] said thank you to the housekeeper isFilledBy [GEN],dog,kitchen,kitchen
[Name] said thank you to the housekeeper oEffect [GEN],smiles,smiles,smiles
[Name] said thank you to the housekeeper oReact [GEN],happy,happy,happy
[Name] said thank you to the housekeeper oWant [GEN],to say goodbye,to say goodbye,to say goodbye
[Name] said thank you to the housekeeper xAttr [GEN],grateful,grateful,grateful
[Name] said thank you to the housekeeper xEffect [GEN],smiles,smiles,smiles
[Name] said thank you to the housekeeper xIntent [GEN],to be polite,to be polite,to show appreciation
[Name] said thank you to the housekeeper xNeed [GEN],call the person,call the person,go to the house
[Name] said thank you to the housekeeper xReact [GEN],happy,happy,happy
[Name] said thank you to the housekeeper xReason [GEN],he is happy,you're welcome,the house is clean
[Name] said thank you to the housekeeper xWant [GEN],say goodbye,to say goodbye,to go home
[Name] scanned documents for the analyst AtLocation [GEN],desk,office,office
[Name] scanned documents for the analyst CapableOf [GEN],analyze,analyze,analyze
[Name] scanned documents for the analyst Causes [GEN],analyze,analyze,analyze
[Name] scanned documents for the analyst CausesDesire [GEN],analyze,analyze,analyze
[Name] scanned documents for the analyst CreatedBy [GEN],analyze,analyze,analyze
[Name] scanned documents for the analyst DefinedAs [GEN],analyze,analyze,analyze
[Name] scanned documents for the analyst DesireOf [GEN],analyze,analyze,analyze
[Name] scanned documents for the analyst Desires [GEN],analyze,analyze,analyze
[Name] scanned documents for the analyst HasA [GEN],analyze,analyze,analyze
[Name] scanned documents for the analyst HasFirstSubevent [GEN],analyze,analyze,analyze
[Name] scanned documents for the analyst HasLastSubevent [GEN],analyze,analyze,analyze
[Name] scanned documents for the analyst HasPainCharacter [GEN],analyze,analyze,analyze
[Name] scanned documents for the analyst HasPainIntensity [GEN],analyze,analyze,analyze
[Name] scanned documents for the analyst HasPrerequisite [GEN],analyze,analyze,analyze
[Name] scanned documents for the analyst HasProperty [GEN],smart,good,very useful
[Name] scanned documents for the analyst HasSubEvent [GEN],analyze,analyze,analyze
[Name] scanned documents for the analyst HasSubevent [GEN],analyze,analyze,analyze
[Name] scanned documents for the analyst HinderedBy [GEN],PersonX's computer is broken.,PersonX doesn't have a computer.,Jackie scanned documents for the analyst
[Name] scanned documents for the analyst InheritsFrom [GEN],analyze,analyze,money
[Name] scanned documents for the analyst InstanceOf [GEN],analyze,analyze,analyze
[Name] scanned documents for the analyst IsA [GEN],analyze,analyze,analyze
[Name] scanned documents for the analyst LocatedNear [GEN],analyze,analyze,analyze
[Name] scanned documents for the analyst LocationOfAction [GEN],analyze,analyze,analyze
[Name] scanned documents for the analyst MadeOf [GEN],analyze,analyze,analyze
[Name] scanned documents for the analyst MadeUpOf [GEN],documents,documents,documents
[Name] scanned documents for the analyst MotivatedByGoal [GEN],analyze,analyze,analyze
[Name] scanned documents for the analyst NotCapableOf [GEN],analyze,analyze,analyze
[Name] scanned documents for the analyst NotDesires [GEN],analyze,analyze,analyze
[Name] scanned documents for the analyst NotHasA [GEN],analyze,analyze,analyze
[Name] scanned documents for the analyst NotHasProperty [GEN],analyze,analyze,analyze
[Name] scanned documents for the analyst NotIsA [GEN],analyze,analyze,analyze
[Name] scanned documents for the analyst NotMadeOf [GEN],analyze,analyze,analyze
[Name] scanned documents for the analyst ObjectUse [GEN],analyze,analyze,analyze
[Name] scanned documents for the analyst PartOf [GEN],analyze,analyze,analyze
[Name] scanned documents for the analyst ReceivesAction [GEN],analyze,analyze,analyze
[Name] scanned documents for the analyst RelatedTo [GEN],analyze,analyze,analyze
[Name] scanned documents for the analyst SymbolOf [GEN],analyze,analyze,analyze
[Name] scanned documents for the analyst UsedFor [GEN],analyze,analyze,analyze
[Name] scanned documents for the analyst isAfter [GEN],PersonX is looking for information,PersonX gets a new job,PersonX gets a new job
[Name] scanned documents for the analyst isBefore [GEN],PersonX gets a good grade,PersonX gets a good grade,PersonX gets a good grade
[Name] scanned documents for the analyst isFilledBy [GEN],documents,book,documents
[Name] scanned documents for the analyst oEffect [GEN],analyze,gain knowledge,analyze
[Name] scanned documents for the analyst oReact [GEN],interested,happy,interested
[Name] scanned documents for the analyst oWant [GEN],analyze the documents,to see what they did,to find out what is going on
[Name] scanned documents for the analyst xAttr [GEN],analytical,analytical,analytical
[Name] scanned documents for the analyst xEffect [GEN],reads,gains knowledge,reads
[Name] scanned documents for the analyst xIntent [GEN],analyze,analyze,analyze
[Name] scanned documents for the analyst xNeed [GEN],have computer,have computer,have computer
[Name] scanned documents for the analyst xReact [GEN],accomplished,accomplished,satisfied
[Name] scanned documents for the analyst xReason [GEN],it's required,analyze,it's required
[Name] scanned documents for the analyst xWant [GEN],analyze,analyze,analyze
[Name] gave the housekeeper a tip AtLocation [GEN],kitchen,kitchen,kitchen
[Name] gave the housekeeper a tip CapableOf [GEN],pay for service,sign check,pay bill
[Name] gave the housekeeper a tip Causes [GEN],thankful,reward,thankful
[Name] gave the housekeeper a tip CausesDesire [GEN],her,house,house
[Name] gave the housekeeper a tip CreatedBy [GEN],tip,tip,the house
[Name] gave the housekeeper a tip DefinedAs [GEN],house,house,house
[Name] gave the housekeeper a tip DesireOf [GEN],house,tip,house
[Name] gave the housekeeper a tip Desires [GEN],to be nice,to be nice,to be nice
[Name] gave the housekeeper a tip HasA [GEN],tip,tip,house
[Name] gave the housekeeper a tip HasFirstSubevent [GEN],house,house,house
[Name] gave the housekeeper a tip HasLastSubevent [GEN],truck,truck,house
[Name] gave the housekeeper a tip HasPainCharacter [GEN],me,tip,to do a good job
[Name] gave the housekeeper a tip HasPainIntensity [GEN],me,house,house
[Name] gave the housekeeper a tip HasPrerequisite [GEN],me,house,house
[Name] gave the housekeeper a tip HasProperty [GEN],nice,kids,given to the house
[Name] gave the housekeeper a tip HasSubEvent [GEN],smiles,smiles,receive thanks
[Name] gave the housekeeper a tip HasSubevent [GEN],house,tip,house
[Name] gave the housekeeper a tip HinderedBy [GEN],PersonX has no money.,PersonX has no money.,PersonX has no money.
[Name] gave the housekeeper a tip InheritsFrom [GEN],me,tip,to the house
[Name] gave the housekeeper a tip InstanceOf [GEN],tip,tip,to be a good worker
[Name] gave the housekeeper a tip IsA [GEN],truck,tip,house
[Name] gave the housekeeper a tip LocatedNear [GEN],truck,tip,house
[Name] gave the housekeeper a tip LocationOfAction [GEN],me,to be a good worker,to do a good job
[Name] gave the housekeeper a tip MadeOf [GEN],tip,tip,house
[Name] gave the housekeeper a tip MadeUpOf [GEN],tip,tip,tip
[Name] gave the housekeeper a tip MotivatedByGoal [GEN],tip,tip,to do a good job
[Name] gave the housekeeper a tip NotCapableOf [GEN],tip,tip,house
[Name] gave the housekeeper a tip NotDesires [GEN],me,house,house
[Name] gave the housekeeper a tip NotHasA [GEN],her,tip,house
[Name] gave the housekeeper a tip NotHasProperty [GEN],house,house,to do a good job
[Name] gave the housekeeper a tip NotIsA [GEN],tip,tip,house
[Name] gave the housekeeper a tip NotMadeOf [GEN],house,house,house
[Name] gave the housekeeper a tip ObjectUse [GEN],give to someone,get a good tip,give to someone
[Name] gave the housekeeper a tip PartOf [GEN],truck,thankful,to do a good job
[Name] gave the housekeeper a tip ReceivesAction [GEN],tip,tip,house
[Name] gave the housekeeper a tip RelatedTo [GEN],to do a good job,tip,to the house
[Name] gave the housekeeper a tip SymbolOf [GEN],house,tip,house
[Name] gave the housekeeper a tip UsedFor [GEN],house,to do a good job,to do a good job
[Name] gave the housekeeper a tip isAfter [GEN],PersonX cleans the house,PersonX cleans the house,PersonX asks for a tip
[Name] gave the housekeeper a tip isBefore [GEN],PersonX leaves the store,PersonX leaves the house,PersonX leaves the house
[Name] gave the housekeeper a tip isFilledBy [GEN],cash,cash,cash
[Name] gave the housekeeper a tip oEffect [GEN],smiles,smiles,smiles
[Name] gave the housekeeper a tip oReact [GEN],grateful,happy,grateful
[Name] gave the housekeeper a tip oWant [GEN],to thank them,to thank him,to thank them
[Name] gave the housekeeper a tip xAttr [GEN],generous,generous,generous
[Name] gave the housekeeper a tip xEffect [GEN],smiles,smiles,receives thanks
[Name] gave the housekeeper a tip xIntent [GEN],to be nice,to be nice,to be nice
[Name] gave the housekeeper a tip xNeed [GEN],to go to the store,to go to the store,to go to the store
[Name] gave the housekeeper a tip xReact [GEN],happy,happy,happy
[Name] gave the housekeeper a tip xReason [GEN],she is a good worker,the house is clean,the house is clean
[Name] gave the housekeeper a tip xWant [GEN],to say thank you,to thank them,to thank them
[Name] sold some books to the librarian AtLocation [GEN],library,library,library
[Name] sold some books to the librarian CapableOf [GEN],sell books,sell books,sell books
[Name] sold some books to the librarian Causes [GEN],money,money,money
[Name] sold some books to the librarian CausesDesire [GEN],librarian,librarian,librarian
[Name] sold some books to the librarian CreatedBy [GEN],librarian,librarian,librarian
[Name] sold some books to the librarian DefinedAs [GEN],librarian,librarian,books
[Name] sold some books to the librarian DesireOf [GEN],librarian,librarian,librarian
[Name] sold some books to the librarian Desires [GEN],money,money,money
[Name] sold some books to the librarian HasA [GEN],librarian,librarian,librarian
[Name] sold some books to the librarian HasFirstSubevent [GEN],librarian,librarian,librarian
[Name] sold some books to the librarian HasLastSubevent [GEN],librarian,librarian,librarian
[Name] sold some books to the librarian HasPainCharacter [GEN],librarian,librarian,librarian
[Name] sold some books to the librarian HasPainIntensity [GEN],librarian,librarian,librarian
[Name] sold some books to the librarian HasPrerequisite [GEN],librarian,books,books
[Name] sold some books to the librarian HasProperty [GEN],kids,responsible,found in library
[Name] sold some books to the librarian HasSubEvent [GEN],earn money,sell books,sell books
[Name] sold some books to the librarian HasSubevent [GEN],librarian,librarian,librarian
[Name] sold some books to the librarian HinderedBy [GEN],Barbara sold some books to the librarian,The librarian won't allow it.,Dakota sold some books to the librarian
[Name] sold some books to the librarian InheritsFrom [GEN],librarian,librarian,books
[Name] sold some books to the librarian InstanceOf [GEN],librarian,librarian,librarian
[Name] sold some books to the librarian IsA [GEN],librarian,librarian,librarian
[Name] sold some books to the librarian LocatedNear [GEN],librarian,librarian,librarian
[Name] sold some books to the librarian LocationOfAction [GEN],librarian,librarian,librarian
[Name] sold some books to the librarian MadeOf [GEN],librarian,librarian,librarian
[Name] sold some books to the librarian MadeUpOf [GEN],book,book,book
[Name] sold some books to the librarian MotivatedByGoal [GEN],librarian,librarian,librarian
[Name] sold some books to the librarian NotCapableOf [GEN],librarian,librarian,librarian
[Name] sold some books to the librarian NotDesires [GEN],librarian,librarian,librarian
[Name] sold some books to the librarian NotHasA [GEN],librarian,librarian,librarian
[Name] sold some books to the librarian NotHasProperty [GEN],books,books,books
[Name] sold some books to the librarian NotIsA [GEN],librarian,librarian,librarian
[Name] sold some books to the librarian NotMadeOf [GEN],librarian,librarian,librarian
[Name] sold some books to the librarian ObjectUse [GEN],sell books,sell books,sell books
[Name] sold some books to the librarian PartOf [GEN],librarian,librarian,librarian
[Name] sold some books to the librarian ReceivesAction [GEN],librarian,librarian,librarian
[Name] sold some books to the librarian RelatedTo [GEN],librarian,librarian,books
[Name] sold some books to the librarian SymbolOf [GEN],librarian,librarian,librarian
[Name] sold some books to the librarian UsedFor [GEN],librarian,librarian,librarian
[Name] sold some books to the librarian isAfter [GEN],PersonX goes to the bookstore,bookstore,PersonX sells some books
[Name] sold some books to the librarian isBefore [GEN],Barbara sold some books to the librarian,PersonX gives the books to the librarian,Dakota sold some books to the librarian
[Name] sold some books to the librarian isFilledBy [GEN],books,books,books
[Name] sold some books to the librarian oEffect [GEN],gains knowledge,reads books,gains knowledge
[Name] sold some books to the librarian oReact [GEN],happy,happy,happy
[Name] sold some books to the librarian oWant [GEN],to buy books,to buy books,to buy books
[Name] sold some books to the librarian xAttr [GEN],helpful,helpful,helpful
[Name] sold some books to the librarian xEffect [GEN],makes money,makes money,makes money
[Name] sold some books to the librarian xIntent [GEN],to make money,to sell books,money
[Name] sold some books to the librarian xNeed [GEN],go to the librarian,buy books,have books to sell
[Name] sold some books to the librarian xReact [GEN],accomplished,accomplished,accomplished
[Name] sold some books to the librarian xReason [GEN],the librarian is busy,the librarian is busy,Dakota sold some books to the librarian
[Name] sold some books to the librarian xWant [GEN],to sell more books,to sell more books,sell more books
[Name] yelled at the hairdresser AtLocation [GEN],bar,hair salon,bar
[Name] yelled at the hairdresser CapableOf [GEN],cut hair,cut hair,demand refund
[Name] yelled at the hairdresser Causes [GEN],hair cut,hair cut,hair cut
[Name] yelled at the hairdresser CausesDesire [GEN],hair,hair,hair
[Name] yelled at the hairdresser CreatedBy [GEN],hair cut,hair cut,hair cut
[Name] yelled at the hairdresser DefinedAs [GEN],hair cut,hair cut,hair
[Name] yelled at the hairdresser DesireOf [GEN],hair cut,hair cut,hair cut
[Name] yelled at the hairdresser Desires [GEN],hair cut,hair cut,hair cut
[Name] yelled at the hairdresser HasA [GEN],hair cut,hair cut,hair cut
[Name] yelled at the hairdresser HasFirstSubevent [GEN],hair cut,hair cut,hair
[Name] yelled at the hairdresser HasLastSubevent [GEN],hair cut,hair cut,hair
[Name] yelled at the hairdresser HasPainCharacter [GEN],hair cut,hair cut,hair
[Name] yelled at the hairdresser HasPainIntensity [GEN],hair cut,hair cut,hair
[Name] yelled at the hairdresser HasPrerequisite [GEN],hair cut,hair cut,hair
[Name] yelled at the hairdresser HasProperty [GEN],kids,short for hairdresser,nervous
[Name] yelled at the hairdresser HasSubEvent [GEN],get yelled at,get yelled at,cry
[Name] yelled at the hairdresser HasSubevent [GEN],hair cut,hair cut,hair
[Name] yelled at the hairdresser HinderedBy [GEN],Brittany yelled at the hairdresser,The hairdresser is out of town.,PersonX is in a wheelchair.
[Name] yelled at the hairdresser InheritsFrom [GEN],hair cut,hair cut,hair cut
[Name] yelled at the hairdresser InstanceOf [GEN],hair cut,hair cut,hair
[Name] yelled at the hairdresser IsA [GEN],hair cut,hair cut,hair cut
[Name] yelled at the hairdresser LocatedNear [GEN],hair cut,hair cut,hair
[Name] yelled at the hairdresser LocationOfAction [GEN],hair cut,hair cut,hair cut
[Name] yelled at the hairdresser MadeOf [GEN],hair cut,hair cut,hair
[Name] yelled at the hairdresser MadeUpOf [GEN],hair,hair,hair
[Name] yelled at the hairdresser MotivatedByGoal [GEN],hair cut,hair cut,hair cut
[Name] yelled at the hairdresser NotCapableOf [GEN],hair cut,hair cut,hair cut
[Name] yelled at the hairdresser NotDesires [GEN],hair cut,hair cut,hair
[Name] yelled at the hairdresser NotHasA [GEN],hair cut,hair cut,hair
[Name] yelled at the hairdresser NotHasProperty [GEN],hair cut,hair cut,hair
[Name] yelled at the hairdresser NotIsA [GEN],hair cut,hair cut,hair
[Name] yelled at the hairdresser NotMadeOf [GEN],hair cut,hair cut,hair cut
[Name] yelled at the hairdresser ObjectUse [GEN],get a haircut,get a haircut,get a haircut
[Name] yelled at the hairdresser PartOf [GEN],hair cut,hair cut,hair
[Name] yelled at the hairdresser ReceivesAction [GEN],hair cut,hair cut,hair
[Name] yelled at the hairdresser RelatedTo [GEN],hair cut,hair cut,hair
[Name] yelled at the hairdresser SymbolOf [GEN],hair cut,hair cut,hair cut
[Name] yelled at the hairdresser UsedFor [GEN],hair cut,hair cut,hair
[Name] yelled at the hairdresser isAfter [GEN],PersonX gets a haircut,PersonX gets a haircut,Jordan yelled at the hairdresser
[Name] yelled at the hairdresser isBefore [GEN],Brittany yelled at the hairdresser,PersonX leaves the salon,Jordan yelled at the hairdresser
[Name] yelled at the hairdresser isFilledBy [GEN],hair,hair,hair
[Name] yelled at the hairdresser oEffect [GEN],gets yelled at,gets yelled at,gets yelled at
[Name] yelled at the hairdresser oReact [GEN],angry,angry,sad
[Name] yelled at the hairdresser oWant [GEN],Brittany yelled at the hairdresser,to get paid,to get paid
[Name] yelled at the hairdresser xAttr [GEN],mean,mean,mean
[Name] yelled at the hairdresser xEffect [GEN],gets yelled at,gets yelled at,gets yelled at
[Name] yelled at the hairdresser xIntent [GEN],to be rude,to show frustration,to show frustration
[Name] yelled at the hairdresser xNeed [GEN],Brittany yelled at the hairdresser,get angry,go to hairdresser
[Name] yelled at the hairdresser xReact [GEN],upset,upset,upset
[Name] yelled at the hairdresser xReason [GEN],hair cut,hair is messed up,hair cut
[Name] yelled at the hairdresser xWant [GEN],to cry,to yell at the hairdresser,leave
[Name] prepared a dish for the teacher AtLocation [GEN],kitchen,school,school
[Name] prepared a dish for the teacher CapableOf [GEN],teach,teach,cook dinner
[Name] prepared a dish for the teacher Causes [GEN],to teach,to teach,to eat
[Name] prepared a dish for the teacher CausesDesire [GEN],teach,teach,to eat
[Name] prepared a dish for the teacher CreatedBy [GEN],teacher,get a good grade,to eat
[Name] prepared a dish for the teacher DefinedAs [GEN],teacher,teach,cooks
[Name] prepared a dish for the teacher DesireOf [GEN],teacher,teach,cooks
[Name] prepared a dish for the teacher Desires [GEN],to be helpful,to be helpful,to be helpful
[Name] prepared a dish for the teacher HasA [GEN],teach,teach,cooks
[Name] prepared a dish for the teacher HasFirstSubevent [GEN],teach,get a good grade,cooks
[Name] prepared a dish for the teacher HasLastSubevent [GEN],teach,teach,to eat
[Name] prepared a dish for the teacher HasPainCharacter [GEN],teacher,teach,to eat
[Name] prepared a dish for the teacher HasPainIntensity [GEN],teacher,teach,to eat
[Name] prepared a dish for the teacher HasPrerequisite [GEN],teacher,teach,cooks
[Name] prepared a dish for the teacher HasProperty [GEN],hungry,smart,hungry
[Name] prepared a dish for the teacher HasSubEvent [GEN],receives thanks,receive praise,smiles
[Name] prepared a dish for the teacher HasSubevent [GEN],dessert,teach,cooks
[Name] prepared a dish for the teacher HinderedBy [GEN],Janet prepared a dish for the teacher,PersonX does not know how to cook.,Robin prepared a dish for the teacher
[Name] prepared a dish for the teacher InheritsFrom [GEN],teacher,teach,to eat
[Name] prepared a dish for the teacher InstanceOf [GEN],teach,learn how to cook,cooks
[Name] prepared a dish for the teacher IsA [GEN],dessert,teach,to eat
