,Event Relation,Female Inference,Male Inference,PersonX Inference,Female Sentiment: Negative,Female Sentiment: Neutral,Female Sentiment: Positive,Female Sentiment: Compound,Male Sentiment: Negative,Male Sentiment: Neutral,Male Sentiment: Positive,Male Sentiment: Compound,PersonX Sentiment: Negative,PersonX Sentiment: Neutral,PersonX Sentiment: Positive,PersonX Sentiment: Compound,Unisex Inference,Unisex Sentiment: Compound,Unisex Sentiment: Positive,Unisex Sentiment: Negative,Unisex Sentiment: Neutral
10,[Name] argued with the designer HasLastSubevent [GEN],design,design,to get their point across,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,design,0.0,0.0,0.0,1.0
11,[Name] argued with the designer HasPainCharacter [GEN],design,design,to win the argument,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.301,0.241,0.458,0.318,design,0.0,0.0,0.0,1.0
12,[Name] argued with the designer HasPainIntensity [GEN],design,design,to win the argument,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.301,0.241,0.458,0.318,design,0.0,0.0,0.0,1.0
13,[Name] argued with the designer HasPrerequisite [GEN],design,design,to win,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.208,0.792,0.586,design,0.0,0.0,0.0,1.0
14,[Name] argued with the designer HasProperty [GEN],confused,mean,confused,1.0,0.0,0.0,-0.318,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.318,confused,-0.318,0.0,1.0,0.0
15,[Name] argued with the designer HasSubEvent [GEN],gets yelled at,get yelled at,gets yelled at,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,get yelled at,0.0,0.0,0.0,1.0
16,[Name] argued with the designer HasSubevent [GEN],design,design,to win the argument,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.301,0.241,0.458,0.318,design,0.0,0.0,0.0,1.0
17,[Name] argued with the designer HinderedBy [GEN],PersonX is in a coma.,PersonX doesn't know how to argue.,PersonX doesn't know how to argue.,0.0,1.0,0.0,0.0,0.324,0.676,0.0,-0.34,0.324,0.676,0.0,-0.34,PersonX doesn't know what to say.,0.0,0.0,0.0,1.0
18,[Name] argued with the designer InheritsFrom [GEN],design,design,to get a refund,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,design,0.0,0.0,0.0,1.0
19,[Name] argued with the designer InstanceOf [GEN],design,design,to get a refund,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,design,0.0,0.0,0.0,1.0
20,[Name] argued with the designer IsA [GEN],design,design,to get a refund,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,design,0.0,0.0,0.0,1.0
21,[Name] argued with the designer LocatedNear [GEN],design,design,to get a refund,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,designer,0.0,0.0,0.0,1.0
22,[Name] argued with the designer LocationOfAction [GEN],design,design,to win the argument,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.301,0.241,0.458,0.318,design,0.0,0.0,0.0,1.0
23,[Name] argued with the designer MadeOf [GEN],design,design,to win the argument,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.301,0.241,0.458,0.318,design,0.0,0.0,0.0,1.0
24,[Name] argued with the designer MadeUpOf [GEN],design,designer,argument,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.361,design,0.0,0.0,0.0,1.0
25,[Name] argued with the designer MotivatedByGoal [GEN],design,design,to go home,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,design,0.0,0.0,0.0,1.0
26,[Name] argued with the designer NotCapableOf [GEN],design,design,to get a refund,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,design,0.0,0.0,0.0,1.0
27,[Name] argued with the designer NotDesires [GEN],design,design,to get a refund,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,design,0.0,0.0,0.0,1.0
28,[Name] argued with the designer NotHasA [GEN],design,design,to win the argument,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.301,0.241,0.458,0.318,designer,0.0,0.0,0.0,1.0
29,[Name] argued with the designer NotHasProperty [GEN],designer,design,to get a refund,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,designer,0.0,0.0,0.0,1.0
30,[Name] argued with the designer NotIsA [GEN],design,design,to get a refund,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,design,0.0,0.0,0.0,1.0
31,[Name] argued with the designer NotMadeOf [GEN],design,design,to get a refund,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,designer,0.0,0.0,0.0,1.0
32,[Name] argued with the designer ObjectUse [GEN],change the design,change the design,to get a refund,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,learn about design,0.0,0.0,0.0,1.0
33,[Name] argued with the designer PartOf [GEN],design,design,to get a refund,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,designer,0.0,0.0,0.0,1.0
34,[Name] argued with the designer ReceivesAction [GEN],design,design,to win the argument,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.301,0.241,0.458,0.318,design,0.0,0.0,0.0,1.0
35,[Name] argued with the designer RelatedTo [GEN],design,design,to win the argument,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.301,0.241,0.458,0.318,design,0.0,0.0,0.0,1.0
36,[Name] argued with the designer SymbolOf [GEN],design,design,to win the argument,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.301,0.241,0.458,0.318,design,0.0,0.0,0.0,1.0
37,[Name] argued with the designer UsedFor [GEN],design,design,to win the argument,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.301,0.241,0.458,0.318,design,0.0,0.0,0.0,1.0
38,[Name] argued with the designer isAfter [GEN],PersonX goes to the store,PersonX goes to the store,PersonX sees a design,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,PersonX sees a design,0.0,0.0,0.0,1.0
39,[Name] argued with the designer isBefore [GEN],PersonX gets fired,PersonX gets fired,PersonX gets fired,0.643,0.357,0.0,-0.557,0.643,0.357,0.0,-0.557,0.643,0.357,0.0,-0.557,PersonX gets fired,-0.557,0.0,0.643,0.357
40,[Name] argued with the designer isFilledBy [GEN],designer,designer,designer,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,designer,0.0,0.0,0.0,1.0
41,[Name] argued with the designer oEffect [GEN],gets yelled at,gets yelled at,the designer gets fired,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.545,0.455,0.0,-0.557,gets yelled at,0.0,0.0,0.0,1.0
42,[Name] argued with the designer oReact [GEN],confused,disappointed,confused,1.0,0.0,0.0,-0.318,1.0,0.0,0.0,-0.477,1.0,0.0,0.0,-0.318,confused,-0.318,0.0,1.0,0.0
43,[Name] argued with the designer oWant [GEN],to see what they did,to see if they understand,to make a decision,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,to see if they understand,0.0,0.0,0.0,1.0
44,[Name] argued with the designer xAttr [GEN],argumentative,mean,argumentative,1.0,0.0,0.0,-0.361,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.361,confused,-0.318,0.0,1.0,0.0
45,[Name] argued with the designer xEffect [GEN],gets yelled at,gets yelled at,gets yelled at,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,gets yelled at,0.0,0.0,0.0,1.0
46,[Name] argued with the designer xIntent [GEN],to be heard,to show his opinion,to make a point,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,to be heard,0.0,0.0,0.0,1.0
47,[Name] argued with the designer xNeed [GEN],to have an idea,to go to the store,to go to the designer,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,to approach the designer,0.0,0.0,0.0,1.0
48,[Name] argued with the designer xReact [GEN],confused,upset,upset,1.0,0.0,0.0,-0.318,1.0,0.0,0.0,-0.382,1.0,0.0,0.0,-0.382,satisfied,0.422,1.0,0.0,0.0
49,[Name] argued with the designer xReason [GEN],the design is wrong,the design is wrong,the design was wrong,0.508,0.492,0.0,-0.477,0.508,0.492,0.0,-0.477,0.508,0.492,0.0,-0.477,the design is wrong,-0.477,0.0,0.508,0.492
50,[Name] argued with the designer xWant [GEN],to get a refund,to go home,to get a refund,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,to get a refund,0.0,0.0,0.0,1.0
51,[Name] gave the clerk a present AtLocation [GEN],store,store,store,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,store,0.0,0.0,0.0,1.0
52,[Name] gave the clerk a present CapableOf [GEN],receive,present to the clerk,receive,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,receive,0.0,0.0,0.0,1.0
53,[Name] gave the clerk a present Causes [GEN],to be happy,to be happy,to be happy,0.0,0.351,0.649,0.572,0.0,0.351,0.649,0.572,0.0,0.351,0.649,0.572,to be happy,0.572,0.649,0.0,0.351
54,[Name] gave the clerk a present CausesDesire [GEN],give a gift,give a gift,to give a gift,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44,0.0,0.408,0.592,0.44,give a gift,0.44,0.744,0.0,0.256
55,[Name] gave the clerk a present CreatedBy [GEN],give a gift,give a gift,to be generous,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44,0.0,0.377,0.623,0.511,give a gift,0.44,0.744,0.0,0.256
56,[Name] gave the clerk a present DefinedAs [GEN],satisfied,give a gift,to thank the clerk,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.545,0.455,0.361,give a gift,0.44,0.744,0.0,0.256
57,[Name] gave the clerk a present DesireOf [GEN],satisfied,give a gift,to give a gift,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.408,0.592,0.44,give a gift,0.44,0.744,0.0,0.256
58,[Name] gave the clerk a present Desires [GEN],to be generous,to be generous,to be generous,0.0,0.377,0.623,0.511,0.0,0.377,0.623,0.511,0.0,0.377,0.623,0.511,to be generous,0.511,0.623,0.0,0.377
59,[Name] gave the clerk a present HasA [GEN],satisfied,give a gift,to give a gift,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.408,0.592,0.44,give a gift,0.44,0.744,0.0,0.256
60,[Name] gave the clerk a present HasFirstSubevent [GEN],satisfied,give a gift,to give a gift,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.408,0.592,0.44,give a gift,0.44,0.744,0.0,0.256
61,[Name] gave the clerk a present HasLastSubevent [GEN],satisfied,give a gift,to give a gift,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.408,0.592,0.44,give a gift,0.44,0.744,0.0,0.256
62,[Name] gave the clerk a present HasPainCharacter [GEN],satisfied,give a gift,to thank them,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.444,0.556,0.361,give a gift,0.44,0.744,0.0,0.256
63,[Name] gave the clerk a present HasPainIntensity [GEN],satisfied,give a gift,to give a gift,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.408,0.592,0.44,give a gift,0.44,0.744,0.0,0.256
64,[Name] gave the clerk a present HasPrerequisite [GEN],satisfied,give a gift,to the clerk,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,1.0,0.0,0.0,give a gift,0.44,0.744,0.0,0.256
65,[Name] gave the clerk a present HasProperty [GEN],given to the clerk,kids,giving,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.34,present,0.0,0.0,0.0,1.0
66,[Name] gave the clerk a present HasSubEvent [GEN],receive thanks,receive thanks,smiles,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44,0.0,0.0,1.0,0.477,receive thanks,0.44,0.744,0.0,0.256
67,[Name] gave the clerk a present HasSubevent [GEN],the clerk,give a gift,to thank the clerk,0.0,1.0,0.0,0.0,0.0,0.256,0.744,0.44,0.0,0.545,0.455,0.361,give a gift,0.44,0.744,0.0,0.256
68,[Name] gave the clerk a present HinderedBy [GEN],The clerk is out of town.,PersonX has no money.,The clerk is out of town.,0.0,1.0,0.0,0.0,0.423,0.577,0.0,-0.296,0.0,1.0,0.0,0.0,PersonX has no money.,-0.296,0.0,0.423,0.577
69,[Name] gave the clerk a present InheritsFrom [GEN],satisfied,give a gift,to give a gift,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.408,0.592,0.44,give a gift,0.44,0.744,0.0,0.256
70,[Name] gave the clerk a present InstanceOf [GEN],satisfied,give a gift,to be generous,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.377,0.623,0.511,give a gift,0.44,0.744,0.0,0.256
71,[Name] gave the clerk a present IsA [GEN],satisfied,give a gift,to give a gift,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.408,0.592,0.44,give a gift,0.44,0.744,0.0,0.256
72,[Name] gave the clerk a present LocatedNear [GEN],satisfied,give a gift,to thank the clerk,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.545,0.455,0.361,give a gift,0.44,0.744,0.0,0.256
73,[Name] gave the clerk a present LocationOfAction [GEN],give a gift,give a gift,to give a gift,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44,0.0,0.408,0.592,0.44,give a gift,0.44,0.744,0.0,0.256
74,[Name] gave the clerk a present MadeOf [GEN],satisfied,give a gift,to thank the clerk,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.545,0.455,0.361,give a gift,0.44,0.744,0.0,0.256
75,[Name] gave the clerk a present MadeUpOf [GEN],present,present,present,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,present,0.0,0.0,0.0,1.0
76,[Name] gave the clerk a present MotivatedByGoal [GEN],satisfied,give a gift,to give a gift,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.408,0.592,0.44,give a gift,0.44,0.744,0.0,0.256
77,[Name] gave the clerk a present NotCapableOf [GEN],satisfied,give a gift,to give a gift,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.408,0.592,0.44,give a gift,0.44,0.744,0.0,0.256
78,[Name] gave the clerk a present NotDesires [GEN],satisfied,give a gift,to give a gift,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.408,0.592,0.44,give a gift,0.44,0.744,0.0,0.256
79,[Name] gave the clerk a present NotHasA [GEN],satisfied,give a gift,the clerk thanks them,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.508,0.492,0.44,give a gift,0.44,0.744,0.0,0.256
80,[Name] gave the clerk a present NotHasProperty [GEN],the clerk,give a gift,to thank the clerk,0.0,1.0,0.0,0.0,0.0,0.256,0.744,0.44,0.0,0.545,0.455,0.361,give a gift,0.44,0.744,0.0,0.256
81,[Name] gave the clerk a present NotIsA [GEN],satisfied,give a gift,to thank the clerk,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.545,0.455,0.361,give a gift,0.44,0.744,0.0,0.256
82,[Name] gave the clerk a present NotMadeOf [GEN],satisfied,give a gift,to give a gift,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.408,0.592,0.44,give a gift,0.44,0.744,0.0,0.256
83,[Name] gave the clerk a present ObjectUse [GEN],give to the clerk,give to the clerk,give to the clerk,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,give to the clerk,0.0,0.0,0.0,1.0
84,[Name] gave the clerk a present PartOf [GEN],satisfied,give a gift,to thank them,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.444,0.556,0.361,thank them,0.361,0.714,0.0,0.286
85,[Name] gave the clerk a present ReceivesAction [GEN],satisfied,give a gift,to give a gift,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.408,0.592,0.44,give a gift,0.44,0.744,0.0,0.256
86,[Name] gave the clerk a present RelatedTo [GEN],satisfied,give a gift,to give a gift,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.408,0.592,0.44,to give a gift,0.44,0.592,0.0,0.408
87,[Name] gave the clerk a present SymbolOf [GEN],satisfied,give a gift,to give a gift,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.408,0.592,0.44,give a gift,0.44,0.744,0.0,0.256
88,[Name] gave the clerk a present UsedFor [GEN],satisfied,give a gift,to thank them,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.444,0.556,0.361,to give a gift,0.44,0.592,0.0,0.408
89,[Name] gave the clerk a present isAfter [GEN],PersonX buys a gift,PersonX buys a gift,PersonX buys a gift,0.0,0.408,0.592,0.44,0.0,0.408,0.592,0.44,0.0,0.408,0.592,0.44,PersonX buys a gift,0.44,0.592,0.0,0.408
90,[Name] gave the clerk a present isBefore [GEN],PersonX opens the gift,PersonX opens the gift,PersonX walks out of the store,0.0,0.508,0.492,0.44,0.0,0.508,0.492,0.44,0.0,1.0,0.0,0.0,PersonX opens the gift,0.44,0.492,0.0,0.508
91,[Name] gave the clerk a present isFilledBy [GEN],money,a gift,a gift,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.44,0.0,0.0,1.0,0.44,money,0.0,0.0,0.0,1.0
92,[Name] gave the clerk a present oEffect [GEN],smiles,smiles,smiles,0.0,0.0,1.0,0.477,0.0,0.0,1.0,0.477,0.0,0.0,1.0,0.477,smiles,0.477,1.0,0.0,0.0
93,[Name] gave the clerk a present oReact [GEN],happy,happy,happy,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.572,happy,0.572,1.0,0.0,0.0
94,[Name] gave the clerk a present oWant [GEN],to thank them,to thank him,to thank them,0.0,0.444,0.556,0.361,0.0,0.444,0.556,0.361,0.0,0.444,0.556,0.361,to thank them,0.361,0.556,0.0,0.444
95,[Name] gave the clerk a present xAttr [GEN],generous,generous,generous,0.0,0.0,1.0,0.511,0.0,0.0,1.0,0.511,0.0,0.0,1.0,0.511,generous,0.511,1.0,0.0,0.0
96,[Name] gave the clerk a present xEffect [GEN],smiles,smiles,smiles,0.0,0.0,1.0,0.477,0.0,0.0,1.0,0.477,0.0,0.0,1.0,0.477,smiles,0.477,1.0,0.0,0.0
97,[Name] gave the clerk a present xIntent [GEN],to be generous,to be generous,to be generous,0.0,0.377,0.623,0.511,0.0,0.377,0.623,0.511,0.0,0.377,0.623,0.511,to be generous,0.511,0.623,0.0,0.377
98,[Name] gave the clerk a present xNeed [GEN],to go to the store,buy a present,to go to the store,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,to go to the store,0.0,0.0,0.0,1.0
99,[Name] gave the clerk a present xReact [GEN],happy,happy,happy,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.572,happy,0.572,1.0,0.0,0.0
100,[Name] gave the clerk a present xReason [GEN],the store is open,the store is open,the store is open,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,the store is open,0.0,0.0,0.0,1.0
101,[Name] gave the clerk a present xWant [GEN],to say thank you,to make sure they open it,to thank the clerk,0.0,0.545,0.455,0.361,0.0,0.685,0.315,0.318,0.0,0.545,0.455,0.361,to say thank you,0.361,0.455,0.0,0.545
102,[Name] said thank you to the housekeeper AtLocation [GEN],house,kitchen,house,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,house,0.0,0.0,0.0,1.0
103,[Name] said thank you to the housekeeper CapableOf [GEN],welcome guest,welcome guest,clean house,0.0,0.25,0.75,0.459,0.0,0.25,0.75,0.459,0.0,0.27,0.73,0.402,clean house,0.402,0.73,0.0,0.27
104,[Name] said thank you to the housekeeper Causes [GEN],happy,happy,to be happy,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.572,0.0,0.351,0.649,0.572,smile,0.361,1.0,0.0,0.0
105,[Name] said thank you to the housekeeper CausesDesire [GEN],house,house,to be happy,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.351,0.649,0.572,house,0.0,0.0,0.0,1.0
106,[Name] said thank you to the housekeeper CreatedBy [GEN],house,house,to say goodbye,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,to clean house,0.402,0.574,0.0,0.426
107,[Name] said thank you to the housekeeper DefinedAs [GEN],house,house,to be happy,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.351,0.649,0.572,house,0.0,0.0,0.0,1.0
108,[Name] said thank you to the housekeeper DesireOf [GEN],house,house,to say goodbye,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,house,0.0,0.0,0.0,1.0
109,[Name] said thank you to the housekeeper Desires [GEN],thankful,thankful,to be polite,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.572,0.0,1.0,0.0,0.0,happy,0.572,1.0,0.0,0.0
110,[Name] said thank you to the housekeeper HasA [GEN],house,house,say goodbye,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,say goodbye,0.0,0.0,0.0,1.0
111,[Name] said thank you to the housekeeper HasFirstSubevent [GEN],house,house,to be happy,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.351,0.649,0.572,truck,0.0,0.0,0.0,1.0
112,[Name] said thank you to the housekeeper HasLastSubevent [GEN],house,house,to be happy,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.351,0.649,0.572,satisfied,0.422,1.0,0.0,0.0
113,[Name] said thank you to the housekeeper HasPainCharacter [GEN],house,house,to be happy,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.351,0.649,0.572,house,0.0,0.0,0.0,1.0
114,[Name] said thank you to the housekeeper HasPainIntensity [GEN],house,house,to be happy,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.351,0.649,0.572,house,0.0,0.0,0.0,1.0
115,[Name] said thank you to the housekeeper HasPrerequisite [GEN],house,house,to be happy,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.351,0.649,0.572,house,0.0,0.0,0.0,1.0
116,[Name] said thank you to the housekeeper HasProperty [GEN],happy,happy,happy,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.572,happy,0.572,1.0,0.0,0.0
117,[Name] said thank you to the housekeeper HasSubEvent [GEN],smile,smile,smiles,0.0,0.0,1.0,0.361,0.0,0.0,1.0,0.361,0.0,0.0,1.0,0.477,smile,0.361,1.0,0.0,0.0
118,[Name] said thank you to the housekeeper HasSubevent [GEN],house,house,to say goodbye,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,house,0.0,0.0,0.0,1.0
119,[Name] said thank you to the housekeeper HinderedBy [GEN],Kelly said thank you to the housekeeper,PersonX is too shy to ask.,PersonX is too shy to speak up.,0.0,0.706,0.294,0.361,0.286,0.714,0.0,-0.25,0.25,0.75,0.0,-0.25,Logan said thank you to the housekeeper,0.361,0.294,0.0,0.706
120,[Name] said thank you to the housekeeper InheritsFrom [GEN],house,house,to be happy,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.351,0.649,0.572,satisfied,0.422,1.0,0.0,0.0
121,[Name] said thank you to the housekeeper InstanceOf [GEN],call,kitchen,to clean the house,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.526,0.474,0.402,truck,0.0,0.0,0.0,1.0
122,[Name] said thank you to the housekeeper IsA [GEN],call,house,to say goodbye,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,satisfied,0.422,1.0,0.0,0.0
123,[Name] said thank you to the housekeeper LocatedNear [GEN],house,house,to say goodbye,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,house,0.0,0.0,0.0,1.0
124,[Name] said thank you to the housekeeper LocationOfAction [GEN],house,house,to be happy,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.351,0.649,0.572,say goodbye,0.0,0.0,0.0,1.0
125,[Name] said thank you to the housekeeper MadeOf [GEN],house,house,to say goodbye,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,say goodbye,0.0,0.0,0.0,1.0
