Event Relation,Female Inference,Male Inference,PersonX Inference,Female-Male Similarity,Female-PersonX Similarity,Male-PersonX Similarity
[Name] argued with the designer xNeed [GEN],to have an idea,to go to the store,to go to the designer,0.361,0.476,0.565
[Name] argued with the designer xReact [GEN],confused,upset,upset,0.419,0.419,1.0
[Name] argued with the designer xReason [GEN],the design is wrong,the design is wrong,the design was wrong,1.0,0.912,0.912
[Name] argued with the designer xWant [GEN],to get a refund,to go home,to get a refund,0.386,1.0,0.386
[Name] gave the clerk a present AtLocation [GEN],store,store,store,1.0,1.0,1.0
[Name] gave the clerk a present CapableOf [GEN],receive,present to the clerk,receive,0.338,1.0,0.338
[Name] gave the clerk a present Causes [GEN],to be happy,to be happy,to be happy,1.0,1.0,1.0
[Name] gave the clerk a present CausesDesire [GEN],give a gift,give a gift,to give a gift,1.0,0.746,0.746
[Name] gave the clerk a present CreatedBy [GEN],give a gift,give a gift,to be generous,1.0,0.408,0.408
[Name] gave the clerk a present DefinedAs [GEN],satisfied,give a gift,to thank the clerk,0.24,0.268,0.257
[Name] gave the clerk a present DesireOf [GEN],satisfied,give a gift,to give a gift,0.24,0.241,0.746
[Name] gave the clerk a present Desires [GEN],to be generous,to be generous,to be generous,1.0,1.0,1.0
[Name] gave the clerk a present HasA [GEN],satisfied,give a gift,to give a gift,0.24,0.241,0.746
[Name] gave the clerk a present HasFirstSubevent [GEN],satisfied,give a gift,to give a gift,0.24,0.241,0.746
[Name] gave the clerk a present HasLastSubevent [GEN],satisfied,give a gift,to give a gift,0.24,0.241,0.746
[Name] gave the clerk a present HasPainCharacter [GEN],satisfied,give a gift,to thank them,0.24,0.33,0.382
[Name] gave the clerk a present HasPainIntensity [GEN],satisfied,give a gift,to give a gift,0.24,0.241,0.746
[Name] gave the clerk a present HasPrerequisite [GEN],satisfied,give a gift,to the clerk,0.24,0.166,0.188
[Name] gave the clerk a present HasProperty [GEN],given to the clerk,kids,giving,0.126,0.374,0.336
[Name] gave the clerk a present HasSubEvent [GEN],receive thanks,receive thanks,smiles,1.0,0.225,0.225
[Name] gave the clerk a present HasSubevent [GEN],the clerk,give a gift,to thank the clerk,0.131,0.736,0.257
[Name] gave the clerk a present HinderedBy [GEN],The clerk is out of town.,PersonX has no money.,The clerk is out of town.,0.073,1.0,0.073
[Name] gave the clerk a present InheritsFrom [GEN],satisfied,give a gift,to give a gift,0.24,0.241,0.746
[Name] gave the clerk a present InstanceOf [GEN],satisfied,give a gift,to be generous,0.24,0.308,0.408
[Name] gave the clerk a present IsA [GEN],satisfied,give a gift,to give a gift,0.24,0.241,0.746
[Name] gave the clerk a present LocatedNear [GEN],satisfied,give a gift,to thank the clerk,0.24,0.268,0.257
[Name] gave the clerk a present LocationOfAction [GEN],give a gift,give a gift,to give a gift,1.0,0.746,0.746
[Name] gave the clerk a present MadeOf [GEN],satisfied,give a gift,to thank the clerk,0.24,0.268,0.257
[Name] gave the clerk a present MadeUpOf [GEN],present,present,present,1.0,1.0,1.0
[Name] gave the clerk a present MotivatedByGoal [GEN],satisfied,give a gift,to give a gift,0.24,0.241,0.746
[Name] gave the clerk a present NotCapableOf [GEN],satisfied,give a gift,to give a gift,0.24,0.241,0.746
[Name] gave the clerk a present NotDesires [GEN],satisfied,give a gift,to give a gift,0.24,0.241,0.746
[Name] gave the clerk a present NotHasA [GEN],satisfied,give a gift,the clerk thanks them,0.24,0.24,0.166
[Name] gave the clerk a present NotHasProperty [GEN],the clerk,give a gift,to thank the clerk,0.131,0.736,0.257
[Name] gave the clerk a present NotIsA [GEN],satisfied,give a gift,to thank the clerk,0.24,0.268,0.257
[Name] gave the clerk a present NotMadeOf [GEN],satisfied,give a gift,to give a gift,0.24,0.241,0.746
[Name] gave the clerk a present ObjectUse [GEN],give to the clerk,give to the clerk,give to the clerk,1.0,1.0,1.0
[Name] gave the clerk a present PartOf [GEN],satisfied,give a gift,to thank them,0.24,0.33,0.382
[Name] gave the clerk a present ReceivesAction [GEN],satisfied,give a gift,to give a gift,0.24,0.241,0.746
[Name] gave the clerk a present RelatedTo [GEN],satisfied,give a gift,to give a gift,0.24,0.241,0.746
[Name] gave the clerk a present SymbolOf [GEN],satisfied,give a gift,to give a gift,0.24,0.241,0.746
[Name] gave the clerk a present UsedFor [GEN],satisfied,give a gift,to thank them,0.24,0.33,0.382
[Name] gave the clerk a present isAfter [GEN],PersonX buys a gift,PersonX buys a gift,PersonX buys a gift,1.0,1.0,1.0
[Name] gave the clerk a present isBefore [GEN],PersonX opens the gift,PersonX opens the gift,PersonX walks out of the store,1.0,0.618,0.618
[Name] gave the clerk a present isFilledBy [GEN],money,a gift,a gift,0.496,0.496,1.0
[Name] gave the clerk a present oEffect [GEN],smiles,smiles,smiles,1.0,1.0,1.0
[Name] gave the clerk a present oReact [GEN],happy,happy,happy,1.0,1.0,1.0
[Name] gave the clerk a present oWant [GEN],to thank them,to thank him,to thank them,0.828,1.0,0.828
[Name] gave the clerk a present xAttr [GEN],generous,generous,generous,1.0,1.0,1.0
[Name] gave the clerk a present xEffect [GEN],smiles,smiles,smiles,1.0,1.0,1.0
[Name] gave the clerk a present xIntent [GEN],to be generous,to be generous,to be generous,1.0,1.0,1.0
[Name] gave the clerk a present xNeed [GEN],to go to the store,buy a present,to go to the store,0.393,1.0,0.393
[Name] gave the clerk a present xReact [GEN],happy,happy,happy,1.0,1.0,1.0
[Name] gave the clerk a present xReason [GEN],the store is open,the store is open,the store is open,1.0,1.0,1.0
[Name] gave the clerk a present xWant [GEN],to say thank you,to make sure they open it,to thank the clerk,0.237,0.606,0.435
[Name] said thank you to the housekeeper AtLocation [GEN],house,kitchen,house,0.578,1.0,0.578
[Name] said thank you to the housekeeper CapableOf [GEN],welcome guest,welcome guest,clean house,1.0,0.168,0.168
[Name] said thank you to the housekeeper Causes [GEN],happy,happy,to be happy,1.0,0.514,0.514
[Name] said thank you to the housekeeper CausesDesire [GEN],house,house,to be happy,1.0,0.227,0.227
[Name] said thank you to the housekeeper CreatedBy [GEN],house,house,to say goodbye,1.0,0.267,0.267
[Name] said thank you to the housekeeper DefinedAs [GEN],house,house,to be happy,1.0,0.227,0.227
[Name] said thank you to the housekeeper DesireOf [GEN],house,house,to say goodbye,1.0,0.267,0.267
[Name] said thank you to the housekeeper Desires [GEN],thankful,thankful,to be polite,1.0,0.237,0.237
[Name] said thank you to the housekeeper HasA [GEN],house,house,say goodbye,1.0,0.175,0.175
[Name] said thank you to the housekeeper HasFirstSubevent [GEN],house,house,to be happy,1.0,0.227,0.227
[Name] said thank you to the housekeeper HasLastSubevent [GEN],house,house,to be happy,1.0,0.227,0.227
[Name] said thank you to the housekeeper HasPainCharacter [GEN],house,house,to be happy,1.0,0.227,0.227
[Name] said thank you to the housekeeper HasPainIntensity [GEN],house,house,to be happy,1.0,0.227,0.227
[Name] said thank you to the housekeeper HasPrerequisite [GEN],house,house,to be happy,1.0,0.227,0.227
[Name] said thank you to the housekeeper HasProperty [GEN],happy,happy,happy,1.0,1.0,1.0
[Name] said thank you to the housekeeper HasSubEvent [GEN],smile,smile,smiles,1.0,0.836,0.836
[Name] said thank you to the housekeeper HasSubevent [GEN],house,house,to say goodbye,1.0,0.267,0.267
[Name] said thank you to the housekeeper HinderedBy [GEN],Kelly said thank you to the housekeeper,PersonX is too shy to ask.,PersonX is too shy to speak up.,0.076,0.105,0.86
[Name] said thank you to the housekeeper InheritsFrom [GEN],house,house,to be happy,1.0,0.227,0.227
[Name] said thank you to the housekeeper InstanceOf [GEN],call,kitchen,to clean the house,0.209,0.186,0.402
[Name] said thank you to the housekeeper IsA [GEN],call,house,to say goodbye,0.257,0.265,0.267
[Name] said thank you to the housekeeper LocatedNear [GEN],house,house,to say goodbye,1.0,0.267,0.267
[Name] said thank you to the housekeeper LocationOfAction [GEN],house,house,to be happy,1.0,0.227,0.227
[Name] said thank you to the housekeeper MadeOf [GEN],house,house,to say goodbye,1.0,0.267,0.267
[Name] said thank you to the housekeeper MadeUpOf [GEN],letter,letter,hand,1.0,0.353,0.353
[Name] said thank you to the housekeeper MotivatedByGoal [GEN],house,house,say goodbye,1.0,0.175,0.175
[Name] said thank you to the housekeeper NotCapableOf [GEN],call,house,to say goodbye,0.257,0.265,0.267
[Name] said thank you to the housekeeper NotDesires [GEN],house,house,to say goodbye,1.0,0.267,0.267
[Name] said thank you to the housekeeper NotHasA [GEN],house,house,to say goodbye,1.0,0.267,0.267
[Name] said thank you to the housekeeper NotHasProperty [GEN],house,house,to say goodbye,1.0,0.267,0.267
[Name] said thank you to the housekeeper NotIsA [GEN],house,house,to say goodbye,1.0,0.267,0.267
[Name] said thank you to the housekeeper NotMadeOf [GEN],house,house,to be happy,1.0,0.227,0.227
[Name] said thank you to the housekeeper ObjectUse [GEN],say goodbye,express gratitude,say goodbye,0.386,1.0,0.386
[Name] said thank you to the housekeeper PartOf [GEN],house,house,to say goodbye,1.0,0.267,0.267
[Name] said thank you to the housekeeper ReceivesAction [GEN],satisfied,house,to be happy,0.238,0.49,0.227
[Name] said thank you to the housekeeper RelatedTo [GEN],house,house,to be happy,1.0,0.227,0.227
[Name] said thank you to the housekeeper SymbolOf [GEN],house,house,to be happy,1.0,0.227,0.227
[Name] said thank you to the housekeeper UsedFor [GEN],satisfied,house,to say goodbye,0.238,0.267,0.267
[Name] said thank you to the housekeeper isAfter [GEN],PersonX asks a question,PersonX asks a question,PersonX asks a question,1.0,1.0,1.0
[Name] said thank you to the housekeeper isBefore [GEN],PersonX leaves the house,PersonX leaves the house,PersonX leaves the house,1.0,1.0,1.0
[Name] said thank you to the housekeeper isFilledBy [GEN],dog,kitchen,dog,0.288,1.0,0.288
[Name] said thank you to the housekeeper oEffect [GEN],smiles,smiles,smiles,1.0,1.0,1.0
[Name] said thank you to the housekeeper oReact [GEN],happy,happy,happy,1.0,1.0,1.0
[Name] said thank you to the housekeeper oWant [GEN],to say goodbye,to say goodbye,to say goodbye,1.0,1.0,1.0
[Name] said thank you to the housekeeper xAttr [GEN],grateful,grateful,grateful,1.0,1.0,1.0
[Name] said thank you to the housekeeper xEffect [GEN],smiles,smiles,smiles,1.0,1.0,1.0
[Name] said thank you to the housekeeper xIntent [GEN],to be polite,to be polite,to be polite,1.0,1.0,1.0
[Name] said thank you to the housekeeper xNeed [GEN],call the person,call the person,to go to the house,1.0,0.271,0.271
[Name] said thank you to the housekeeper xReact [GEN],happy,happy,happy,1.0,1.0,1.0
[Name] said thank you to the housekeeper xReason [GEN],he is happy,you're welcome,the house is clean,0.177,0.101,0.039
[Name] said thank you to the housekeeper xWant [GEN],say goodbye,to say goodbye,to go home,0.807,0.353,0.609
[Name] scanned documents for the analyst AtLocation [GEN],desk,office,office,0.659,0.659,1.0
[Name] scanned documents for the analyst CapableOf [GEN],analyze,analyze,analyze documents,1.0,0.668,0.668
[Name] scanned documents for the analyst Causes [GEN],analyze,analyze,to make a report,1.0,0.27,0.27
[Name] scanned documents for the analyst CausesDesire [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst CreatedBy [GEN],analyze,analyze,to find information,1.0,0.33,0.33
[Name] scanned documents for the analyst DefinedAs [GEN],analyze,analyze,to make a report,1.0,0.27,0.27
[Name] scanned documents for the analyst DesireOf [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst Desires [GEN],analyze,analyze,to find out information,1.0,0.225,0.225
[Name] scanned documents for the analyst HasA [GEN],analyze,analyze,to make a report,1.0,0.27,0.27
[Name] scanned documents for the analyst HasFirstSubevent [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst HasLastSubevent [GEN],analyze,analyze,to make a report,1.0,0.27,0.27
[Name] scanned documents for the analyst HasPainCharacter [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst HasPainIntensity [GEN],analyze,analyze,to make a report,1.0,0.27,0.27
[Name] scanned documents for the analyst HasPrerequisite [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst HasProperty [GEN],smart,good,interested,0.303,0.192,0.313
[Name] scanned documents for the analyst HasSubEvent [GEN],analyze,analyze,reads documents,1.0,0.276,0.276
[Name] scanned documents for the analyst HasSubevent [GEN],analyze,analyze,to find information,1.0,0.33,0.33
[Name] scanned documents for the analyst HinderedBy [GEN],PersonX's computer is broken.,PersonX doesn't have a computer.,PersonX's computer is broken.,0.831,1.0,0.831
[Name] scanned documents for the analyst InheritsFrom [GEN],analyze,analyze,to find information,1.0,0.33,0.33
[Name] scanned documents for the analyst InstanceOf [GEN],analyze,analyze,to find information,1.0,0.33,0.33
[Name] scanned documents for the analyst IsA [GEN],analyze,analyze,to make a report,1.0,0.27,0.27
[Name] scanned documents for the analyst LocatedNear [GEN],analyze,analyze,to make a report,1.0,0.27,0.27
[Name] scanned documents for the analyst LocationOfAction [GEN],analyze,analyze,to find information,1.0,0.33,0.33
[Name] scanned documents for the analyst MadeOf [GEN],analyze,analyze,to find information,1.0,0.33,0.33
[Name] scanned documents for the analyst MadeUpOf [GEN],documents,documents,documents,1.0,1.0,1.0
[Name] scanned documents for the analyst MotivatedByGoal [GEN],analyze,analyze,to find information,1.0,0.33,0.33
[Name] scanned documents for the analyst NotCapableOf [GEN],analyze,analyze,to make a report,1.0,0.27,0.27
[Name] scanned documents for the analyst NotDesires [GEN],analyze,analyze,to find information,1.0,0.33,0.33
[Name] scanned documents for the analyst NotHasA [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst NotHasProperty [GEN],analyze,analyze,to make a report,1.0,0.27,0.27
[Name] scanned documents for the analyst NotIsA [GEN],analyze,analyze,to find information,1.0,0.33,0.33
[Name] scanned documents for the analyst NotMadeOf [GEN],analyze,analyze,to find information,1.0,0.33,0.33
[Name] scanned documents for the analyst ObjectUse [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst PartOf [GEN],analyze,analyze,to make a report,1.0,0.27,0.27
[Name] scanned documents for the analyst ReceivesAction [GEN],analyze,analyze,to make a report,1.0,0.27,0.27
[Name] scanned documents for the analyst RelatedTo [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst SymbolOf [GEN],analyze,analyze,to make a report,1.0,0.27,0.27
[Name] scanned documents for the analyst UsedFor [GEN],analyze,analyze,to find information,1.0,0.33,0.33
[Name] scanned documents for the analyst isAfter [GEN],PersonX is looking for information,PersonX gets a new job,PersonX is looking for information,0.668,1.0,0.668
[Name] scanned documents for the analyst isBefore [GEN],PersonX gets a good grade,PersonX gets a good grade,PersonX writes a report,1.0,0.673,0.673
[Name] scanned documents for the analyst isFilledBy [GEN],documents,book,documents,0.471,1.0,0.471
[Name] scanned documents for the analyst oEffect [GEN],analyze,gain knowledge,analyze documents,0.17,0.668,0.122
[Name] scanned documents for the analyst oReact [GEN],interested,happy,happy,0.236,0.236,1.0
[Name] scanned documents for the analyst oWant [GEN],analyze the documents,to see what they did,to see what they found,0.156,0.223,0.79
[Name] scanned documents for the analyst xAttr [GEN],analytical,analytical,curious,1.0,0.109,0.109
[Name] scanned documents for the analyst xEffect [GEN],reads,gains knowledge,reads documents,0.352,0.714,0.231
[Name] scanned documents for the analyst xIntent [GEN],analyze,analyze,to find information,1.0,0.33,0.33
[Name] scanned documents for the analyst xNeed [GEN],have computer,have computer,to have documents,1.0,0.406,0.406
[Name] scanned documents for the analyst xReact [GEN],accomplished,accomplished,accomplished,1.0,1.0,1.0
[Name] scanned documents for the analyst xReason [GEN],it's required,analyze,they are curious,0.15,0.156,0.223
[Name] scanned documents for the analyst xWant [GEN],analyze,analyze,to make a report,1.0,0.27,0.27
[Name] gave the housekeeper a tip AtLocation [GEN],kitchen,kitchen,house,1.0,0.578,0.578
[Name] gave the housekeeper a tip CapableOf [GEN],pay for service,sign check,thank person x,0.148,0.121,0.124
[Name] gave the housekeeper a tip Causes [GEN],thankful,reward,to thank them,0.327,0.448,0.38
[Name] gave the housekeeper a tip CausesDesire [GEN],her,house,to be a good worker,0.373,0.169,0.144
[Name] gave the housekeeper a tip CreatedBy [GEN],tip,tip,to thank them,1.0,0.287,0.287
[Name] gave the housekeeper a tip DefinedAs [GEN],house,house,the house,1.0,0.917,0.917
[Name] gave the housekeeper a tip DesireOf [GEN],house,tip,to thank PersonX,0.21,0.183,0.243
[Name] gave the housekeeper a tip Desires [GEN],to be nice,to be nice,to be helpful,1.0,0.676,0.676
[Name] gave the housekeeper a tip HasA [GEN],tip,tip,to be helpful,1.0,0.348,0.348
[Name] gave the housekeeper a tip HasFirstSubevent [GEN],house,house,to be happy,1.0,0.227,0.227
[Name] gave the housekeeper a tip HasLastSubevent [GEN],truck,truck,to thank him,1.0,0.204,0.204
[Name] gave the housekeeper a tip HasPainCharacter [GEN],me,tip,to thank him,0.172,0.231,0.246
[Name] gave the housekeeper a tip HasPainIntensity [GEN],me,house,to be helpful,0.312,0.213,0.185
[Name] gave the housekeeper a tip HasPrerequisite [GEN],me,house,to thank him,0.312,0.231,0.194
[Name] gave the housekeeper a tip HasProperty [GEN],nice,kids,generous,0.237,0.357,0.289
[Name] gave the housekeeper a tip HasSubEvent [GEN],smiles,smiles,smiles,1.0,1.0,1.0
[Name] gave the housekeeper a tip HasSubevent [GEN],house,tip,to be helpful,0.21,0.185,0.348
[Name] gave the housekeeper a tip HinderedBy [GEN],PersonX has no money.,PersonX has no money.,PersonX has no money.,1.0,1.0,1.0
[Name] gave the housekeeper a tip InheritsFrom [GEN],me,tip,to thank PersonX,0.172,0.269,0.243
[Name] gave the housekeeper a tip InstanceOf [GEN],tip,tip,to be helpful,1.0,0.348,0.348
[Name] gave the housekeeper a tip IsA [GEN],truck,tip,to clean the house,0.213,0.204,0.212
[Name] gave the housekeeper a tip LocatedNear [GEN],truck,tip,to thank PersonX,0.213,0.137,0.243
[Name] gave the housekeeper a tip LocationOfAction [GEN],me,to be a good worker,to thank him,0.135,0.231,0.376
[Name] gave the housekeeper a tip MadeOf [GEN],tip,tip,to thank them,1.0,0.287,0.287
[Name] gave the housekeeper a tip MadeUpOf [GEN],tip,tip,tip,1.0,1.0,1.0
[Name] gave the housekeeper a tip MotivatedByGoal [GEN],tip,tip,to thank them,1.0,0.287,0.287
[Name] gave the housekeeper a tip NotCapableOf [GEN],tip,tip,to thank them,1.0,0.287,0.287
[Name] gave the housekeeper a tip NotDesires [GEN],me,house,to the house,0.312,0.277,0.728
[Name] gave the housekeeper a tip NotHasA [GEN],her,tip,to thank PersonX,0.191,0.303,0.243
[Name] gave the housekeeper a tip NotHasProperty [GEN],house,house,to thank him,1.0,0.194,0.194
[Name] gave the housekeeper a tip NotIsA [GEN],tip,tip,to be helpful,1.0,0.348,0.348
[Name] gave the housekeeper a tip NotMadeOf [GEN],house,house,to thank him,1.0,0.194,0.194
[Name] gave the housekeeper a tip ObjectUse [GEN],give to someone,get a good tip,to pay for the service,0.252,0.266,0.154
[Name] gave the housekeeper a tip PartOf [GEN],truck,thankful,to thank them,0.15,0.157,0.448
[Name] gave the housekeeper a tip ReceivesAction [GEN],tip,tip,to thank PersonX,1.0,0.243,0.243
[Name] gave the housekeeper a tip RelatedTo [GEN],to do a good job,tip,to thank them,0.285,0.493,0.287
[Name] gave the housekeeper a tip SymbolOf [GEN],house,tip,to thank them,0.21,0.138,0.287
[Name] gave the housekeeper a tip UsedFor [GEN],house,to do a good job,to thank them,0.236,0.138,0.493
[Name] gave the housekeeper a tip isAfter [GEN],PersonX cleans the house,PersonX cleans the house,PersonX asks for a tip,1.0,0.517,0.517
[Name] gave the housekeeper a tip isBefore [GEN],PersonX leaves the store,PersonX leaves the house,PersonX leaves the house,0.803,0.803,1.0
[Name] gave the housekeeper a tip isFilledBy [GEN],cash,cash,the cashier,1.0,0.583,0.583
[Name] gave the housekeeper a tip oEffect [GEN],smiles,smiles,smiles,1.0,1.0,1.0
[Name] gave the housekeeper a tip oReact [GEN],grateful,happy,grateful,0.524,1.0,0.524
[Name] gave the housekeeper a tip oWant [GEN],to thank them,to thank him,to thank PersonX,0.828,0.679,0.631
[Name] gave the housekeeper a tip xAttr [GEN],generous,generous,generous,1.0,1.0,1.0
[Name] gave the housekeeper a tip xEffect [GEN],smiles,smiles,receives thanks,1.0,0.326,0.326
[Name] gave the housekeeper a tip xIntent [GEN],to be nice,to be nice,to be nice,1.0,1.0,1.0
[Name] gave the housekeeper a tip xNeed [GEN],to go to the store,to go to the store,to go to the store,1.0,1.0,1.0
[Name] gave the housekeeper a tip xReact [GEN],happy,happy,generous,1.0,0.378,0.378
[Name] gave the housekeeper a tip xReason [GEN],she is a good worker,the house is clean,the house is clean,0.195,0.195,1.0
[Name] gave the housekeeper a tip xWant [GEN],to say thank you,to thank them,to say thank you,0.796,1.0,0.796
[Name] sold some books to the librarian AtLocation [GEN],library,library,library,1.0,1.0,1.0
[Name] sold some books to the librarian CapableOf [GEN],sell books,sell books,sell books,1.0,1.0,1.0
[Name] sold some books to the librarian Causes [GEN],money,money,money,1.0,1.0,1.0
[Name] sold some books to the librarian CausesDesire [GEN],librarian,librarian,to make money,1.0,0.212,0.212
[Name] sold some books to the librarian CreatedBy [GEN],librarian,librarian,to make money,1.0,0.212,0.212
[Name] sold some books to the librarian DefinedAs [GEN],librarian,librarian,to make money,1.0,0.212,0.212
[Name] sold some books to the librarian DesireOf [GEN],librarian,librarian,to make money,1.0,0.212,0.212
[Name] sold some books to the librarian Desires [GEN],money,money,money,1.0,1.0,1.0
[Name] sold some books to the librarian HasA [GEN],librarian,librarian,to make money,1.0,0.212,0.212
[Name] sold some books to the librarian HasFirstSubevent [GEN],librarian,librarian,to make money,1.0,0.212,0.212
[Name] sold some books to the librarian HasLastSubevent [GEN],librarian,librarian,to make money,1.0,0.212,0.212
[Name] sold some books to the librarian HasPainCharacter [GEN],librarian,librarian,money,1.0,0.293,0.293
[Name] sold some books to the librarian HasPainIntensity [GEN],librarian,librarian,to make money,1.0,0.212,0.212
[Name] sold some books to the librarian HasPrerequisite [GEN],librarian,books,money,0.585,0.293,0.407
[Name] sold some books to the librarian HasProperty [GEN],kids,responsible,responsible,0.358,0.358,1.0
[Name] sold some books to the librarian HasSubEvent [GEN],earn money,sell books,makes money,0.417,0.737,0.383
[Name] sold some books to the librarian HasSubevent [GEN],librarian,librarian,to make money,1.0,0.212,0.212
[Name] sold some books to the librarian HinderedBy [GEN],Barbara sold some books to the librarian,The librarian won't allow it.,PersonX doesn't have a car.,0.417,0.014,0.147
[Name] sold some books to the librarian InheritsFrom [GEN],librarian,librarian,to make money,1.0,0.212,0.212
[Name] sold some books to the librarian InstanceOf [GEN],librarian,librarian,to make money,1.0,0.212,0.212
[Name] sold some books to the librarian IsA [GEN],librarian,librarian,to make money,1.0,0.212,0.212
[Name] sold some books to the librarian LocatedNear [GEN],librarian,librarian,to make money,1.0,0.212,0.212
[Name] sold some books to the librarian LocationOfAction [GEN],librarian,librarian,to make money,1.0,0.212,0.212
[Name] sold some books to the librarian MadeOf [GEN],librarian,librarian,to make money,1.0,0.212,0.212
[Name] sold some books to the librarian MadeUpOf [GEN],book,book,book,1.0,1.0,1.0
[Name] sold some books to the librarian MotivatedByGoal [GEN],librarian,librarian,to make money,1.0,0.212,0.212
[Name] sold some books to the librarian NotCapableOf [GEN],librarian,librarian,to make money,1.0,0.212,0.212
