Event Relation,Female Inference,Male Inference,PersonX Inference,Female-Male Similarity,Female-PersonX Similarity,Male-PersonX Similarity
[Name] argued with the designer NotIsA [GEN], PersonY tells PersonY to shut up, PersonY tells PersonY to shut up, PersonX tells the designer they don't like it,1.0,0.451,0.451
[Name] argued with the designer NotMadeOf [GEN], they get a new one, PersonX wants to make the best design possible., PersonX is not happy with the design,0.152,0.186,0.856
[Name] argued with the designer ObjectUse [GEN], to argue with the designer, to argue with the designer, to argue with the designer,1.0,1.0,1.0
[Name] argued with the designer PartOf [GEN], gets yelled at by designer, they get a new one, PersonX tells the designer what they think,0.202,0.481,0.151
[Name] argued with the designer ReceivesAction [GEN], get a new job, they get a new one, PersonX is not happy with the design,0.427,0.088,0.186
[Name] argued with the designer RelatedTo [GEN], they get yelled at, they get a new design, PersonX is angry at the designer,0.299,0.216,0.399
[Name] argued with the designer SymbolOf [GEN], they get a new design, to get their point across, PersonX is not happy with the design,0.243,0.434,0.108
[Name] argued with the designer UsedFor [GEN], get a new job, they get a new one, PersonX is angry at the design,0.427,0.072,0.177
[Name] argued with the designer isAfter [GEN], PersonY tells PersonY to stop arguing with the designer, PersonX wants to buy a new car, PersonX doesn't like the design,0.334,0.559,0.543
[Name] argued with the designer isBefore [GEN], PersonX wins the design contest, PersonX wins the design contest, PersonX gets a new car,1.0,0.537,0.537
[Name] argued with the designer isFilledBy [GEN], the car, the car, PersonX is not happy,1.0,0.112,0.112
[Name] argued with the designer oEffect [GEN], gets yelled at by person, the designer loses the argument, none,0.184,0.073,0.107
[Name] argued with the designer oReact [GEN], none, none, none,1.0,1.0,1.0
[Name] argued with the designer oWant [GEN], to make sure everything is perfect, to make sure they understand, to tell PersonX what they think,0.593,0.357,0.519
[Name] argued with the designer xAttr [GEN], argumentative, argumentative, argumentative,1.0,1.0,1.0
[Name] argued with the designer xEffect [GEN], gets yelled at, gets yelled at, PersonX loses the argument,1.0,0.223,0.223
[Name] argued with the designer xIntent [GEN], to express her opinion, to express his opinion, to get their way,0.754,0.304,0.328
[Name] argued with the designer xNeed [GEN], to talk to the designer, to talk to the designer, to argue with the designer,1.0,0.644,0.644
[Name] argued with the designer xReact [GEN], frustrated, frustrated, frustrated,1.0,1.0,1.0
[Name] argued with the designer xReason [GEN], they get a new one,    the design is not good enough, PersonX is not happy with the design,0.127,0.186,0.544
[Name] argued with the designer xWant [GEN], to tell the designer what they think, to argue with the designer, to argue with the designer,0.732,0.732,1.0
[Name] gave the clerk a present AtLocation [GEN], the store, grocery store, PersonX goes to the store,0.763,0.554,0.417
[Name] gave the clerk a present CapableOf [GEN], give the clerk a present, give the clerk money, to buy a present,0.804,0.513,0.348
[Name] gave the clerk a present Causes [GEN], The clerk is busy., the clerk gives the gift, PersonX buys a gift for the clerk,0.552,0.457,0.765
[Name] gave the clerk a present CausesDesire [GEN], the clerk opens the present, the clerk opens the present, PersonX buys the clerk a present,1.0,0.672,0.672
[Name] gave the clerk a present CreatedBy [GEN], the clerk to like it, the clerk to open it, PersonX goes to the store,0.734,0.316,0.329
[Name] gave the clerk a present DefinedAs [GEN], the clerk opens the present, the clerk opens the present, PersonX goes to the store,1.0,0.289,0.289
[Name] gave the clerk a present DesireOf [GEN], the clerk opens the present, the clerk opens the present, PersonX gives the clerk a present,1.0,0.701,0.701
[Name] gave the clerk a present Desires [GEN], to be nice, to be nice, to be nice,1.0,1.0,1.0
[Name] gave the clerk a present HasA [GEN], the clerk to like it, the clerk to like it, happy,1.0,0.132,0.132
[Name] gave the clerk a present HasFirstSubevent [GEN], get a thank you, get a receipt, PersonX gives the clerk a present,0.388,0.207,0.383
[Name] gave the clerk a present HasLastSubevent [GEN], PersonX opens the present., the clerk opens the present, PersonX buys a present for the clerk,0.504,0.675,0.663
[Name] gave the clerk a present HasPainCharacter [GEN], the clerk to open the present, the clerk opens the present, PersonX buys the clerk a present,0.946,0.664,0.672
[Name] gave the clerk a present HasPainIntensity [GEN], to give a gift, to give a gift, PersonX goes to the store,1.0,0.312,0.312
[Name] gave the clerk a present HasPrerequisite [GEN], the clerk to open it, the clerk opens the present, PersonX buys the clerk a present,0.739,0.54,0.672
[Name] gave the clerk a present HasProperty [GEN], good about themselves, good about themselves, happy,1.0,0.306,0.306
[Name] gave the clerk a present HasSubEvent [GEN], get a receipt, get a receipt, PersonX receives a thank you,1.0,0.337,0.337
[Name] gave the clerk a present HasSubevent [GEN], the clerk to like it, to be nice, to be nice,0.267,0.267,1.0
[Name] gave the clerk a present HinderedBy [GEN], The clerk does not have a present., Benjamin doesn't have any money., PersonX doesn't have any money.,0.442,0.291,0.499
[Name] gave the clerk a present InheritsFrom [GEN], the clerk opens the present, the clerk is happy, PersonX buys a gift,0.623,0.284,0.2
[Name] gave the clerk a present InstanceOf [GEN], the clerk opens the present, the clerk is happy, good about themselves,0.623,0.003,0.076
[Name] gave the clerk a present IsA [GEN], the clerk opens the present, the clerk opens the present, PersonX buys a gift for the clerk,1.0,0.54,0.54
[Name] gave the clerk a present LocatedNear [GEN], to give a gift, to give a gift, to be nice,1.0,0.542,0.542
[Name] gave the clerk a present LocationOfAction [GEN], to make the clerk happy, to give a gift, to be nice,0.536,0.476,0.542
[Name] gave the clerk a present MadeOf [GEN], the clerk to open the present, the clerk to open the present, PersonX goes to the store,1.0,0.318,0.318
[Name] gave the clerk a present MadeUpOf [GEN], cash register, a receipt, PersonX buys the clerk a present,0.374,0.333,0.465
[Name] gave the clerk a present MotivatedByGoal [GEN], the clerk opens the present, the clerk opens the present, PersonX buys a gift for the clerk,1.0,0.54,0.54
[Name] gave the clerk a present NotCapableOf [GEN], good about themselves, to give a gift, PersonX buys a gift,0.153,0.089,0.497
[Name] gave the clerk a present NotDesires [GEN], they open the present, they open the present, PersonX gives the gift to the clerk,1.0,0.319,0.319
[Name] gave the clerk a present NotHasA [GEN], the clerk opens the present, the clerk opens the present, PersonX buys a gift for the clerk,1.0,0.54,0.54
[Name] gave the clerk a present NotHasProperty [GEN], good about themselves, happy, happy,0.306,0.306,1.0
[Name] gave the clerk a present NotIsA [GEN], the clerk opens the present, the clerk opens the present, PersonX gives the clerk a present,1.0,0.701,0.701
[Name] gave the clerk a present NotMadeOf [GEN], the clerk opens the present, the clerk opens the present, PersonX buys a present for the clerk,1.0,0.663,0.663
[Name] gave the clerk a present ObjectUse [GEN], to buy something for the clerk, to make the clerk happy, to give a gift,0.758,0.501,0.536
[Name] gave the clerk a present PartOf [GEN], they open the present, they open the present, PersonX gives the clerk a present,1.0,0.375,0.375
[Name] gave the clerk a present ReceivesAction [GEN], the clerk to open it, the clerk opens the present, PersonX buys a present for the clerk,0.739,0.519,0.663
[Name] gave the clerk a present RelatedTo [GEN], the clerk opens the present, the clerk opens the present, PersonX goes to the store,1.0,0.289,0.289
[Name] gave the clerk a present SymbolOf [GEN], the clerk to open the present, the clerk opens the present, PersonX goes to the store,0.946,0.318,0.289
[Name] gave the clerk a present UsedFor [GEN], the clerk opens the present, the clerk to open the present, PersonX buys a present for the clerk,0.946,0.663,0.661
[Name] gave the clerk a present isAfter [GEN], PersonX buys a present for PersonY, PersonX buys a present for PersonY, PersonX goes to the store,1.0,0.757,0.757
[Name] gave the clerk a present isBefore [GEN], PersonX gives PersonX a hug, PersonY opens the present, PersonX gives the gift to the clerk,0.508,0.616,0.521
[Name] gave the clerk a present isFilledBy [GEN], gift bag, gift bag, gift bag,1.0,1.0,1.0
[Name] gave the clerk a present oEffect [GEN], receives a gift, receives a gift, receives a gift,1.0,1.0,1.0
[Name] gave the clerk a present oReact [GEN], happy, happy, happy,1.0,1.0,1.0
[Name] gave the clerk a present oWant [GEN], to say thank you, to open the present, to thank PersonX,0.341,0.652,0.282
[Name] gave the clerk a present xAttr [GEN], generous, generous, generous,1.0,1.0,1.0
[Name] gave the clerk a present xEffect [GEN], gets a receipt, gets a receipt, receives a thank you,1.0,0.48,0.48
[Name] gave the clerk a present xIntent [GEN], to be nice, to be nice, to be nice,1.0,1.0,1.0
[Name] gave the clerk a present xNeed [GEN], to buy a present, to buy a present, to buy a present,1.0,1.0,1.0
[Name] gave the clerk a present xReact [GEN], happy, happy, happy,1.0,1.0,1.0
[Name] gave the clerk a present xReason [GEN], the clerk opens the present, the clerk opens the present, PersonX buys a gift for the clerk,1.0,0.54,0.54
[Name] gave the clerk a present xWant [GEN], to give it to the clerk, to give it to the clerk, to give it to the clerk,1.0,1.0,1.0
[Name] said thank you to the housekeeper AtLocation [GEN], house, house, PersonX cleans the house,1.0,0.41,0.41
[Name] said thank you to the housekeeper CapableOf [GEN], thank the housekeeper, thank the housekeeper, PersonX thanked the housekeeper,1.0,0.666,0.666
[Name] said thank you to the housekeeper Causes [GEN], the house is clean, the house is clean, PersonX cleans up the house,1.0,0.613,0.613
[Name] said thank you to the housekeeper CausesDesire [GEN], PersonY thanked PersonY, the house is clean, PersonX cleans up the house,0.14,0.265,0.613
[Name] said thank you to the housekeeper CreatedBy [GEN], clean the house, thank the housekeeper, PersonX cleans up the house,0.448,0.575,0.349
[Name] said thank you to the housekeeper DefinedAs [GEN], the house is clean, the house is clean, PersonX cleans up the house,1.0,0.613,0.613
[Name] said thank you to the housekeeper DesireOf [GEN], the house is clean, the house is clean, PersonX cleans up the house,1.0,0.613,0.613
[Name] said thank you to the housekeeper Desires [GEN], to be polite, to be polite, to be polite,1.0,1.0,1.0
[Name] said thank you to the housekeeper HasA [GEN], the house to be clean, the house to be clean, PersonX cleans up the house,1.0,0.608,0.608
[Name] said thank you to the housekeeper HasFirstSubevent [GEN], the house is clean, the house is clean, PersonX thanked the housekeeper,1.0,0.396,0.396
[Name] said thank you to the housekeeper HasLastSubevent [GEN], the house is clean, the house is clean, PersonX cleans up the house,1.0,0.613,0.613
[Name] said thank you to the housekeeper HasPainCharacter [GEN], the house is clean, the house is clean, PersonX cleans up the house,1.0,0.613,0.613
[Name] said thank you to the housekeeper HasPainIntensity [GEN], PersonY gives PersonY a hug, the house is clean, PersonX cleans up the house,0.124,0.316,0.613
[Name] said thank you to the housekeeper HasPrerequisite [GEN], thank the housekeeper, thank the housekeeper, PersonX cleans the house,1.0,0.356,0.356
[Name] said thank you to the housekeeper HasProperty [GEN], the house is clean, good about themselves, PersonX cleans up the house,0.111,0.613,0.158
[Name] said thank you to the housekeeper HasSubEvent [GEN], thank the housekeeper, gets a tip, PersonX leaves the house,0.198,0.292,0.137
[Name] said thank you to the housekeeper HasSubevent [GEN], the house to be clean, the house to be clean, PersonX cleans up the house,1.0,0.608,0.608
[Name] said thank you to the housekeeper HinderedBy [GEN], The housekeeper is out of town., The housekeeper doesn't speak English., PersonX doesn't know how to say it.,0.524,-0.042,0.161
[Name] said thank you to the housekeeper InheritsFrom [GEN], the house is clean, the house is clean, PersonX cleans up the house,1.0,0.613,0.613
[Name] said thank you to the housekeeper InstanceOf [GEN], PersonY thanked PersonY, the house is clean, PersonX cleans up the house,0.14,0.265,0.613
[Name] said thank you to the housekeeper IsA [GEN], the house is clean, the house is clean, PersonX cleans up the house,1.0,0.613,0.613
[Name] said thank you to the housekeeper LocatedNear [GEN], the house to be clean, the house to be clean, PersonX cleans up the house,1.0,0.608,0.608
[Name] said thank you to the housekeeper LocationOfAction [GEN], the house is clean, the house is clean, PersonX cleans up the house,1.0,0.613,0.613
[Name] said thank you to the housekeeper MadeOf [GEN], the house is clean, the house is clean, PersonX cleans up the house,1.0,0.613,0.613
[Name] said thank you to the housekeeper MadeUpOf [GEN], the house, the house, PersonX cleans up the house,1.0,0.364,0.364
[Name] said thank you to the housekeeper MotivatedByGoal [GEN], PersonY thanked PersonY, the house is clean, PersonX cleans up the house,0.14,0.265,0.613
[Name] said thank you to the housekeeper NotCapableOf [GEN], the house is clean, the house is clean, PersonX cleans up the house,1.0,0.613,0.613
[Name] said thank you to the housekeeper NotDesires [GEN], the house is clean, the house is clean, PersonX cleans up the house,1.0,0.613,0.613
[Name] said thank you to the housekeeper NotHasA [GEN], PersonY thanked PersonY, the house is clean again, PersonX thanked the housekeeper,0.131,0.554,0.406
[Name] said thank you to the housekeeper NotHasProperty [GEN], good about themselves, good about themselves, grateful,1.0,0.203,0.203
[Name] said thank you to the housekeeper NotIsA [GEN], PersonY thanked PersonY, the house is clean, PersonX cleans up the house,0.14,0.265,0.613
[Name] said thank you to the housekeeper NotMadeOf [GEN], the house is clean, the house is clean, PersonX cleans up the house,1.0,0.613,0.613
[Name] said thank you to the housekeeper ObjectUse [GEN], thank the housekeeper, clean up the mess, to thank the housekeeper,0.366,0.794,0.31
[Name] said thank you to the housekeeper PartOf [GEN], the house is clean, the house is clean, PersonX thanked the housekeeper,1.0,0.396,0.396
[Name] said thank you to the housekeeper ReceivesAction [GEN], the house is clean, the house is clean, PersonX cleans up the house,1.0,0.613,0.613
[Name] said thank you to the housekeeper RelatedTo [GEN], the house is clean, the house is clean, PersonX cleans up the house,1.0,0.613,0.613
[Name] said thank you to the housekeeper SymbolOf [GEN], the house is clean, the house is clean, PersonX cleans up the house,1.0,0.613,0.613
[Name] said thank you to the housekeeper UsedFor [GEN], thank the housekeeper, the house to be clean, PersonX cleans up the house,0.485,0.349,0.608
[Name] said thank you to the housekeeper isAfter [GEN], PersonY thanked PersonY for the service, PersonY gives PersonY a hug, PersonX cleans up the house,0.556,0.28,0.316
[Name] said thank you to the housekeeper isBefore [GEN], PersonY gives PersonY a hug, PersonY gives PersonX a hug, PersonX thanked the housekeeper,0.951,0.459,0.572
[Name] said thank you to the housekeeper isFilledBy [GEN], house, house, house,1.0,1.0,1.0
[Name] said thank you to the housekeeper oEffect [GEN], none, none, none,1.0,1.0,1.0
[Name] said thank you to the housekeeper oReact [GEN], none, appreciative, none,0.186,1.0,0.186
[Name] said thank you to the housekeeper oWant [GEN], to clean the house, to clean the house, to clean the house,1.0,1.0,1.0
[Name] said thank you to the housekeeper xAttr [GEN], appreciative, appreciative, appreciative,1.0,1.0,1.0
[Name] said thank you to the housekeeper xEffect [GEN], gets a tip, gets a tip, PersonX smiles,1.0,0.141,0.141
[Name] said thank you to the housekeeper xIntent [GEN], to be polite, to be polite, to be polite,1.0,1.0,1.0
[Name] said thank you to the housekeeper xNeed [GEN], to go to the house, to go to the housekeeper, to go to the housekeeper,0.743,0.743,1.0
[Name] said thank you to the housekeeper xReact [GEN], happy, happy, happy,1.0,1.0,1.0
[Name] said thank you to the housekeeper xReason [GEN], the house is clean, the housekeeper left, PersonX cleans up the house,0.445,0.613,0.359
[Name] said thank you to the housekeeper xWant [GEN], to go to bed, to thank the housekeeper, to clean the house,0.388,0.515,0.604
[Name] scanned documents for the analyst AtLocation [GEN], the computer, computer, PersonX is a computer programmer,0.908,0.361,0.377
[Name] scanned documents for the analyst CapableOf [GEN], to get a job, to get a job, to get a job,1.0,1.0,1.0
[Name] scanned documents for the analyst Causes [GEN], PersonX asks PersonX to scan documents, PersonX is a computer programmer., PersonX gets a new job,0.599,0.535,0.691
[Name] scanned documents for the analyst CausesDesire [GEN], PersonX asks PersonX to read the documents, PersonX asks PersonX to scan the documents, PersonX takes the documents to the analyst,0.878,0.799,0.75
[Name] scanned documents for the analyst CreatedBy [GEN], the report, to get a job, PersonX goes to the office,0.263,0.22,0.233
[Name] scanned documents for the analyst DefinedAs [GEN], PersonX asks PersonX to scan documents, PersonX asks PersonX to scan the documents, PersonX is a computer programmer,0.993,0.612,0.596
[Name] scanned documents for the analyst DesireOf [GEN], the documents are scanned, they get paid for it, PersonX is a computer programmer,0.108,0.171,0.117
[Name] scanned documents for the analyst Desires [GEN], to be helpful, to be helpful, to be helpful,1.0,1.0,1.0
[Name] scanned documents for the analyst HasA [GEN], the documents to be scanned, they get a job, PersonX gets a new job,0.078,0.033,0.415
[Name] scanned documents for the analyst HasFirstSubevent [GEN], the document is scanned, they get paid, PersonX gives the report to the analyst,0.044,0.204,0.153
[Name] scanned documents for the analyst HasLastSubevent [GEN], PersonX asks PersonX to read the documents, PersonX gives the documents to PersonX, PersonX takes the documents to the analyst,0.904,0.799,0.797
[Name] scanned documents for the analyst HasPainCharacter [GEN], PersonX gives PersonX the documents, PersonX asks PersonX to scan the documents, PersonX gives the report to the analyst,0.818,0.635,0.569
[Name] scanned documents for the analyst HasPainIntensity [GEN], the documents are scanned, they get a job, PersonX reads the documents,0.181,0.574,0.116
[Name] scanned documents for the analyst HasPrerequisite [GEN], the report, to get a job, PersonX reads the documents,0.263,0.242,0.05
[Name] scanned documents for the analyst HasProperty [GEN], the documents are scanned, they get paid, PersonX is a computer programmer,0.147,0.171,0.134
[Name] scanned documents for the analyst HasSubEvent [GEN], read the documents, read the documents, PersonX hands the documents to the analyst,1.0,0.503,0.503
[Name] scanned documents for the analyst HasSubevent [GEN], the documents to be scanned, to help the analyst, to help the analyst,0.179,0.179,1.0
[Name] scanned documents for the analyst HinderedBy [GEN], The analyst doesn't have access to the documents., They don't have a scanner., PersonX doesn't have a scanner.,0.466,0.332,0.703
[Name] scanned documents for the analyst InheritsFrom [GEN], the documents are scanned, they get a job, PersonX is a computer programmer,0.181,0.171,0.212
[Name] scanned documents for the analyst InstanceOf [GEN], PersonX asks PersonX to scan the documents, they get paid for it, PersonX gets a new job,0.02,0.52,0.224
[Name] scanned documents for the analyst IsA [GEN], the document to be analyzed, they get a job, PersonX gets a new job,0.049,0.004,0.415
[Name] scanned documents for the analyst LocatedNear [GEN], to get a good grade, to get a good grade, to help the analyst,1.0,0.517,0.517
[Name] scanned documents for the analyst LocationOfAction [GEN], the documents to be scanned, to help the analyst, to help the analyst,0.179,0.179,1.0
[Name] scanned documents for the analyst MadeOf [GEN], the documents to be scanned, to be a good employee, PersonX gets a new job,0.052,0.033,0.243
[Name] scanned documents for the analyst MadeUpOf [GEN], the report, PersonX gives the documents to PersonX, PersonX gives the report to the analyst,0.201,0.499,0.609
[Name] scanned documents for the analyst MotivatedByGoal [GEN], the documents are scanned, PersonX asks PersonX to scan the documents, PersonX is a computer programmer,0.594,0.171,0.596
[Name] scanned documents for the analyst NotCapableOf [GEN], the document to be scanned, to get a job, PersonX gets a new job,0.114,0.034,0.299
[Name] scanned documents for the analyst NotDesires [GEN], the documents to be scanned, PersonX gives the documents to PersonX, PersonX gives the documents to the analyst,0.39,0.437,0.824
[Name] scanned documents for the analyst NotHasA [GEN], PersonX gives the documents to PersonX, PersonX asks PersonX to scan the documents, PersonX takes the documents to the analyst,0.811,0.797,0.75
[Name] scanned documents for the analyst NotHasProperty [GEN], the report, good about themselves, helpful,0.21,0.282,0.358
[Name] scanned documents for the analyst NotIsA [GEN], PersonX asks PersonX to read the documents, PersonX gives the documents to PersonX, PersonX gives the report to the analyst,0.904,0.596,0.609
[Name] scanned documents for the analyst NotMadeOf [GEN], the documents to be scanned, PersonX gives the documents to PersonX, PersonX takes the documents to the analyst,0.39,0.435,0.797
[Name] scanned documents for the analyst ObjectUse [GEN], to get a good grade, to get a good grade, to get a good grade,1.0,1.0,1.0
[Name] scanned documents for the analyst PartOf [GEN], PersonX asks PersonX to read the documents, PersonX gives the documents to PersonX, PersonX gives the report to the analyst,0.904,0.596,0.609
[Name] scanned documents for the analyst ReceivesAction [GEN], the document to be analyzed, PersonX asks PersonX to scan documents, PersonX is a computer programmer,0.258,0.104,0.612
[Name] scanned documents for the analyst RelatedTo [GEN], the document to be analyzed, to get a job, PersonX gets a new job,0.11,0.004,0.299
[Name] scanned documents for the analyst SymbolOf [GEN], the documents to be scanned, to get a good grade, PersonX gets a new job,0.173,0.033,0.035
[Name] scanned documents for the analyst UsedFor [GEN], the report, to get a job, PersonX gets a new job,0.263,0.175,0.299
[Name] scanned documents for the analyst isAfter [GEN], PersonX asks PersonX to scan documents for them, PersonX gets a job as an accountant, PersonX gets a new job,0.466,0.532,0.675
[Name] scanned documents for the analyst isBefore [GEN], PersonX gives the documents to PersonX, PersonX gives the documents to the analyst, PersonX hands over the documents to the analyst,0.824,0.751,0.94
[Name] scanned documents for the analyst isFilledBy [GEN], the computer, computer, computer,0.908,0.908,1.0
[Name] scanned documents for the analyst oEffect [GEN], none, none, none,1.0,1.0,1.0
[Name] scanned documents for the analyst oReact [GEN], none, none, none,1.0,1.0,1.0
[Name] scanned documents for the analyst oWant [GEN], to make a report, to make a report, to ask PersonX questions,1.0,0.249,0.249
[Name] scanned documents for the analyst xAttr [GEN], skilled, skilled, skilled,1.0,1.0,1.0
[Name] scanned documents for the analyst xEffect [GEN], gets a paycheck, gets a paycheck, PersonX receives a paycheck,1.0,0.617,0.617
[Name] scanned documents for the analyst xIntent [GEN], to be helpful, to be helpful, to be helpful,1.0,1.0,1.0
[Name] scanned documents for the analyst xNeed [GEN], to go to the office, to go to the office, to go to the office,1.0,1.0,1.0
[Name] scanned documents for the analyst xReact [GEN], helpful, satisfied, satisfied,0.35,0.35,1.0
[Name] scanned documents for the analyst xReason [GEN], PersonX gives the documents to PersonX, PersonX asks PersonX to scan the documents, PersonX takes the documents to the analyst,0.811,0.797,0.75
[Name] scanned documents for the analyst xWant [GEN], to show the analyst the documents, to show the analyst the documents, to get paid for the work,1.0,0.251,0.251
[Name] gave the housekeeper a tip AtLocation [GEN], house, the house is clean, PersonX pays the housekeeper,0.618,0.281,0.36
[Name] gave the housekeeper a tip CapableOf [GEN], pay the bill, pay the housekeeper, pay the housekeeper,0.479,0.479,1.0
[Name] gave the housekeeper a tip Causes [GEN], the house is clean and tidy, the house is clean and tidy, PersonX is a good person,1.0,0.093,0.093
[Name] gave the housekeeper a tip CausesDesire [GEN], the house is clean, the house is clean, PersonX cleans up the house,1.0,0.613,0.613
[Name] gave the housekeeper a tip CreatedBy [GEN], clean the house, the house is clean, PersonX pays the housekeeper,0.76,0.35,0.36
[Name] gave the housekeeper a tip DefinedAs [GEN], the house is clean, the house is clean, PersonX pays the housekeeper,1.0,0.36,0.36
[Name] gave the housekeeper a tip DesireOf [GEN], the house is clean, the house is clean, PersonX cleans up the house,1.0,0.613,0.613
[Name] gave the housekeeper a tip Desires [GEN], to be nice, to be nice, to be nice,1.0,1.0,1.0
[Name] gave the housekeeper a tip HasA [GEN], the house is clean, the house to be clean, PersonX cleans the house,0.917,0.617,0.62
[Name] gave the housekeeper a tip HasFirstSubevent [GEN], have a clean house, get a tip back, PersonX thanked the housekeeper,0.191,0.295,0.148
[Name] gave the housekeeper a tip HasLastSubevent [GEN], the house is clean, the house is clean, PersonX pays the housekeeper,1.0,0.36,0.36
[Name] gave the housekeeper a tip HasPainCharacter [GEN], the house is clean, the house is clean, PersonX pays the housekeeper,1.0,0.36,0.36
[Name] gave the housekeeper a tip HasPainIntensity [GEN], get a tip, get a tip back, PersonX pays the housekeeper,0.829,0.126,0.114
[Name] gave the housekeeper a tip HasPrerequisite [GEN], have a clean house, the house is clean, PersonX leaves a tip,0.756,0.092,0.044
[Name] gave the housekeeper a tip HasProperty [GEN], good about themselves, good., grateful,0.336,0.203,0.315
[Name] gave the housekeeper a tip HasSubEvent [GEN], pay the bill, pay the bill, PersonX leaves a tip,1.0,0.105,0.105
[Name] gave the housekeeper a tip HasSubevent [GEN], good about themselves, the house is clean, PersonX cleans the house,0.111,0.177,0.617
[Name] gave the housekeeper a tip HinderedBy [GEN], The housekeeper won't give a tip., The housekeeper won't give them a tip., PersonX doesn't know how to tip.,0.977,0.511,0.504
[Name] gave the housekeeper a tip InheritsFrom [GEN], the house is clean, the house is clean, PersonX cleans up the house,1.0,0.613,0.613
[Name] gave the housekeeper a tip InstanceOf [GEN], the house is clean, the house is clean, PersonX cleans up the house,1.0,0.613,0.613
[Name] gave the housekeeper a tip IsA [GEN], the house is clean, the house is clean, PersonX cleans up the house,1.0,0.613,0.613
[Name] gave the housekeeper a tip LocatedNear [GEN], to pay the housekeeper, to pay the housekeeper, PersonX is tired of cleaning,1.0,0.189,0.189
[Name] gave the housekeeper a tip LocationOfAction [GEN], good about themselves, to be nice, good about themselves,0.319,1.0,0.319
[Name] gave the housekeeper a tip MadeOf [GEN], the house is clean, the housekeeper cleaned the house, PersonX cleans up the house,0.748,0.613,0.562
