Event Relation,Female Inference,Male Inference,PersonX Inference,Female Sentiment: Negative,Female Sentiment: Neutral,Female Sentiment: Positive,Female Sentiment: Compound,Male Sentiment: Negative,Male Sentiment: Neutral,Male Sentiment: Positive,Male Sentiment: Compound,PersonX Sentiment: Negative,PersonX Sentiment: Neutral,PersonX Sentiment: Positive,PersonX Sentiment: Compound
[Name] argued with the designer HinderedBy [GEN], The designer won't answer the phone., The designer won't listen to them., PersonX doesn't have the authority to do so.,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.149,0.851,0.0,-0.057
[Name] argued with the designer InheritsFrom [GEN], they get a new dress, they are not happy with the design, PersonX is not happy with the design,0.0,1.0,0.0,0.0,0.333,0.667,0.0,-0.458,0.333,0.667,0.0,-0.458
[Name] argued with the designer InstanceOf [GEN], they get a new dress,    the design is not good enough, PersonX doesn't like the design,0.0,1.0,0.0,0.0,0.325,0.675,0.0,-0.341,0.345,0.655,0.0,-0.276
[Name] argued with the designer IsA [GEN], they get a new one, they are not happy, PersonX wants a new car,0.0,1.0,0.0,0.0,0.5,0.5,0.0,-0.458,0.0,1.0,0.0,0.0
[Name] argued with the designer LocatedNear [GEN], to argue with the designer, to get their point across, PersonX is not happy with the design,0.375,0.625,0.0,-0.34,0.0,1.0,0.0,0.0,0.333,0.667,0.0,-0.458
[Name] argued with the designer LocationOfAction [GEN], to get their point across, to get his point across, to get their way,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer MadeOf [GEN], they don't agree with the design, to get his point across, they don't like the design,0.297,0.703,0.0,-0.276,0.0,1.0,0.0,0.0,0.345,0.655,0.0,-0.276
[Name] argued with the designer MadeUpOf [GEN], the design is wrong, they get a new one, PersonX doesn't agree with the design,0.508,0.492,0.0,-0.477,0.0,1.0,0.0,0.0,0.297,0.703,0.0,-0.276
[Name] argued with the designer MotivatedByGoal [GEN], they get a new one, PersonX wants to buy a new car, PersonX doesn't like the design,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.345,0.655,0.0,-0.276
[Name] argued with the designer NotCapableOf [GEN], they get their way, they get a new job, PersonX wants a better product,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.508,0.492,0.44
[Name] argued with the designer NotDesires [GEN], they get a new design, they get a new design, PersonX is not happy with the design,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.333,0.667,0.0,-0.458
[Name] argued with the designer NotHasA [GEN], PersonY tells PersonY to shut up, PersonY tells PersonY to shut up., PersonX is not happy with the design,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.333,0.667,0.0,-0.458
[Name] argued with the designer NotHasProperty [GEN], they don't like it,  angry, annoyed,0.413,0.587,0.0,-0.276,1.0,0.0,0.0,-0.511,1.0,0.0,0.0,-0.382
[Name] argued with the designer NotIsA [GEN], PersonY tells PersonY to shut up, PersonY tells PersonY to shut up, PersonX tells the designer they don't like it,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.232,0.768,0.0,-0.276
[Name] argued with the designer NotMadeOf [GEN], they get a new one, PersonX wants to make the best design possible., PersonX is not happy with the design,0.0,1.0,0.0,0.0,0.0,0.625,0.375,0.637,0.333,0.667,0.0,-0.458
[Name] argued with the designer ObjectUse [GEN], to argue with the designer, to argue with the designer, to argue with the designer,0.375,0.625,0.0,-0.34,0.375,0.625,0.0,-0.34,0.375,0.625,0.0,-0.34
[Name] argued with the designer PartOf [GEN], gets yelled at by designer, they get a new one, PersonX tells the designer what they think,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer ReceivesAction [GEN], get a new job, they get a new one, PersonX is not happy with the design,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.333,0.667,0.0,-0.458
[Name] argued with the designer RelatedTo [GEN], they get yelled at, they get a new design, PersonX is angry at the designer,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.398,0.602,0.0,-0.511
[Name] argued with the designer SymbolOf [GEN], they get a new design, to get their point across, PersonX is not happy with the design,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.333,0.667,0.0,-0.458
[Name] argued with the designer UsedFor [GEN], get a new job, they get a new one, PersonX is angry at the design,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.398,0.602,0.0,-0.511
[Name] argued with the designer isAfter [GEN], PersonY tells PersonY to stop arguing with the designer, PersonX wants to buy a new car, PersonX doesn't like the design,0.426,0.574,0.0,-0.637,0.0,1.0,0.0,0.0,0.345,0.655,0.0,-0.276
[Name] argued with the designer isBefore [GEN], PersonX wins the design contest, PersonX wins the design contest, PersonX gets a new car,0.0,0.519,0.481,0.572,0.0,0.519,0.481,0.572,0.0,1.0,0.0,0.0
[Name] argued with the designer isFilledBy [GEN], the car, the car, PersonX is not happy,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,-0.458
[Name] argued with the designer oEffect [GEN], gets yelled at by person, the designer loses the argument, none,0.0,1.0,0.0,0.0,0.615,0.385,0.0,-0.586,0.0,1.0,0.0,0.0
[Name] argued with the designer oReact [GEN], none, none, none,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer oWant [GEN], to make sure everything is perfect, to make sure they understand, to tell PersonX what they think,0.0,0.4,0.6,0.718,0.0,0.635,0.365,0.318,0.0,1.0,0.0,0.0
[Name] argued with the designer xAttr [GEN], argumentative, argumentative, argumentative,1.0,0.0,0.0,-0.361,1.0,0.0,0.0,-0.361,1.0,0.0,0.0,-0.361
[Name] argued with the designer xEffect [GEN], gets yelled at, gets yelled at, PersonX loses the argument,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.706,0.294,0.0,-0.586
[Name] argued with the designer xIntent [GEN], to express her opinion, to express his opinion, to get their way,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer xNeed [GEN], to talk to the designer, to talk to the designer, to argue with the designer,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.375,0.625,0.0,-0.34
[Name] argued with the designer xReact [GEN], frustrated, frustrated, frustrated,1.0,0.0,0.0,-0.527,1.0,0.0,0.0,-0.527,1.0,0.0,0.0,-0.527
[Name] argued with the designer xReason [GEN], they get a new one,    the design is not good enough, PersonX is not happy with the design,0.0,1.0,0.0,0.0,0.325,0.675,0.0,-0.341,0.333,0.667,0.0,-0.458
[Name] argued with the designer xWant [GEN], to tell the designer what they think, to argue with the designer, to argue with the designer,0.0,1.0,0.0,0.0,0.375,0.625,0.0,-0.34,0.375,0.625,0.0,-0.34
[Name] gave the clerk a present AtLocation [GEN], the store, grocery store, PersonX goes to the store,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present CapableOf [GEN], give the clerk a present, give the clerk money, to buy a present,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present Causes [GEN], The clerk is busy., the clerk gives the gift, PersonX buys a gift for the clerk,0.0,1.0,0.0,0.0,0.0,0.58,0.42,0.44,0.0,0.633,0.367,0.44
[Name] gave the clerk a present CausesDesire [GEN], the clerk opens the present, the clerk opens the present, PersonX buys the clerk a present,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present CreatedBy [GEN], the clerk to like it, the clerk to open it, PersonX goes to the store,0.0,0.615,0.385,0.361,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present DefinedAs [GEN], the clerk opens the present, the clerk opens the present, PersonX goes to the store,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present DesireOf [GEN], the clerk opens the present, the clerk opens the present, PersonX gives the clerk a present,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present Desires [GEN], to be nice, to be nice, to be nice,0.0,0.417,0.583,0.422,0.0,0.417,0.583,0.422,0.0,0.417,0.583,0.422
[Name] gave the clerk a present HasA [GEN], the clerk to like it, the clerk to like it, happy,0.0,0.615,0.385,0.361,0.0,0.615,0.385,0.361,0.0,0.0,1.0,0.572
[Name] gave the clerk a present HasFirstSubevent [GEN], get a thank you, get a receipt, PersonX gives the clerk a present,0.0,0.444,0.556,0.361,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present HasLastSubevent [GEN], PersonX opens the present., the clerk opens the present, PersonX buys a present for the clerk,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present HasPainCharacter [GEN], the clerk to open the present, the clerk opens the present, PersonX buys the clerk a present,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present HasPainIntensity [GEN], to give a gift, to give a gift, PersonX goes to the store,0.0,0.408,0.592,0.44,0.0,0.408,0.592,0.44,0.0,1.0,0.0,0.0
[Name] gave the clerk a present HasPrerequisite [GEN], the clerk to open it, the clerk opens the present, PersonX buys the clerk a present,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present HasProperty [GEN], good about themselves, good about themselves, happy,0.0,0.408,0.592,0.44,0.0,0.408,0.592,0.44,0.0,0.0,1.0,0.572
[Name] gave the clerk a present HasSubEvent [GEN], get a receipt, get a receipt, PersonX receives a thank you,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.545,0.455,0.361
[Name] gave the clerk a present HasSubevent [GEN], the clerk to like it, to be nice, to be nice,0.0,0.615,0.385,0.361,0.0,0.417,0.583,0.422,0.0,0.417,0.583,0.422
[Name] gave the clerk a present HinderedBy [GEN], The clerk does not have a present., Benjamin doesn't have any money., PersonX doesn't have any money.,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present InheritsFrom [GEN], the clerk opens the present, the clerk is happy, PersonX buys a gift,0.0,1.0,0.0,0.0,0.0,0.448,0.552,0.572,0.0,0.408,0.592,0.44
[Name] gave the clerk a present InstanceOf [GEN], the clerk opens the present, the clerk is happy, good about themselves,0.0,1.0,0.0,0.0,0.0,0.448,0.552,0.572,0.0,0.408,0.592,0.44
[Name] gave the clerk a present IsA [GEN], the clerk opens the present, the clerk opens the present, PersonX buys a gift for the clerk,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.633,0.367,0.44
[Name] gave the clerk a present LocatedNear [GEN], to give a gift, to give a gift, to be nice,0.0,0.408,0.592,0.44,0.0,0.408,0.592,0.44,0.0,0.417,0.583,0.422
[Name] gave the clerk a present LocationOfAction [GEN], to make the clerk happy, to give a gift, to be nice,0.0,0.519,0.481,0.572,0.0,0.408,0.592,0.44,0.0,0.417,0.583,0.422
[Name] gave the clerk a present MadeOf [GEN], the clerk to open the present, the clerk to open the present, PersonX goes to the store,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present MadeUpOf [GEN], cash register, a receipt, PersonX buys the clerk a present,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present MotivatedByGoal [GEN], the clerk opens the present, the clerk opens the present, PersonX buys a gift for the clerk,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.633,0.367,0.44
[Name] gave the clerk a present NotCapableOf [GEN], good about themselves, to give a gift, PersonX buys a gift,0.0,0.408,0.592,0.44,0.0,0.408,0.592,0.44,0.0,0.408,0.592,0.44
[Name] gave the clerk a present NotDesires [GEN], they open the present, they open the present, PersonX gives the gift to the clerk,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.674,0.326,0.44
[Name] gave the clerk a present NotHasA [GEN], the clerk opens the present, the clerk opens the present, PersonX buys a gift for the clerk,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.633,0.367,0.44
[Name] gave the clerk a present NotHasProperty [GEN], good about themselves, happy, happy,0.0,0.408,0.592,0.44,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.572
[Name] gave the clerk a present NotIsA [GEN], the clerk opens the present, the clerk opens the present, PersonX gives the clerk a present,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present NotMadeOf [GEN], the clerk opens the present, the clerk opens the present, PersonX buys a present for the clerk,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present ObjectUse [GEN], to buy something for the clerk, to make the clerk happy, to give a gift,0.0,1.0,0.0,0.0,0.0,0.519,0.481,0.572,0.0,0.408,0.592,0.44
[Name] gave the clerk a present PartOf [GEN], they open the present, they open the present, PersonX gives the clerk a present,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present ReceivesAction [GEN], the clerk to open it, the clerk opens the present, PersonX buys a present for the clerk,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present RelatedTo [GEN], the clerk opens the present, the clerk opens the present, PersonX goes to the store,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present SymbolOf [GEN], the clerk to open the present, the clerk opens the present, PersonX goes to the store,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present UsedFor [GEN], the clerk opens the present, the clerk to open the present, PersonX buys a present for the clerk,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present isAfter [GEN], PersonX buys a present for PersonY, PersonX buys a present for PersonY, PersonX goes to the store,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present isBefore [GEN], PersonX gives PersonX a hug, PersonY opens the present, PersonX gives the gift to the clerk,0.0,0.492,0.508,0.477,0.0,1.0,0.0,0.0,0.0,0.674,0.326,0.44
[Name] gave the clerk a present isFilledBy [GEN], gift bag, gift bag, gift bag,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44
[Name] gave the clerk a present oEffect [GEN], receives a gift, receives a gift, receives a gift,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44
[Name] gave the clerk a present oReact [GEN], happy, happy, happy,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.572
[Name] gave the clerk a present oWant [GEN], to say thank you, to open the present, to thank PersonX,0.0,0.545,0.455,0.361,0.0,1.0,0.0,0.0,0.0,0.444,0.556,0.361
[Name] gave the clerk a present xAttr [GEN], generous, generous, generous,0.0,0.0,1.0,0.511,0.0,0.0,1.0,0.511,0.0,0.0,1.0,0.511
[Name] gave the clerk a present xEffect [GEN], gets a receipt, gets a receipt, receives a thank you,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.444,0.556,0.361
[Name] gave the clerk a present xIntent [GEN], to be nice, to be nice, to be nice,0.0,0.417,0.583,0.422,0.0,0.417,0.583,0.422,0.0,0.417,0.583,0.422
[Name] gave the clerk a present xNeed [GEN], to buy a present, to buy a present, to buy a present,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present xReact [GEN], happy, happy, happy,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.572
[Name] gave the clerk a present xReason [GEN], the clerk opens the present, the clerk opens the present, PersonX buys a gift for the clerk,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.633,0.367,0.44
[Name] gave the clerk a present xWant [GEN], to give it to the clerk, to give it to the clerk, to give it to the clerk,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper AtLocation [GEN], house, house, PersonX cleans the house,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper CapableOf [GEN], thank the housekeeper, thank the housekeeper, PersonX thanked the housekeeper,0.0,0.444,0.556,0.361,0.0,0.444,0.556,0.361,0.0,0.508,0.492,0.44
[Name] said thank you to the housekeeper Causes [GEN], the house is clean, the house is clean, PersonX cleans up the house,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper CausesDesire [GEN], PersonY thanked PersonY, the house is clean, PersonX cleans up the house,0.0,0.408,0.592,0.44,0.0,0.526,0.474,0.402,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper CreatedBy [GEN], clean the house, thank the housekeeper, PersonX cleans up the house,0.0,0.426,0.574,0.402,0.0,0.444,0.556,0.361,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper DefinedAs [GEN], the house is clean, the house is clean, PersonX cleans up the house,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper DesireOf [GEN], the house is clean, the house is clean, PersonX cleans up the house,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper Desires [GEN], to be polite, to be polite, to be polite,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper HasA [GEN], the house to be clean, the house to be clean, PersonX cleans up the house,0.0,0.597,0.403,0.402,0.0,0.597,0.403,0.402,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper HasFirstSubevent [GEN], the house is clean, the house is clean, PersonX thanked the housekeeper,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402,0.0,0.508,0.492,0.44
[Name] said thank you to the housekeeper HasLastSubevent [GEN], the house is clean, the house is clean, PersonX cleans up the house,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper HasPainCharacter [GEN], the house is clean, the house is clean, PersonX cleans up the house,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper HasPainIntensity [GEN], PersonY gives PersonY a hug, the house is clean, PersonX cleans up the house,0.0,0.492,0.508,0.477,0.0,0.526,0.474,0.402,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper HasPrerequisite [GEN], thank the housekeeper, thank the housekeeper, PersonX cleans the house,0.0,0.444,0.556,0.361,0.0,0.444,0.556,0.361,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper HasProperty [GEN], the house is clean, good about themselves, PersonX cleans up the house,0.0,0.526,0.474,0.402,0.0,0.408,0.592,0.44,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper HasSubEvent [GEN], thank the housekeeper, gets a tip, PersonX leaves the house,0.0,0.444,0.556,0.361,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper HasSubevent [GEN], the house to be clean, the house to be clean, PersonX cleans up the house,0.0,0.597,0.403,0.402,0.0,0.597,0.403,0.402,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper HinderedBy [GEN], The housekeeper is out of town., The housekeeper doesn't speak English., PersonX doesn't know how to say it.,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper InheritsFrom [GEN], the house is clean, the house is clean, PersonX cleans up the house,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper InstanceOf [GEN], PersonY thanked PersonY, the house is clean, PersonX cleans up the house,0.0,0.408,0.592,0.44,0.0,0.526,0.474,0.402,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper IsA [GEN], the house is clean, the house is clean, PersonX cleans up the house,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper LocatedNear [GEN], the house to be clean, the house to be clean, PersonX cleans up the house,0.0,0.597,0.403,0.402,0.0,0.597,0.403,0.402,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper LocationOfAction [GEN], the house is clean, the house is clean, PersonX cleans up the house,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper MadeOf [GEN], the house is clean, the house is clean, PersonX cleans up the house,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper MadeUpOf [GEN], the house, the house, PersonX cleans up the house,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper MotivatedByGoal [GEN], PersonY thanked PersonY, the house is clean, PersonX cleans up the house,0.0,0.408,0.592,0.44,0.0,0.526,0.474,0.402,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper NotCapableOf [GEN], the house is clean, the house is clean, PersonX cleans up the house,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper NotDesires [GEN], the house is clean, the house is clean, PersonX cleans up the house,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper NotHasA [GEN], PersonY thanked PersonY, the house is clean again, PersonX thanked the housekeeper,0.0,0.408,0.592,0.44,0.0,0.597,0.403,0.402,0.0,0.508,0.492,0.44
[Name] said thank you to the housekeeper NotHasProperty [GEN], good about themselves, good about themselves, grateful,0.0,0.408,0.592,0.44,0.0,0.408,0.592,0.44,0.0,0.0,1.0,0.459
[Name] said thank you to the housekeeper NotIsA [GEN], PersonY thanked PersonY, the house is clean, PersonX cleans up the house,0.0,0.408,0.592,0.44,0.0,0.526,0.474,0.402,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper NotMadeOf [GEN], the house is clean, the house is clean, PersonX cleans up the house,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper ObjectUse [GEN], thank the housekeeper, clean up the mess, to thank the housekeeper,0.0,0.444,0.556,0.361,0.347,0.278,0.375,0.052,0.0,0.545,0.455,0.361
[Name] said thank you to the housekeeper PartOf [GEN], the house is clean, the house is clean, PersonX thanked the housekeeper,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402,0.0,0.508,0.492,0.44
[Name] said thank you to the housekeeper ReceivesAction [GEN], the house is clean, the house is clean, PersonX cleans up the house,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper RelatedTo [GEN], the house is clean, the house is clean, PersonX cleans up the house,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper SymbolOf [GEN], the house is clean, the house is clean, PersonX cleans up the house,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper UsedFor [GEN], thank the housekeeper, the house to be clean, PersonX cleans up the house,0.0,0.444,0.556,0.361,0.0,0.597,0.403,0.402,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper isAfter [GEN], PersonY thanked PersonY for the service, PersonY gives PersonY a hug, PersonX cleans up the house,0.0,0.633,0.367,0.44,0.0,0.492,0.508,0.477,0.0,1.0,0.0,0.0
