Event Relation,Female Inference,Male Inference,Unisex Inference,Female-Male Similarity,Female-Unisex Similarity,Male-Unisex Similarity
[Name] argued with the designer MotivatedByGoal [GEN],design,design,design,1.0,1.0,1.0
[Name] argued with the designer NotCapableOf [GEN],design,design,design,1.0,1.0,1.0
[Name] argued with the designer NotDesires [GEN],design,design,design,1.0,1.0,1.0
[Name] argued with the designer NotHasA [GEN],design,design,designer,1.0,0.679,0.679
[Name] argued with the designer NotHasProperty [GEN],designer,design,designer,0.679,1.0,0.679
[Name] argued with the designer NotIsA [GEN],design,design,design,1.0,1.0,1.0
[Name] argued with the designer NotMadeOf [GEN],design,design,designer,1.0,0.679,0.679
[Name] argued with the designer ObjectUse [GEN],change the design,change the design,learn about design,1.0,0.569,0.569
[Name] argued with the designer PartOf [GEN],design,design,designer,1.0,0.679,0.679
[Name] argued with the designer ReceivesAction [GEN],design,design,design,1.0,1.0,1.0
[Name] argued with the designer RelatedTo [GEN],design,design,design,1.0,1.0,1.0
[Name] argued with the designer SymbolOf [GEN],design,design,design,1.0,1.0,1.0
[Name] argued with the designer UsedFor [GEN],design,design,design,1.0,1.0,1.0
[Name] argued with the designer isAfter [GEN],PersonX goes to the store,PersonX goes to the store,PersonX sees a design,1.0,0.598,0.598
[Name] argued with the designer isBefore [GEN],PersonX gets fired,PersonX gets fired,PersonX gets fired,1.0,1.0,1.0
[Name] argued with the designer isFilledBy [GEN],designer,designer,designer,1.0,1.0,1.0
[Name] argued with the designer oEffect [GEN],gets yelled at,gets yelled at,gets yelled at,1.0,1.0,1.0
[Name] argued with the designer oReact [GEN],confused,disappointed,confused,0.434,1.0,0.434
[Name] argued with the designer oWant [GEN],to see what they did,to see if they understand,to see if they understand,0.686,0.686,1.0
[Name] argued with the designer xAttr [GEN],argumentative,mean,confused,0.257,0.291,0.369
[Name] argued with the designer xEffect [GEN],gets yelled at,gets yelled at,gets yelled at,1.0,1.0,1.0
[Name] argued with the designer xIntent [GEN],to be heard,to show his opinion,to be heard,0.384,1.0,0.384
[Name] argued with the designer xNeed [GEN],to have an idea,to go to the store,to approach the designer,0.361,0.366,0.234
[Name] argued with the designer xReact [GEN],confused,upset,satisfied,0.419,0.358,0.384
[Name] argued with the designer xReason [GEN],the design is wrong,the design is wrong,the design is wrong,1.0,1.0,1.0
[Name] argued with the designer xWant [GEN],to get a refund,to go home,to get a refund,0.386,1.0,0.386
[Name] gave the clerk a present AtLocation [GEN],store,store,store,1.0,1.0,1.0
[Name] gave the clerk a present CapableOf [GEN],receive,present to the clerk,receive,0.338,1.0,0.338
[Name] gave the clerk a present Causes [GEN],to be happy,to be happy,to be happy,1.0,1.0,1.0
[Name] gave the clerk a present CausesDesire [GEN],give a gift,give a gift,give a gift,1.0,1.0,1.0
[Name] gave the clerk a present CreatedBy [GEN],give a gift,give a gift,give a gift,1.0,1.0,1.0
[Name] gave the clerk a present DefinedAs [GEN],satisfied,give a gift,give a gift,0.24,0.24,1.0
[Name] gave the clerk a present DesireOf [GEN],satisfied,give a gift,give a gift,0.24,0.24,1.0
[Name] gave the clerk a present Desires [GEN],to be generous,to be generous,to be generous,1.0,1.0,1.0
[Name] gave the clerk a present HasA [GEN],satisfied,give a gift,give a gift,0.24,0.24,1.0
[Name] gave the clerk a present HasFirstSubevent [GEN],satisfied,give a gift,give a gift,0.24,0.24,1.0
[Name] gave the clerk a present HasLastSubevent [GEN],satisfied,give a gift,give a gift,0.24,0.24,1.0
[Name] gave the clerk a present HasPainCharacter [GEN],satisfied,give a gift,give a gift,0.24,0.24,1.0
[Name] gave the clerk a present HasPainIntensity [GEN],satisfied,give a gift,give a gift,0.24,0.24,1.0
[Name] gave the clerk a present HasPrerequisite [GEN],satisfied,give a gift,give a gift,0.24,0.24,1.0
[Name] gave the clerk a present HasProperty [GEN],given to the clerk,kids,present,0.126,0.289,0.379
[Name] gave the clerk a present HasSubEvent [GEN],receive thanks,receive thanks,receive thanks,1.0,1.0,1.0
[Name] gave the clerk a present HasSubevent [GEN],the clerk,give a gift,give a gift,0.131,0.131,1.0
[Name] gave the clerk a present HinderedBy [GEN],The clerk is out of town.,PersonX has no money.,PersonX has no money.,0.073,0.073,1.0
[Name] gave the clerk a present InheritsFrom [GEN],satisfied,give a gift,give a gift,0.24,0.24,1.0
[Name] gave the clerk a present InstanceOf [GEN],satisfied,give a gift,give a gift,0.24,0.24,1.0
[Name] gave the clerk a present IsA [GEN],satisfied,give a gift,give a gift,0.24,0.24,1.0
[Name] gave the clerk a present LocatedNear [GEN],satisfied,give a gift,give a gift,0.24,0.24,1.0
[Name] gave the clerk a present LocationOfAction [GEN],give a gift,give a gift,give a gift,1.0,1.0,1.0
[Name] gave the clerk a present MadeOf [GEN],satisfied,give a gift,give a gift,0.24,0.24,1.0
[Name] gave the clerk a present MadeUpOf [GEN],present,present,present,1.0,1.0,1.0
[Name] gave the clerk a present MotivatedByGoal [GEN],satisfied,give a gift,give a gift,0.24,0.24,1.0
[Name] gave the clerk a present NotCapableOf [GEN],satisfied,give a gift,give a gift,0.24,0.24,1.0
[Name] gave the clerk a present NotDesires [GEN],satisfied,give a gift,give a gift,0.24,0.24,1.0
[Name] gave the clerk a present NotHasA [GEN],satisfied,give a gift,give a gift,0.24,0.24,1.0
[Name] gave the clerk a present NotHasProperty [GEN],the clerk,give a gift,give a gift,0.131,0.131,1.0
[Name] gave the clerk a present NotIsA [GEN],satisfied,give a gift,give a gift,0.24,0.24,1.0
[Name] gave the clerk a present NotMadeOf [GEN],satisfied,give a gift,give a gift,0.24,0.24,1.0
[Name] gave the clerk a present ObjectUse [GEN],give to the clerk,give to the clerk,give to the clerk,1.0,1.0,1.0
[Name] gave the clerk a present PartOf [GEN],satisfied,give a gift,thank them,0.24,0.319,0.247
[Name] gave the clerk a present ReceivesAction [GEN],satisfied,give a gift,give a gift,0.24,0.24,1.0
[Name] gave the clerk a present RelatedTo [GEN],satisfied,give a gift,to give a gift,0.24,0.241,0.746
[Name] gave the clerk a present SymbolOf [GEN],satisfied,give a gift,give a gift,0.24,0.24,1.0
[Name] gave the clerk a present UsedFor [GEN],satisfied,give a gift,to give a gift,0.24,0.241,0.746
[Name] gave the clerk a present isAfter [GEN],PersonX buys a gift,PersonX buys a gift,PersonX buys a gift,1.0,1.0,1.0
[Name] gave the clerk a present isBefore [GEN],PersonX opens the gift,PersonX opens the gift,PersonX opens the gift,1.0,1.0,1.0
[Name] gave the clerk a present isFilledBy [GEN],money,a gift,money,0.496,1.0,0.496
[Name] gave the clerk a present oEffect [GEN],smiles,smiles,smiles,1.0,1.0,1.0
[Name] gave the clerk a present oReact [GEN],happy,happy,happy,1.0,1.0,1.0
[Name] gave the clerk a present oWant [GEN],to thank them,to thank him,to thank them,0.828,1.0,0.828
[Name] gave the clerk a present xAttr [GEN],generous,generous,generous,1.0,1.0,1.0
[Name] gave the clerk a present xEffect [GEN],smiles,smiles,smiles,1.0,1.0,1.0
[Name] gave the clerk a present xIntent [GEN],to be generous,to be generous,to be generous,1.0,1.0,1.0
[Name] gave the clerk a present xNeed [GEN],to go to the store,buy a present,to go to the store,0.393,1.0,0.393
[Name] gave the clerk a present xReact [GEN],happy,happy,happy,1.0,1.0,1.0
[Name] gave the clerk a present xReason [GEN],the store is open,the store is open,the store is open,1.0,1.0,1.0
[Name] gave the clerk a present xWant [GEN],to say thank you,to make sure they open it,to say thank you,0.237,1.0,0.237
[Name] said thank you to the housekeeper AtLocation [GEN],house,kitchen,house,0.578,1.0,0.578
[Name] said thank you to the housekeeper CapableOf [GEN],welcome guest,welcome guest,clean house,1.0,0.168,0.168
[Name] said thank you to the housekeeper Causes [GEN],happy,happy,smile,1.0,0.532,0.532
[Name] said thank you to the housekeeper CausesDesire [GEN],house,house,house,1.0,1.0,1.0
[Name] said thank you to the housekeeper CreatedBy [GEN],house,house,to clean house,1.0,0.561,0.561
[Name] said thank you to the housekeeper DefinedAs [GEN],house,house,house,1.0,1.0,1.0
[Name] said thank you to the housekeeper DesireOf [GEN],house,house,house,1.0,1.0,1.0
[Name] said thank you to the housekeeper Desires [GEN],thankful,thankful,happy,1.0,0.643,0.643
[Name] said thank you to the housekeeper HasA [GEN],house,house,say goodbye,1.0,0.175,0.175
[Name] said thank you to the housekeeper HasFirstSubevent [GEN],house,house,truck,1.0,0.413,0.413
[Name] said thank you to the housekeeper HasLastSubevent [GEN],house,house,satisfied,1.0,0.238,0.238
[Name] said thank you to the housekeeper HasPainCharacter [GEN],house,house,house,1.0,1.0,1.0
[Name] said thank you to the housekeeper HasPainIntensity [GEN],house,house,house,1.0,1.0,1.0
[Name] said thank you to the housekeeper HasPrerequisite [GEN],house,house,house,1.0,1.0,1.0
[Name] said thank you to the housekeeper HasProperty [GEN],happy,happy,happy,1.0,1.0,1.0
[Name] said thank you to the housekeeper HasSubEvent [GEN],smile,smile,smile,1.0,1.0,1.0
[Name] said thank you to the housekeeper HasSubevent [GEN],house,house,house,1.0,1.0,1.0
[Name] said thank you to the housekeeper HinderedBy [GEN],Kelly said thank you to the housekeeper,PersonX is too shy to ask.,Logan said thank you to the housekeeper,0.076,0.568,0.071
[Name] said thank you to the housekeeper InheritsFrom [GEN],house,house,satisfied,1.0,0.238,0.238
[Name] said thank you to the housekeeper InstanceOf [GEN],call,kitchen,truck,0.209,0.223,0.355
[Name] said thank you to the housekeeper IsA [GEN],call,house,satisfied,0.257,0.265,0.238
[Name] said thank you to the housekeeper LocatedNear [GEN],house,house,house,1.0,1.0,1.0
[Name] said thank you to the housekeeper LocationOfAction [GEN],house,house,say goodbye,1.0,0.175,0.175
[Name] said thank you to the housekeeper MadeOf [GEN],house,house,say goodbye,1.0,0.175,0.175
[Name] said thank you to the housekeeper MadeUpOf [GEN],letter,letter,door,1.0,0.406,0.406
[Name] said thank you to the housekeeper MotivatedByGoal [GEN],house,house,house,1.0,1.0,1.0
[Name] said thank you to the housekeeper NotCapableOf [GEN],call,house,house,0.257,0.257,1.0
[Name] said thank you to the housekeeper NotDesires [GEN],house,house,house,1.0,1.0,1.0
[Name] said thank you to the housekeeper NotHasA [GEN],house,house,house,1.0,1.0,1.0
[Name] said thank you to the housekeeper NotHasProperty [GEN],house,house,truck,1.0,0.413,0.413
[Name] said thank you to the housekeeper NotIsA [GEN],house,house,house,1.0,1.0,1.0
[Name] said thank you to the housekeeper NotMadeOf [GEN],house,house,say goodbye,1.0,0.175,0.175
[Name] said thank you to the housekeeper ObjectUse [GEN],say goodbye,express gratitude,say goodbye,0.386,1.0,0.386
[Name] said thank you to the housekeeper PartOf [GEN],house,house,house,1.0,1.0,1.0
[Name] said thank you to the housekeeper ReceivesAction [GEN],satisfied,house,house,0.238,0.238,1.0
[Name] said thank you to the housekeeper RelatedTo [GEN],house,house,house,1.0,1.0,1.0
[Name] said thank you to the housekeeper SymbolOf [GEN],house,house,house,1.0,1.0,1.0
[Name] said thank you to the housekeeper UsedFor [GEN],satisfied,house,house,0.238,0.238,1.0
[Name] said thank you to the housekeeper isAfter [GEN],PersonX asks a question,PersonX asks a question,PersonX asks a question,1.0,1.0,1.0
[Name] said thank you to the housekeeper isBefore [GEN],PersonX leaves the house,PersonX leaves the house,PersonX leaves the restaurant,1.0,0.784,0.784
[Name] said thank you to the housekeeper isFilledBy [GEN],dog,kitchen,kitchen,0.288,0.288,1.0
[Name] said thank you to the housekeeper oEffect [GEN],smiles,smiles,smiles,1.0,1.0,1.0
[Name] said thank you to the housekeeper oReact [GEN],happy,happy,happy,1.0,1.0,1.0
[Name] said thank you to the housekeeper oWant [GEN],to say goodbye,to say goodbye,to say goodbye,1.0,1.0,1.0
[Name] said thank you to the housekeeper xAttr [GEN],grateful,grateful,grateful,1.0,1.0,1.0
[Name] said thank you to the housekeeper xEffect [GEN],smiles,smiles,smiles,1.0,1.0,1.0
[Name] said thank you to the housekeeper xIntent [GEN],to be polite,to be polite,to show appreciation,1.0,0.566,0.566
[Name] said thank you to the housekeeper xNeed [GEN],call the person,call the person,go to the house,1.0,0.384,0.384
[Name] said thank you to the housekeeper xReact [GEN],happy,happy,happy,1.0,1.0,1.0
[Name] said thank you to the housekeeper xReason [GEN],he is happy,you're welcome,the house is clean,0.177,0.101,0.039
[Name] said thank you to the housekeeper xWant [GEN],say goodbye,to say goodbye,to go home,0.807,0.353,0.609
[Name] scanned documents for the analyst AtLocation [GEN],desk,office,office,0.659,0.659,1.0
[Name] scanned documents for the analyst CapableOf [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst Causes [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst CausesDesire [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst CreatedBy [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst DefinedAs [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst DesireOf [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst Desires [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst HasA [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst HasFirstSubevent [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst HasLastSubevent [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst HasPainCharacter [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst HasPainIntensity [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst HasPrerequisite [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst HasProperty [GEN],smart,good,very useful,0.303,0.316,0.223
[Name] scanned documents for the analyst HasSubEvent [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst HasSubevent [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst HinderedBy [GEN],PersonX's computer is broken.,PersonX doesn't have a computer.,Jackie scanned documents for the analyst,0.831,0.103,0.121
[Name] scanned documents for the analyst InheritsFrom [GEN],analyze,analyze,money,1.0,0.206,0.206
[Name] scanned documents for the analyst InstanceOf [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst IsA [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst LocatedNear [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst LocationOfAction [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst MadeOf [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst MadeUpOf [GEN],documents,documents,documents,1.0,1.0,1.0
[Name] scanned documents for the analyst MotivatedByGoal [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst NotCapableOf [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst NotDesires [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst NotHasA [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst NotHasProperty [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst NotIsA [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst NotMadeOf [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst ObjectUse [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst PartOf [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst ReceivesAction [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst RelatedTo [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst SymbolOf [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst UsedFor [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst isAfter [GEN],PersonX is looking for information,PersonX gets a new job,PersonX gets a new job,0.668,0.668,1.0
[Name] scanned documents for the analyst isBefore [GEN],PersonX gets a good grade,PersonX gets a good grade,PersonX gets a good grade,1.0,1.0,1.0
[Name] scanned documents for the analyst isFilledBy [GEN],documents,book,documents,0.471,1.0,0.471
[Name] scanned documents for the analyst oEffect [GEN],analyze,gain knowledge,analyze,0.17,1.0,0.17
[Name] scanned documents for the analyst oReact [GEN],interested,happy,interested,0.236,1.0,0.236
[Name] scanned documents for the analyst oWant [GEN],analyze the documents,to see what they did,to find out what is going on,0.156,0.266,0.56
[Name] scanned documents for the analyst xAttr [GEN],analytical,analytical,analytical,1.0,1.0,1.0
[Name] scanned documents for the analyst xEffect [GEN],reads,gains knowledge,reads,0.352,1.0,0.352
[Name] scanned documents for the analyst xIntent [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] scanned documents for the analyst xNeed [GEN],have computer,have computer,have computer,1.0,1.0,1.0
[Name] scanned documents for the analyst xReact [GEN],accomplished,accomplished,satisfied,1.0,0.559,0.559
[Name] scanned documents for the analyst xReason [GEN],it's required,analyze,it's required,0.15,1.0,0.15
[Name] scanned documents for the analyst xWant [GEN],analyze,analyze,analyze,1.0,1.0,1.0
[Name] gave the housekeeper a tip AtLocation [GEN],kitchen,kitchen,kitchen,1.0,1.0,1.0
[Name] gave the housekeeper a tip CapableOf [GEN],pay for service,sign check,pay bill,0.148,0.651,0.266
[Name] gave the housekeeper a tip Causes [GEN],thankful,reward,thankful,0.327,1.0,0.327
[Name] gave the housekeeper a tip CausesDesire [GEN],her,house,house,0.373,0.373,1.0
[Name] gave the housekeeper a tip CreatedBy [GEN],tip,tip,the house,1.0,0.166,0.166
[Name] gave the housekeeper a tip DefinedAs [GEN],house,house,house,1.0,1.0,1.0
[Name] gave the housekeeper a tip DesireOf [GEN],house,tip,house,0.21,1.0,0.21
[Name] gave the housekeeper a tip Desires [GEN],to be nice,to be nice,to be nice,1.0,1.0,1.0
[Name] gave the housekeeper a tip HasA [GEN],tip,tip,house,1.0,0.21,0.21
[Name] gave the housekeeper a tip HasFirstSubevent [GEN],house,house,house,1.0,1.0,1.0
[Name] gave the housekeeper a tip HasLastSubevent [GEN],truck,truck,house,1.0,0.413,0.413
[Name] gave the housekeeper a tip HasPainCharacter [GEN],me,tip,to do a good job,0.172,0.222,0.285
[Name] gave the housekeeper a tip HasPainIntensity [GEN],me,house,house,0.312,0.312,1.0
[Name] gave the housekeeper a tip HasPrerequisite [GEN],me,house,house,0.312,0.312,1.0
[Name] gave the housekeeper a tip HasProperty [GEN],nice,kids,given to the house,0.237,0.25,0.252
[Name] gave the housekeeper a tip HasSubEvent [GEN],smiles,smiles,receive thanks,1.0,0.225,0.225
[Name] gave the housekeeper a tip HasSubevent [GEN],house,tip,house,0.21,1.0,0.21
[Name] gave the housekeeper a tip HinderedBy [GEN],PersonX has no money.,PersonX has no money.,PersonX has no money.,1.0,1.0,1.0
[Name] gave the housekeeper a tip InheritsFrom [GEN],me,tip,to the house,0.172,0.277,0.274
[Name] gave the housekeeper a tip InstanceOf [GEN],tip,tip,to be a good worker,1.0,0.214,0.214
[Name] gave the housekeeper a tip IsA [GEN],truck,tip,house,0.213,0.413,0.21
[Name] gave the housekeeper a tip LocatedNear [GEN],truck,tip,house,0.213,0.413,0.21
[Name] gave the housekeeper a tip LocationOfAction [GEN],me,to be a good worker,to do a good job,0.135,0.222,0.794
[Name] gave the housekeeper a tip MadeOf [GEN],tip,tip,house,1.0,0.21,0.21
[Name] gave the housekeeper a tip MadeUpOf [GEN],tip,tip,tip,1.0,1.0,1.0
[Name] gave the housekeeper a tip MotivatedByGoal [GEN],tip,tip,to do a good job,1.0,0.285,0.285
[Name] gave the housekeeper a tip NotCapableOf [GEN],tip,tip,house,1.0,0.21,0.21
[Name] gave the housekeeper a tip NotDesires [GEN],me,house,house,0.312,0.312,1.0
[Name] gave the housekeeper a tip NotHasA [GEN],her,tip,house,0.191,0.373,0.21
[Name] gave the housekeeper a tip NotHasProperty [GEN],house,house,to do a good job,1.0,0.236,0.236
[Name] gave the housekeeper a tip NotIsA [GEN],tip,tip,house,1.0,0.21,0.21
[Name] gave the housekeeper a tip NotMadeOf [GEN],house,house,house,1.0,1.0,1.0
[Name] gave the housekeeper a tip ObjectUse [GEN],give to someone,get a good tip,give to someone,0.252,1.0,0.252
[Name] gave the housekeeper a tip PartOf [GEN],truck,thankful,to do a good job,0.15,0.271,0.177
[Name] gave the housekeeper a tip ReceivesAction [GEN],tip,tip,house,1.0,0.21,0.21
[Name] gave the housekeeper a tip RelatedTo [GEN],to do a good job,tip,to the house,0.285,0.394,0.274
[Name] gave the housekeeper a tip SymbolOf [GEN],house,tip,house,0.21,1.0,0.21
[Name] gave the housekeeper a tip UsedFor [GEN],house,to do a good job,to do a good job,0.236,0.236,1.0
[Name] gave the housekeeper a tip isAfter [GEN],PersonX cleans the house,PersonX cleans the house,PersonX asks for a tip,1.0,0.517,0.517
[Name] gave the housekeeper a tip isBefore [GEN],PersonX leaves the store,PersonX leaves the house,PersonX leaves the house,0.803,0.803,1.0
[Name] gave the housekeeper a tip isFilledBy [GEN],cash,cash,cash,1.0,1.0,1.0
[Name] gave the housekeeper a tip oEffect [GEN],smiles,smiles,smiles,1.0,1.0,1.0
[Name] gave the housekeeper a tip oReact [GEN],grateful,happy,grateful,0.524,1.0,0.524
[Name] gave the housekeeper a tip oWant [GEN],to thank them,to thank him,to thank them,0.828,1.0,0.828
[Name] gave the housekeeper a tip xAttr [GEN],generous,generous,generous,1.0,1.0,1.0
[Name] gave the housekeeper a tip xEffect [GEN],smiles,smiles,receives thanks,1.0,0.326,0.326
[Name] gave the housekeeper a tip xIntent [GEN],to be nice,to be nice,to be nice,1.0,1.0,1.0
[Name] gave the housekeeper a tip xNeed [GEN],to go to the store,to go to the store,to go to the store,1.0,1.0,1.0
[Name] gave the housekeeper a tip xReact [GEN],happy,happy,happy,1.0,1.0,1.0
[Name] gave the housekeeper a tip xReason [GEN],she is a good worker,the house is clean,the house is clean,0.195,0.195,1.0
[Name] gave the housekeeper a tip xWant [GEN],to say thank you,to thank them,to thank them,0.796,0.796,1.0
[Name] sold some books to the librarian AtLocation [GEN],library,library,library,1.0,1.0,1.0
[Name] sold some books to the librarian CapableOf [GEN],sell books,sell books,sell books,1.0,1.0,1.0
[Name] sold some books to the librarian Causes [GEN],money,money,money,1.0,1.0,1.0
[Name] sold some books to the librarian CausesDesire [GEN],librarian,librarian,librarian,1.0,1.0,1.0
[Name] sold some books to the librarian CreatedBy [GEN],librarian,librarian,librarian,1.0,1.0,1.0
[Name] sold some books to the librarian DefinedAs [GEN],librarian,librarian,books,1.0,0.585,0.585
[Name] sold some books to the librarian DesireOf [GEN],librarian,librarian,librarian,1.0,1.0,1.0
[Name] sold some books to the librarian Desires [GEN],money,money,money,1.0,1.0,1.0
[Name] sold some books to the librarian HasA [GEN],librarian,librarian,librarian,1.0,1.0,1.0
[Name] sold some books to the librarian HasFirstSubevent [GEN],librarian,librarian,librarian,1.0,1.0,1.0
[Name] sold some books to the librarian HasLastSubevent [GEN],librarian,librarian,librarian,1.0,1.0,1.0
[Name] sold some books to the librarian HasPainCharacter [GEN],librarian,librarian,librarian,1.0,1.0,1.0
[Name] sold some books to the librarian HasPainIntensity [GEN],librarian,librarian,librarian,1.0,1.0,1.0
[Name] sold some books to the librarian HasPrerequisite [GEN],librarian,books,books,0.585,0.585,1.0
[Name] sold some books to the librarian HasProperty [GEN],kids,responsible,found in library,0.358,0.165,0.219
[Name] sold some books to the librarian HasSubEvent [GEN],earn money,sell books,sell books,0.417,0.417,1.0
[Name] sold some books to the librarian HasSubevent [GEN],librarian,librarian,librarian,1.0,1.0,1.0
[Name] sold some books to the librarian HinderedBy [GEN],Barbara sold some books to the librarian,The librarian won't allow it.,Dakota sold some books to the librarian,0.417,0.788,0.406
[Name] sold some books to the librarian InheritsFrom [GEN],librarian,librarian,books,1.0,0.585,0.585
[Name] sold some books to the librarian InstanceOf [GEN],librarian,librarian,librarian,1.0,1.0,1.0
[Name] sold some books to the librarian IsA [GEN],librarian,librarian,librarian,1.0,1.0,1.0
[Name] sold some books to the librarian LocatedNear [GEN],librarian,librarian,librarian,1.0,1.0,1.0
[Name] sold some books to the librarian LocationOfAction [GEN],librarian,librarian,librarian,1.0,1.0,1.0
[Name] sold some books to the librarian MadeOf [GEN],librarian,librarian,librarian,1.0,1.0,1.0
[Name] sold some books to the librarian MadeUpOf [GEN],book,book,book,1.0,1.0,1.0
[Name] sold some books to the librarian MotivatedByGoal [GEN],librarian,librarian,librarian,1.0,1.0,1.0
[Name] sold some books to the librarian NotCapableOf [GEN],librarian,librarian,librarian,1.0,1.0,1.0
[Name] sold some books to the librarian NotDesires [GEN],librarian,librarian,librarian,1.0,1.0,1.0
[Name] sold some books to the librarian NotHasA [GEN],librarian,librarian,librarian,1.0,1.0,1.0
[Name] sold some books to the librarian NotHasProperty [GEN],books,books,books,1.0,1.0,1.0
[Name] sold some books to the librarian NotIsA [GEN],librarian,librarian,librarian,1.0,1.0,1.0
[Name] sold some books to the librarian NotMadeOf [GEN],librarian,librarian,librarian,1.0,1.0,1.0
[Name] sold some books to the librarian ObjectUse [GEN],sell books,sell books,sell books,1.0,1.0,1.0
[Name] sold some books to the librarian PartOf [GEN],librarian,librarian,librarian,1.0,1.0,1.0
