Event Relation,Female Inference,Male Inference,Unisex Inference,Female Sentiment: Negative,Female Sentiment: Neutral,Female Sentiment: Positive,Female Sentiment: Compound,Male Sentiment: Negative,Male Sentiment: Neutral,Male Sentiment: Positive,Male Sentiment: Compound,Unisex Sentiment: Negative,Unisex Sentiment: Neutral,Unisex Sentiment: Positive,Unisex Sentiment: Compound
[Name] argued with the designer IsA [GEN],design,design,design,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer LocatedNear [GEN],design,design,designer,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer LocationOfAction [GEN],design,design,design,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer MadeOf [GEN],design,design,design,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer MadeUpOf [GEN],design,designer,design,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer MotivatedByGoal [GEN],design,design,design,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer NotCapableOf [GEN],design,design,design,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer NotDesires [GEN],design,design,design,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer NotHasA [GEN],design,design,designer,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer NotHasProperty [GEN],designer,design,designer,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer NotIsA [GEN],design,design,design,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer NotMadeOf [GEN],design,design,designer,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer ObjectUse [GEN],change the design,change the design,learn about design,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer PartOf [GEN],design,design,designer,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer ReceivesAction [GEN],design,design,design,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer RelatedTo [GEN],design,design,design,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer SymbolOf [GEN],design,design,design,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer UsedFor [GEN],design,design,design,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer isAfter [GEN],PersonX goes to the store,PersonX goes to the store,PersonX sees a design,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer isBefore [GEN],PersonX gets fired,PersonX gets fired,PersonX gets fired,0.643,0.357,0.0,-0.557,0.643,0.357,0.0,-0.557,0.643,0.357,0.0,-0.557
[Name] argued with the designer isFilledBy [GEN],designer,designer,designer,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer oEffect [GEN],gets yelled at,gets yelled at,gets yelled at,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer oReact [GEN],confused,disappointed,confused,1.0,0.0,0.0,-0.318,1.0,0.0,0.0,-0.477,1.0,0.0,0.0,-0.318
[Name] argued with the designer oWant [GEN],to see what they did,to see if they understand,to see if they understand,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer xAttr [GEN],argumentative,mean,confused,1.0,0.0,0.0,-0.361,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.318
[Name] argued with the designer xEffect [GEN],gets yelled at,gets yelled at,gets yelled at,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer xIntent [GEN],to be heard,to show his opinion,to be heard,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer xNeed [GEN],to have an idea,to go to the store,to approach the designer,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer xReact [GEN],confused,upset,satisfied,1.0,0.0,0.0,-0.318,1.0,0.0,0.0,-0.382,0.0,0.0,1.0,0.422
[Name] argued with the designer xReason [GEN],the design is wrong,the design is wrong,the design is wrong,0.508,0.492,0.0,-0.477,0.508,0.492,0.0,-0.477,0.508,0.492,0.0,-0.477
[Name] argued with the designer xWant [GEN],to get a refund,to go home,to get a refund,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present AtLocation [GEN],store,store,store,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present CapableOf [GEN],receive,present to the clerk,receive,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present Causes [GEN],to be happy,to be happy,to be happy,0.0,0.351,0.649,0.572,0.0,0.351,0.649,0.572,0.0,0.351,0.649,0.572
[Name] gave the clerk a present CausesDesire [GEN],give a gift,give a gift,give a gift,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44
[Name] gave the clerk a present CreatedBy [GEN],give a gift,give a gift,give a gift,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44
[Name] gave the clerk a present DefinedAs [GEN],satisfied,give a gift,give a gift,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44
[Name] gave the clerk a present DesireOf [GEN],satisfied,give a gift,give a gift,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44
[Name] gave the clerk a present Desires [GEN],to be generous,to be generous,to be generous,0.0,0.377,0.623,0.511,0.0,0.377,0.623,0.511,0.0,0.377,0.623,0.511
[Name] gave the clerk a present HasA [GEN],satisfied,give a gift,give a gift,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44
[Name] gave the clerk a present HasFirstSubevent [GEN],satisfied,give a gift,give a gift,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44
[Name] gave the clerk a present HasLastSubevent [GEN],satisfied,give a gift,give a gift,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44
[Name] gave the clerk a present HasPainCharacter [GEN],satisfied,give a gift,give a gift,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44
[Name] gave the clerk a present HasPainIntensity [GEN],satisfied,give a gift,give a gift,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44
[Name] gave the clerk a present HasPrerequisite [GEN],satisfied,give a gift,give a gift,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44
[Name] gave the clerk a present HasProperty [GEN],given to the clerk,kids,present,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present HasSubEvent [GEN],receive thanks,receive thanks,receive thanks,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44
[Name] gave the clerk a present HasSubevent [GEN],the clerk,give a gift,give a gift,0.0,1.0,0.0,0.0,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44
[Name] gave the clerk a present HinderedBy [GEN],The clerk is out of town.,PersonX has no money.,PersonX has no money.,0.0,1.0,0.0,0.0,0.423,0.577,0.0,-0.296,0.423,0.577,0.0,-0.296
[Name] gave the clerk a present InheritsFrom [GEN],satisfied,give a gift,give a gift,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44
[Name] gave the clerk a present InstanceOf [GEN],satisfied,give a gift,give a gift,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44
[Name] gave the clerk a present IsA [GEN],satisfied,give a gift,give a gift,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44
[Name] gave the clerk a present LocatedNear [GEN],satisfied,give a gift,give a gift,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44
[Name] gave the clerk a present LocationOfAction [GEN],give a gift,give a gift,give a gift,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44
[Name] gave the clerk a present MadeOf [GEN],satisfied,give a gift,give a gift,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44
[Name] gave the clerk a present MadeUpOf [GEN],present,present,present,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present MotivatedByGoal [GEN],satisfied,give a gift,give a gift,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44
[Name] gave the clerk a present NotCapableOf [GEN],satisfied,give a gift,give a gift,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44
[Name] gave the clerk a present NotDesires [GEN],satisfied,give a gift,give a gift,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44
[Name] gave the clerk a present NotHasA [GEN],satisfied,give a gift,give a gift,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44
[Name] gave the clerk a present NotHasProperty [GEN],the clerk,give a gift,give a gift,0.0,1.0,0.0,0.0,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44
[Name] gave the clerk a present NotIsA [GEN],satisfied,give a gift,give a gift,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44
[Name] gave the clerk a present NotMadeOf [GEN],satisfied,give a gift,give a gift,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44
[Name] gave the clerk a present ObjectUse [GEN],give to the clerk,give to the clerk,give to the clerk,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present PartOf [GEN],satisfied,give a gift,thank them,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.286,0.714,0.361
[Name] gave the clerk a present ReceivesAction [GEN],satisfied,give a gift,give a gift,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44
[Name] gave the clerk a present RelatedTo [GEN],satisfied,give a gift,to give a gift,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.408,0.592,0.44
[Name] gave the clerk a present SymbolOf [GEN],satisfied,give a gift,give a gift,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44
[Name] gave the clerk a present UsedFor [GEN],satisfied,give a gift,to give a gift,0.0,0.0,1.0,0.422,0.0,0.256,0.744,0.44,0.0,0.408,0.592,0.44
[Name] gave the clerk a present isAfter [GEN],PersonX buys a gift,PersonX buys a gift,PersonX buys a gift,0.0,0.408,0.592,0.44,0.0,0.408,0.592,0.44,0.0,0.408,0.592,0.44
[Name] gave the clerk a present isBefore [GEN],PersonX opens the gift,PersonX opens the gift,PersonX opens the gift,0.0,0.508,0.492,0.44,0.0,0.508,0.492,0.44,0.0,0.508,0.492,0.44
[Name] gave the clerk a present isFilledBy [GEN],money,a gift,money,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.44,0.0,1.0,0.0,0.0
[Name] gave the clerk a present oEffect [GEN],smiles,smiles,smiles,0.0,0.0,1.0,0.477,0.0,0.0,1.0,0.477,0.0,0.0,1.0,0.477
[Name] gave the clerk a present oReact [GEN],happy,happy,happy,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.572
[Name] gave the clerk a present oWant [GEN],to thank them,to thank him,to thank them,0.0,0.444,0.556,0.361,0.0,0.444,0.556,0.361,0.0,0.444,0.556,0.361
[Name] gave the clerk a present xAttr [GEN],generous,generous,generous,0.0,0.0,1.0,0.511,0.0,0.0,1.0,0.511,0.0,0.0,1.0,0.511
[Name] gave the clerk a present xEffect [GEN],smiles,smiles,smiles,0.0,0.0,1.0,0.477,0.0,0.0,1.0,0.477,0.0,0.0,1.0,0.477
[Name] gave the clerk a present xIntent [GEN],to be generous,to be generous,to be generous,0.0,0.377,0.623,0.511,0.0,0.377,0.623,0.511,0.0,0.377,0.623,0.511
[Name] gave the clerk a present xNeed [GEN],to go to the store,buy a present,to go to the store,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present xReact [GEN],happy,happy,happy,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.572
[Name] gave the clerk a present xReason [GEN],the store is open,the store is open,the store is open,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present xWant [GEN],to say thank you,to make sure they open it,to say thank you,0.0,0.545,0.455,0.361,0.0,0.685,0.315,0.318,0.0,0.545,0.455,0.361
[Name] said thank you to the housekeeper AtLocation [GEN],house,kitchen,house,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper CapableOf [GEN],welcome guest,welcome guest,clean house,0.0,0.25,0.75,0.459,0.0,0.25,0.75,0.459,0.0,0.27,0.73,0.402
[Name] said thank you to the housekeeper Causes [GEN],happy,happy,smile,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.361
[Name] said thank you to the housekeeper CausesDesire [GEN],house,house,house,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper CreatedBy [GEN],house,house,to clean house,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.426,0.574,0.402
[Name] said thank you to the housekeeper DefinedAs [GEN],house,house,house,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper DesireOf [GEN],house,house,house,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper Desires [GEN],thankful,thankful,happy,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.572
[Name] said thank you to the housekeeper HasA [GEN],house,house,say goodbye,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper HasFirstSubevent [GEN],house,house,truck,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper HasLastSubevent [GEN],house,house,satisfied,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.422
[Name] said thank you to the housekeeper HasPainCharacter [GEN],house,house,house,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper HasPainIntensity [GEN],house,house,house,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper HasPrerequisite [GEN],house,house,house,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper HasProperty [GEN],happy,happy,happy,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.572
[Name] said thank you to the housekeeper HasSubEvent [GEN],smile,smile,smile,0.0,0.0,1.0,0.361,0.0,0.0,1.0,0.361,0.0,0.0,1.0,0.361
[Name] said thank you to the housekeeper HasSubevent [GEN],house,house,house,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper HinderedBy [GEN],Kelly said thank you to the housekeeper,PersonX is too shy to ask.,Logan said thank you to the housekeeper,0.0,0.706,0.294,0.361,0.286,0.714,0.0,-0.25,0.0,0.706,0.294,0.361
[Name] said thank you to the housekeeper InheritsFrom [GEN],house,house,satisfied,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.422
[Name] said thank you to the housekeeper InstanceOf [GEN],call,kitchen,truck,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper IsA [GEN],call,house,satisfied,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.422
[Name] said thank you to the housekeeper LocatedNear [GEN],house,house,house,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper LocationOfAction [GEN],house,house,say goodbye,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper MadeOf [GEN],house,house,say goodbye,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper MadeUpOf [GEN],letter,letter,door,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper MotivatedByGoal [GEN],house,house,house,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper NotCapableOf [GEN],call,house,house,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper NotDesires [GEN],house,house,house,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper NotHasA [GEN],house,house,house,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper NotHasProperty [GEN],house,house,truck,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper NotIsA [GEN],house,house,house,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper NotMadeOf [GEN],house,house,say goodbye,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper ObjectUse [GEN],say goodbye,express gratitude,say goodbye,0.0,1.0,0.0,0.0,0.0,0.233,0.767,0.511,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper PartOf [GEN],house,house,house,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper ReceivesAction [GEN],satisfied,house,house,0.0,0.0,1.0,0.422,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper RelatedTo [GEN],house,house,house,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper SymbolOf [GEN],house,house,house,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper UsedFor [GEN],satisfied,house,house,0.0,0.0,1.0,0.422,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper isAfter [GEN],PersonX asks a question,PersonX asks a question,PersonX asks a question,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper isBefore [GEN],PersonX leaves the house,PersonX leaves the house,PersonX leaves the restaurant,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper isFilledBy [GEN],dog,kitchen,kitchen,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper oEffect [GEN],smiles,smiles,smiles,0.0,0.0,1.0,0.477,0.0,0.0,1.0,0.477,0.0,0.0,1.0,0.477
[Name] said thank you to the housekeeper oReact [GEN],happy,happy,happy,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.572
[Name] said thank you to the housekeeper oWant [GEN],to say goodbye,to say goodbye,to say goodbye,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper xAttr [GEN],grateful,grateful,grateful,0.0,0.0,1.0,0.459,0.0,0.0,1.0,0.459,0.0,0.0,1.0,0.459
[Name] said thank you to the housekeeper xEffect [GEN],smiles,smiles,smiles,0.0,0.0,1.0,0.477,0.0,0.0,1.0,0.477,0.0,0.0,1.0,0.477
[Name] said thank you to the housekeeper xIntent [GEN],to be polite,to be polite,to show appreciation,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.377,0.623,0.511
[Name] said thank you to the housekeeper xNeed [GEN],call the person,call the person,go to the house,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] said thank you to the housekeeper xReact [GEN],happy,happy,happy,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.572
[Name] said thank you to the housekeeper xReason [GEN],he is happy,you're welcome,the house is clean,0.0,0.351,0.649,0.572,0.0,0.25,0.75,0.459,0.0,0.526,0.474,0.402
[Name] said thank you to the housekeeper xWant [GEN],say goodbye,to say goodbye,to go home,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] scanned documents for the analyst AtLocation [GEN],desk,office,office,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] scanned documents for the analyst CapableOf [GEN],analyze,analyze,analyze,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] scanned documents for the analyst Causes [GEN],analyze,analyze,analyze,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] scanned documents for the analyst CausesDesire [GEN],analyze,analyze,analyze,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] scanned documents for the analyst CreatedBy [GEN],analyze,analyze,analyze,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] scanned documents for the analyst DefinedAs [GEN],analyze,analyze,analyze,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] scanned documents for the analyst DesireOf [GEN],analyze,analyze,analyze,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] scanned documents for the analyst Desires [GEN],analyze,analyze,analyze,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] scanned documents for the analyst HasA [GEN],analyze,analyze,analyze,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] scanned documents for the analyst HasFirstSubevent [GEN],analyze,analyze,analyze,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
